cdt_last_act,cdt_plan,cdt_score,cdt_steps,cdt_subseq_last_act,cdt_subseq_plan,cdt_subseq_score,cdt_subseq_steps,cdt_subseq_validity,cdt_validity,complementary_plan,correct_part,curr_last_act,curr_plan,curr_score,curr_steps,curr_validity,domain,executability,final_score,gt_plan,improved_plan,improved_validity,instance_id,model,nr_plan_trace,plan_trace,subseq_last_act,subseq_plan,subseq_score,subseq_steps,subseq_validity,task,trace_score,improved_steps
5,"['(feast c a)', '(succumb c)', '(attack b)', '(overcome b a)', '(attack c)']",1.2333333333333334,1,5,"['(feast c a)', '(succumb c)', '(attack b)', '(overcome b a)', '(attack c)']",1.0,1,False,False,['(overcome c b)'],"['(feast c a)', '(succumb c)', '(attack b)', '(overcome b a)', '(attack c)']",5,"['(feast c a)', '(succumb c)', '(attack b)', '(overcome b a)', '(attack c)']",1.2333333333333334,1,False,mystery_blocksworld_3,True,1.2333333333333334,"['(feast c a)', '(succumb c)', '(attack b)', '(overcome b a)', '(attack c)', '(overcome c b)']","['(feast c a)', '(succumb c)', '(attack b)', '(overcome b a)', '(attack c)', '(overcome c b)']",1,37,o4-mini_chat,"{0: 'position', 1: 'position', 2: 'position', 3: 'position', 4: 'position'}","{0: 'correct', 1: 'correct', 2: 'correct', 3: 'correct', 4: 'correct'}",5,"['(feast c a)', '(succumb c)', '(attack b)', '(overcome b a)', '(attack c)']",1.0,1,False,_zero_shot,1.0,0
4,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(put-down c)', '(stack b c)']",1.1083333333333334,2,4,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(put-down c)', '(stack b c)']",1.0,2,False,False,"['(pick-up b)', '(stack b c)']","['(unstack a c)', '(put-down a)', '(unstack c b)', '(put-down c)']",4,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(put-down c)', '(stack b c)']",1.1083333333333334,2,False,blocksworld_3,False,1.1083333333333334,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(put-down c)', '(pick-up b)', '(stack b c)']","['(unstack a c)', '(put-down a)', '(unstack c b)', '(put-down c)', '(pick-up b)', '(stack b c)']",1,22,o4-mini_chat,"{0: 'position', 1: 'position', 2: 'position', 3: 'position', 4: 'correct'}","{0: 'correct', 1: 'correct', 2: 'correct', 3: 'correct', 4: 'misplaced'}",4,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(put-down c)', '(stack b c)']",1.0,2,False,_state_tracking,0.9,0
4,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(stack c a)', '(stack b c)']",1.1083333333333334,2,4,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(stack c a)', '(stack b c)']",1.0,2,False,False,"['(pick-up b)', '(stack b c)']","['(unstack a c)', '(put-down a)', '(unstack c b)', '(stack c a)']",4,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(stack c a)', '(stack b c)']",1.1083333333333334,2,False,blocksworld_3,False,1.1083333333333334,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(stack c a)', '(pick-up b)', '(stack b c)']","['(unstack a c)', '(put-down a)', '(unstack c b)', '(stack c a)', '(pick-up b)', '(stack b c)']",1,6,o4-mini_chat,"{0: 'position', 1: 'position', 2: 'position', 3: 'position', 4: 'correct'}","{0: 'correct', 1: 'correct', 2: 'correct', 3: 'correct', 4: 'misplaced'}",4,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(stack c a)', '(stack b c)']",1.0,2,False,_state_tracking,0.9,0
6,"['(feast b c)', '(succumb b)', '(attack c)', '(overcome c b)', '(attack a)', '(overcome a c)', '(succumb c)']",1.101190476190476,1,6,"['(feast b c)', '(succumb b)', '(attack c)', '(overcome c b)', '(attack a)', '(overcome a c)']",1.0,0,True,False,[],"['(feast b c)', '(succumb b)', '(attack c)', '(overcome c b)', '(attack a)', '(overcome a c)']",6,"['(feast b c)', '(succumb b)', '(attack c)', '(overcome c b)', '(attack a)', '(overcome a c)', '(succumb c)']",1.101190476190476,1,False,mystery_blocksworld_3,False,1.101190476190476,"['(feast b c)', '(succumb b)', '(attack c)', '(overcome c b)', '(attack a)', '(overcome a c)']","['(feast b c)', '(succumb b)', '(attack c)', '(overcome c b)', '(attack a)', '(overcome a c)']",1,10,o4-mini_chat,"{0: 'position', 1: 'position', 2: 'position', 3: 'position', 4: 'position', 5: 'position', 6: 'same_act'}","{0: 'correct', 1: 'correct', 2: 'correct', 3: 'correct', 4: 'correct', 5: 'correct', 6: 'redundant'}",6,"['(feast b c)', '(succumb b)', '(attack c)', '(overcome c b)', '(attack a)', '(overcome a c)']",1.0,0,True,_one_shot,0.8571428571428571,0
5,"['(unstack c b)', '(put-down c)', '(unstack b a)', '(put-down b)', '(pick-up c)', '(stack c a)', '(stack c a)']",1.101190476190476,1,6,"['(unstack c b)', '(put-down c)', '(unstack b a)', '(put-down b)', '(pick-up c)', '(stack c a)']",1.0,0,True,False,['(stack c a)'],"['(unstack c b)', '(put-down c)', '(unstack b a)', '(put-down b)', '(pick-up c)']",5,"['(unstack c b)', '(put-down c)', '(unstack b a)', '(put-down b)', '(pick-up c)', '(stack c a)', '(stack c a)']",1.101190476190476,1,False,blocksworld_3,False,1.101190476190476,"['(unstack c b)', '(put-down c)', '(unstack b a)', '(put-down b)', '(pick-up c)', '(stack c a)']","['(unstack c b)', '(put-down c)', '(unstack b a)', '(put-down b)', '(pick-up c)', '(stack c a)']",1,97,o4-mini_chat,"{0: 'position', 1: 'position', 2: 'position', 3: 'position', 4: 'position', 5: 'position', 6: 'correct'}","{0: 'correct', 1: 'correct', 2: 'correct', 3: 'correct', 4: 'correct', 5: 'correct', 6: 'redundant'}",6,"['(unstack c b)', '(put-down c)', '(unstack b a)', '(put-down b)', '(pick-up c)', '(stack c a)']",1.0,0,True,_one_shot,0.8571428571428571,0
0,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c b)']",1.0416666666666665,6,0,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c b)']",1.0,6,False,False,"['(unstack b a)', '(put-down b)', '(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c b)']",[],0,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c b)']",1.0416666666666665,6,False,blocksworld_3,False,1.0416666666666665,"['(unstack b a)', '(put-down b)', '(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c b)']","['(unstack b a)', '(put-down b)', '(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c b)']",1,26,o4-mini_chat,"{0: 'correct', 1: 'correct', 2: 'correct', 3: 'correct'}","{0: 'misplaced', 1: 'misplaced', 2: 'misplaced', 3: 'misplaced'}",0,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c b)']",1.0,6,False,_one_shot,0.5,0
1,"['(attack a)', '(overcome a b)', '(attack c)', '(overcome c a)']",1.0416666666666665,6,1,"['(attack a)', '(overcome a b)', '(attack c)', '(overcome c a)']",1.0,6,False,False,"['(feast c b)', '(succumb c)', '(attack a)', '(overcome a b)', '(attack c)', '(overcome c a)']",[],1,"['(attack a)', '(overcome a b)', '(attack c)', '(overcome c a)']",1.0416666666666665,6,False,mystery_blocksworld_3,False,1.0416666666666665,"['(feast c b)', '(succumb c)', '(attack a)', '(overcome a b)', '(attack c)', '(overcome c a)']","['(feast c b)', '(succumb c)', '(attack a)', '(overcome a b)', '(attack c)', '(overcome c a)']",1,88,o4-mini_chat,"{0: 'correct', 1: 'correct', 2: 'correct', 3: 'correct'}","{0: 'misplaced', 1: 'misplaced', 2: 'misplaced', 3: 'misplaced'}",1,"['(attack a)', '(overcome a b)', '(attack c)', '(overcome c a)']",1.0,6,False,_one_shot,0.5,0
2,"['(attack a)', '(overcome a b)', '(attack c)', '(overcome c a)']",1.0416666666666665,6,2,"['(attack a)', '(overcome a b)', '(attack c)', '(overcome c a)']",1.0,6,False,False,"['(feast b c)', '(succumb b)', '(attack a)', '(overcome a b)', '(attack c)', '(overcome c a)']",[],2,"['(attack a)', '(overcome a b)', '(attack c)', '(overcome c a)']",1.0416666666666665,6,False,mystery_blocksworld_3,False,1.0416666666666665,"['(feast b c)', '(succumb b)', '(attack a)', '(overcome a b)', '(attack c)', '(overcome c a)']","['(feast b c)', '(succumb b)', '(attack a)', '(overcome a b)', '(attack c)', '(overcome c a)']",1,61,o4-mini_chat,"{0: 'correct', 1: 'correct', 2: 'correct', 3: 'correct'}","{0: 'misplaced', 1: 'misplaced', 2: 'misplaced', 3: 'misplaced'}",2,"['(attack a)', '(overcome a b)', '(attack c)', '(overcome c a)']",1.0,6,False,_state_tracking,0.5,0
2,"['(feast a c)', '(succumb a)', '(feast c b)', '(succumb c)', '(attack b)', '(feast c b)', '(overcome b c)']",1.011904761904762,1,6,"['(feast a c)', '(succumb a)', '(feast c b)', '(succumb c)', '(attack b)', '(overcome b c)']",1.0,0,True,False,"['(feast c b)', '(succumb c)', '(attack b)', '(overcome b c)']","['(feast a c)', '(succumb a)']",2,"['(feast a c)', '(succumb a)', '(feast c b)', '(succumb c)', '(attack b)', '(feast c b)', '(overcome b c)']",1.011904761904762,1,False,mystery_blocksworld_3,False,1.011904761904762,"['(feast a c)', '(succumb a)', '(feast c b)', '(succumb c)', '(attack b)', '(overcome b c)']","['(feast a c)', '(succumb a)', '(feast c b)', '(succumb c)', '(attack b)', '(overcome b c)']",1,22,o4-mini_chat,"{0: 'position', 1: 'position', 2: 'position', 3: 'position', 4: 'position', 6: 'correct', 5: 'correct'}","{0: 'correct', 1: 'correct', 2: 'correct', 3: 'correct', 4: 'correct', 6: 'misplaced', 5: 'redundant'}",6,"['(feast a c)', '(succumb a)', '(feast c b)', '(succumb c)', '(attack b)', '(overcome b c)']",1.0,0,True,_zero_shot,0.7857142857142857,0
3,"['(feast c a)', '(succumb c)', '(feast a b)', '(overcome b c)']",1.0104166666666665,3,3,"['(feast c a)', '(succumb c)', '(feast a b)', '(overcome b c)']",1.0,3,False,False,"['(succumb a)', '(attack b)', '(overcome b c)']","['(feast c a)', '(succumb c)', '(feast a b)']",3,"['(feast c a)', '(succumb c)', '(feast a b)', '(overcome b c)']",1.0104166666666665,3,False,mystery_blocksworld_3,False,1.0104166666666665,"['(feast c a)', '(succumb c)', '(feast a b)', '(succumb a)', '(attack b)', '(overcome b c)']","['(feast c a)', '(succumb c)', '(feast a b)', '(succumb a)', '(attack b)', '(overcome b c)']",1,78,o4-mini_chat,"{0: 'position', 1: 'position', 2: 'position', 3: 'correct'}","{0: 'correct', 1: 'correct', 2: 'correct', 3: 'misplaced'}",3,"['(feast c a)', '(succumb c)', '(feast a b)', '(overcome b c)']",1.0,3,False,_zero_shot,0.875,0
