model,domain,task,instance_id,gt_plan,curr_plan,plan_trace,nr_plan_trace,trace_score,complementary_plan,correct_part,executability,final_score,curr_score,curr_steps,curr_last_act,curr_validity,cdt_plan,cdt_score,cdt_steps,cdt_last_act,cdt_validity,subseq_plan,subseq_score,subseq_steps,subseq_last_act,subseq_validity,cdt_subseq_plan,cdt_subseq_score,cdt_subseq_steps,cdt_subseq_last_act,cdt_subseq_validity,improved_plan,improved_validity
qwen,logistics,_zero_shot,1,"['(fly-airplane a1 l0-0 l1-0)', '(load-airplane p0 a1 l1-0)', '(fly-airplane a1 l1-0 l0-0)', '(unload-airplane p0 a1 l0-0)']","['(load-truck p1 t1 l1-1.)', '(load-airplane p1 a1 l1-1.)', '(unload-truck p1 t1 l1-1.)', '(unload-airplane p1 a1 l1-1.)', '(drive-truck t1 l1-1 l1-2 c1.)', '(fly-airplane a1 l1-1 l2-1. l1-1 c1 l2-1 c2.)']","{0: 'diff_act', 1: 'diff_act', 2: 'diff_act', 3: 'diff_act', 4: 'redundant', 5: 'redundant'}","{0: 'diff_act', 1: 'diff_act', 2: 'diff_act', 3: 'diff_act', 4: 'redundant', 5: 'same_act'}",0.3333333333333333,"['(fly-airplane a1 l0-0 l1-0)', '(load-airplane p0 a1 l1-0)', '(fly-airplane a1 l1-0 l0-0)', '(unload-airplane p0 a1 l0-0)']",[],False,1.7018495060114054,1.6941166321601102,6,0,False,"['(load-truck a1 t1 l1-1.)', '(load-airplane a1 p1 l1-1.)', '(unload-truck a1 t1 l1-1.)', '(unload-airplane a1 p1 l1-1.)', '(drive-truck t1 l1-1 l1-2 c1.)', '(fly-airplane p1 l1-1 l2-1. l1-1 c1 l2-1 c2.)']",1.7095823798627003,6,0,False,[],0.0,4,0,False,[],0.0,4,0,False,"['(fly-airplane a1 l0-0 l1-0)', '(load-airplane p0 a1 l1-0)', '(fly-airplane a1 l1-0 l0-0)', '(unload-airplane p0 a1 l0-0)']",True
qwen,logistics,_zero_shot,2,"['(load-airplane p0 a1 l1-0)', '(fly-airplane a1 l1-0 l0-0)', '(unload-airplane p0 a1 l0-0)']","['(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-1 l0-2 c0)', '(load-truck p0 t0 l0-2)', '(drive-truck t0 l0-2 l0-3 c0)', '(load-truck p0 t0 l0-3)', '(drive-truck t0 l0-3 l0-4 c0)', '(load-truck p0 t0 l0-4)', '(drive-truck t0 l0-4 l0-5 c0)', '(load-truck p0 t0 l0-5)', '(drive-truck t0 l0-5 l0-6 c0)', '(load-truck p0 t0 l0-6)', '(drive-truck t0 l0-6 l0-7 c0)', '(load-truck p0 t0 l0-7)', '(drive-truck t0 l0-7 l0-8 c0)', '(load-truck p0 t0 l0-8)', '(drive-truck t0 l0-8 l0-9 c0)', '(load-truck p0 t0 l0-9)', '(drive-truck t0 l0-9 l0-10 c0)', '(load-truck p0 t0 l0-10)', '(drive-truck t0)']","{0: 'same_act', 1: 'same_act', 2: 'same_act', 3: 'redundant', 4: 'redundant', 5: 'redundant', 6: 'redundant', 7: 'redundant', 8: 'redundant', 9: 'redundant', 10: 'redundant', 11: 'redundant', 12: 'redundant', 13: 'redundant', 14: 'redundant', 15: 'redundant', 16: 'redundant', 17: 'redundant', 18: 'redundant', 19: 'redundant', 20: 'redundant', 21: 'redundant', 22: 'redundant', 23: 'redundant'}","{0: 'same_act', 1: 'same_act', 2: 'same_act', 3: 'redundant', 4: 'diff_act', 5: 'redundant', 6: 'diff_act', 7: 'redundant', 8: 'diff_act', 9: 'redundant', 10: 'diff_act', 11: 'redundant', 12: 'diff_act', 13: 'redundant', 14: 'diff_act', 15: 'redundant', 16: 'diff_act', 17: 'redundant', 18: 'diff_act', 19: 'redundant', 20: 'diff_act', 21: 'redundant', 22: 'diff_act', 23: 'redundant'}",0.125,"['(load-airplane p0 a1 l1-0)', '(fly-airplane a1 l1-0 l0-0)', '(unload-airplane p0 a1 l0-0)']",[],False,-1.0,-4.875,0,0,False,"['(load-airplane p0 a1 l1-0)', '(fly-airplane a1 l1-0 l0-0)', '(unload-airplane p0 a1 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-1 l0-2 c0)', '(load-truck p0 t0 l0-2)', '(drive-truck t0 l0-2 l0-3 c0)', '(load-truck p0 t0 l0-3)', '(drive-truck t0 l0-3 l0-4 c0)', '(load-truck p0 t0 l0-4)', '(drive-truck t0 l0-4 l0-5 c0)', '(load-truck p0 t0 l0-5)', '(drive-truck t0 l0-5 l0-6 c0)', '(load-truck p0 t0 l0-6)', '(drive-truck t0 l0-6 l0-7 c0)', '(load-truck p0 t0 l0-7)', '(drive-truck t0 l0-7 l0-8 c0)', '(load-truck p0 t0 l0-8)', '(drive-truck t0 l0-8 l0-9 c0)', '(load-truck p0 t0 l0-9)', '(drive-truck t0 l0-9 l0-10 c0)', '(load-truck p0 t0 l0-10)', '(drive-truck t0)']",-4.627976190476191,0,0,False,[],0.0,3,0,False,"['(load-airplane p0 a1 l1-0)', '(fly-airplane a1 l1-0 l0-0)', '(unload-airplane p0 a1 l0-0)']",1.0,0,3,True,"['(load-airplane p0 a1 l1-0)', '(fly-airplane a1 l1-0 l0-0)', '(unload-airplane p0 a1 l0-0)']",True
qwen,logistics,_zero_shot,3,"['(fly-airplane a0 l1-0 l0-0)', '(load-airplane p1 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p1 a0 l1-0)']","['(load-truck p0 t0 l1-0 c1)', '(drive-truck t0 l1-0 l1-1 c1)', '(load-airplane p0 a0 l1-1 c1)', '(fly-airplane a0 l1-1 l2-1 c2)', '(drive-truck t0 l1-1 l1-2 c1)', '(load-truck p0 t0 l1-2 c1)', '(drive-truck t0 l1-2 l1-1 c1)', '(unload-truck p0 t0 l1-1 c1)', '(drive-truck t0 l1-1 l1-0 c1)', '(unload-truck p0 t0 l1-0 c1)', '(load-truck p1 t1 l1-0 c1)', '(drive-truck t1 l1-0 l1-1 c1)', '(load-airplane p1 a1 l1-1 c1)', '(fly-airplane a1 l1-1 l2-1 c2)', '(drive-truck t1 l1-1 l1-2 c1)', '(load-truck p1 t1 l1-2 c1)', '(drive-truck t1 l1-2 l1-1 c1)', '(unload-truck p1 t1 l1-1 c1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p1 t1 l1-0 c1)']","{0: 'diff_act', 1: 'diff_act', 2: 'same_act', 3: 'diff_act', 4: 'redundant', 5: 'redundant', 6: 'redundant', 7: 'redundant', 8: 'redundant', 9: 'redundant', 10: 'redundant', 11: 'redundant', 12: 'redundant', 13: 'redundant', 14: 'redundant', 15: 'redundant', 16: 'redundant', 17: 'redundant', 18: 'redundant', 19: 'redundant'}","{0: 'diff_act', 1: 'diff_act', 2: 'same_act', 3: 'diff_act', 4: 'redundant', 5: 'redundant', 6: 'redundant', 7: 'redundant', 8: 'diff_act', 9: 'diff_act', 10: 'diff_act', 11: 'diff_act', 12: 'same_act', 13: 'same_act', 14: 'redundant', 15: 'redundant', 16: 'redundant', 17: 'redundant', 18: 'diff_act', 19: 'diff_act'}",0.125,"['(fly-airplane a0 l1-0 l0-0)', '(load-airplane p1 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p1 a0 l1-0)']",[],False,-1.0,-1.908159975036405,20,0,False,"['(load-truck p0 t0 l1-0 c1)', '(drive-truck t0 l1-0 l1-1 c1)', '(load-airplane p0 a0 l1-1 c1)', '(fly-airplane a0 l1-1 l2-1 c2)', '(drive-truck t0 l1-1 l1-2 c1)', '(load-truck p0 t0 l1-2 c1)', '(drive-truck t0 l1-2 l1-1 c1)', '(unload-truck p0 t0 l1-1 c1)', '(drive-truck t0 l1-1 l1-0 c1)', '(unload-truck p0 t0 l1-0 c1)', '(load-truck p1 t1 l1-0 c1)', '(drive-truck t1 l1-0 l1-1 c1)', '(load-airplane p1 a1 l1-1 c1)', '(fly-airplane a1 l1-1 l2-1 c2)', '(drive-truck t1 l1-1 l1-2 c1)', '(load-truck p1 t1 l1-2 c1)', '(drive-truck t1 l1-2 l1-1 c1)', '(unload-truck p1 t1 l1-1 c1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p1 t1 l1-0 c1)']",-1.908159975036405,20,0,False,[],0.0,4,0,False,[],0.0,4,0,False,"['(fly-airplane a0 l1-0 l0-0)', '(load-airplane p1 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p1 a0 l1-0)']",True
qwen,logistics,_zero_shot,4,"['(load-airplane p1 a0 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p1 a0 l0-0)', '(unload-airplane p0 a0 l0-0)']","['(load-truck p0 t0 l0-0)', '(drive-truck t0 l0-0 l1-0 c0)', '(load-truck p1 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(fly-airplane a0 l1-0 l2-0 c2)', '(load-airplane p0 a0 l2-0)', '(fly-airplane a0 l2-0 l1-0 c1)', '(drive-truck t0 l1-0 l1-1 c1)', '(unload-truck p0 t0 l1-1 c1)', '(drive-truck t0 l1-1 l0-0 c0)', '(unload-truck p1 t0 l0-0 c0)']","{0: 'diff_act', 1: 'diff_act', 2: 'diff_act', 3: 'diff_act', 4: 'diff_act', 5: 'redundant', 6: 'redundant', 7: 'redundant', 8: 'redundant', 9: 'redundant', 10: 'redundant'}","{0: 'diff_act', 1: 'diff_act', 2: 'diff_act', 3: 'diff_act', 4: 'diff_act', 5: 'same_act', 6: 'same_act', 7: 'diff_act', 8: 'redundant', 9: 'redundant', 10: 'diff_act'}",0.2272727272727272,"['(load-airplane p1 a0 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p1 a0 l0-0)', '(unload-airplane p0 a0 l0-0)']",[],False,1.1421553697536029,1.0692282374681816,11,0,False,"['(load-truck p0 t0 l0-0)', '(drive-truck t0 l0-0 l1-0 c0)', '(load-truck p1 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(fly-airplane a0 l1-0 l1-0 c2)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l1-0 c1)', '(drive-truck t0 l1-0 l1-1 c1)', '(unload-truck p0 t0 l1-1 c1)', '(drive-truck t0 l1-1 l0-0 c0)', '(unload-truck p1 t0 l0-0 c0)']",1.2150825020390237,11,0,False,[],0.0,5,0,False,['(load-airplane p0 a0 l1-0)'],1.0,5,1,False,"['(load-airplane p1 a0 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p1 a0 l0-0)', '(unload-airplane p0 a0 l0-0)']",True
qwen,logistics,_zero_shot,5,"['(fly-airplane a1 l0-0 l1-0)', '(load-airplane p1 a1 l1-0)', '(fly-airplane a1 l1-0 l0-0)', '(unload-airplane p1 a1 l0-0)']","['(load-truck p0 t0 l1-0 c1)', '(drive-truck t0 l1-0 c1 l1-1 c1)', '(load-airplane p0 a0 l1-1 c1)', '(fly-airplane a0 l1-1 c1 l0-0 c0)', '(drive-truck t0 l1-1 c1 l1-0 c1)', '(load-truck p1 t1 l0-0 c0)', '(drive-truck t1 l0-0 c0 l0-1 c0)', '(load-airplane p1 a1 l0-1 c0)', '(fly-airplane a1 l0-1 c0 l1-0 c1)', '(drive-truck t1 l0-1 c0 l1-0 c1)', '(unload-airplane p0 a0 l1-0 c1)', '(drive-truck t0 l1-0 c1 l1-1 c1)', '(unload-airplane p1 a1 l0-0 c0)', '(drive-truck t0 l1-1 c1 l1-0 c1)', '(unload-truck p0 t0 l1-0 c1)', '(unload-truck p1 t0 l0-0 c0)']","{0: 'diff_act', 1: 'diff_act', 2: 'diff_act', 3: 'diff_act', 4: 'redundant', 5: 'redundant', 6: 'redundant', 7: 'redundant', 8: 'redundant', 9: 'redundant', 10: 'redundant', 11: 'redundant', 12: 'redundant', 13: 'redundant', 14: 'redundant', 15: 'redundant'}","{0: 'diff_act', 1: 'diff_act', 2: 'diff_act', 3: 'diff_act', 4: 'diff_act', 5: 'diff_act', 6: 'diff_act', 7: 'same_act', 8: 'same_act', 9: 'diff_act', 10: 'same_act', 11: 'diff_act', 12: 'same_act', 13: 'diff_act', 14: 'diff_act', 15: 'diff_act'}",0.125,"['(fly-airplane a1 l0-0 l1-0)', '(load-airplane p1 a1 l1-0)', '(fly-airplane a1 l1-0 l0-0)', '(unload-airplane p1 a1 l0-0)']",[],False,-1.0,-0.9133249687955064,16,0,False,"['(load-truck p0 t0 l1-0 c1)', '(drive-truck t0 l1-0 c1 l1-1 c1)', '(load-airplane p0 a0 l1-1 c1)', '(fly-airplane a0 l1-1 c1 l0-0 c0)', '(drive-truck t0 l1-1 c1 l1-0 c1)', '(load-truck p1 t1 l0-0 c0)', '(drive-truck t1 l0-0 c0 l0-1 c0)', '(load-airplane p1 a1 l0-1 c0)', '(fly-airplane a1 l0-1 c0 l1-0 c1)', '(drive-truck t1 l0-1 c0 l1-0 c1)', '(unload-airplane p0 a0 l1-0 c1)', '(drive-truck t0 l1-0 c1 l1-1 c1)', '(unload-airplane p1 a1 l0-0 c0)', '(drive-truck t0 l1-1 c1 l1-0 c1)', '(unload-truck p0 t0 l1-0 c1)', '(unload-truck p1 t0 l0-0 c0)']",-0.9133249687955064,16,0,False,[],0.0,4,0,False,[],0.0,4,0,False,"['(fly-airplane a1 l0-0 l1-0)', '(load-airplane p1 a1 l1-0)', '(fly-airplane a1 l1-0 l0-0)', '(unload-airplane p1 a1 l0-0)']",True
qwen,logistics,_zero_shot,6,"['(load-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p0 t1 l1-1)']","['(load-airplane p0 a0 l1-0 c1)', '(fly-airplane a0 l1-0 c1 l2-1 c2)', '(unload-airplane p0 a0 l2-1 c2)', '(drive-truck t0 l0-0 c0 l1-0 c1)', '(load-truck p0 t0 l1-0 c1)', '(drive-truck t0 l1-0 c1 l1-1 c1)', '(unload-truck p0 t0 l1-1 c1)']","{0: 'diff_act', 1: 'diff_act', 2: 'diff_act', 3: 'redundant', 4: 'redundant', 5: 'redundant', 6: 'redundant'}","{0: 'diff_act', 1: 'diff_act', 2: 'diff_act', 3: 'same_act', 4: 'same_act', 5: 'same_act', 6: 'same_act'}",0.2142857142857142,"['(load-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p0 t1 l1-1)']",[],False,0.9371635610766046,0.9371635610766046,7,0,False,"['(load-airplane p0 a0 l1-0 c1)', '(fly-airplane a0 l1-0 c1 l2-1 c2)', '(unload-airplane p0 a0 l2-1 c2)', '(drive-truck t0 l0-0 c0 l1-0 c1)', '(load-truck p0 t0 l1-0 c1)', '(drive-truck t0 l1-0 c1 l1-1 c1)', '(unload-truck p0 t0 l1-1 c1)']",0.9371635610766046,7,0,False,[],0.0,3,0,False,[],0.0,3,0,False,"['(load-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p0 t1 l1-1)']",True
qwen,logistics,_zero_shot,7,"['(drive-truck t0 l0-0 l0-1 c0)', '(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p0 t0 l0-0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p0 a0 l1-0)']",[],{},{},0.0,"['(drive-truck t0 l0-0 l0-1 c0)', '(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p0 t0 l0-0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p0 a0 l1-0)']",[],True,0.0,0.0,7,0,False,[],0.0,7,0,False,[],0.0,7,0,False,[],0.0,7,0,False,"['(drive-truck t0 l0-0 l0-1 c0)', '(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p0 t0 l0-0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p0 a0 l1-0)']",True
qwen,logistics,_zero_shot,8,"['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']",[],{},{},0.0,"['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']",[],True,0.0,0.0,6,0,False,[],0.0,6,0,False,[],0.0,6,0,False,[],0.0,6,0,False,"['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']",True
qwen,logistics,_zero_shot,10,"['(load-truck p1 t0 l0-0)', '(load-truck p0 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p1 t0 l0-1)', '(unload-truck p0 t0 l0-1)']","['(load-truck p0 t0 l0-0 c0)', '(drive-truck t0 l0-0 l0-1 c0)', '(load-truck p1 t1 l0-1 c0)', '(drive-truck t1 l0-1 l1-1 c1)', '(fly-airplane a0 l0-0 l1-1 c1)', '(unload-truck p0 t0 l1-1 c1)', '(unload-truck p1 t1 l1-1 c1)', '(fly-airplane a0 l1-1 l0-0 c0)', '(unload-airplane p0 a0 l0-0 c0)', '(unload-airplane p1 a0 l0-0 c0)']","{1: 'correct', 0: 'same_act', 2: 'diff_act', 3: 'diff_act', 4: 'diff_act', 5: 'redundant', 6: 'redundant', 7: 'redundant', 8: 'redundant', 9: 'redundant'}","{1: 'correct', 0: 'same_act', 2: 'diff_act', 3: 'diff_act', 4: 'diff_act', 5: 'same_act', 6: 'same_act', 7: 'diff_act', 8: 'diff_act', 9: 'diff_act'}",0.45,"['(load-truck p1 t0 l0-0)', '(load-truck p0 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p1 t0 l0-1)', '(unload-truck p0 t0 l0-1)']",[],False,1.5562480369722258,1.5215369946605644,10,0,False,"['(drive-truck t0 l0-0 l0-0 c0)', '(load-truck p1 t0 l0-0 c0)', '(drive-truck t0 l0-0 l0-1 c0)', '(fly-airplane a0 l0-0 l0-1 c0)', '(unload-truck p0 t0 l0-1 c0)', '(unload-truck p1 t0 l0-1 c0)', '(fly-airplane a0 l0-1 l0-0 c0)', '(unload-airplane p0 a0 l0-0 c0)', '(unload-airplane p1 a0 l0-0 c0)', '(load-truck p0 t0 l0-0 c0)']",1.5909590792838872,9,0,False,['(drive-truck t0 l0-0 l0-1 c0)'],1.0,5,1,False,['(drive-truck t0 l0-0 l0-1 c0)'],1.0,5,0,False,"['(load-truck p1 t0 l0-0)', '(load-truck p0 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p1 t0 l0-1)', '(unload-truck p0 t0 l0-1)']",False
qwen,logistics,_zero_shot,11,"['(load-truck p0 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p0 t0 l0-1)', '(drive-truck t1 l1-0 l1-1 c1)', '(load-truck p1 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p1 t1 l1-0)']","['(load-truck p0 t0 l0-0 c0)', '(drive-truck t0 l0-0 l0-1 c0)', '(load-airplane p0 a0 l0-1 c0)', '(fly-airplane a0 l0-1 l1-1 c1)', '(drive-truck t0 l1-1 l1-0 c1)', '(load-truck p1 t1 l1-0 c1)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p1 t1 l1-1 c1)', '(load-airplane p1 a1 l1-1 c1)', '(fly-airplane a1 l1-1 l0-1 c0)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p0 t0 l0-0 c0)', '(unload-airplane p1 a1 l0-0 c0)']","{1: 'position', 6: 'correct', 0: 'same_act', 2: 'diff_act', 3: 'diff_act', 4: 'diff_act', 5: 'diff_act', 7: 'redundant', 8: 'redundant', 9: 'redundant', 10: 'redundant', 11: 'redundant', 12: 'redundant'}","{1: 'position', 6: 'correct', 0: 'same_act', 2: 'diff_act', 3: 'diff_act', 4: 'diff_act', 5: 'diff_act', 7: 'same_act', 8: 'redundant', 9: 'redundant', 10: 'same_act', 11: 'same_act', 12: 'diff_act'}",0.6923076923076923,"['(load-truck p0 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p0 t0 l0-1)', '(drive-truck t1 l1-0 l1-1 c1)', '(load-truck p1 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p1 t1 l1-0)']",[],False,1.7073952834082058,1.7073952834082058,12,0,False,"['(load-truck p0 t0 l0-0 c0)', '(drive-truck t0 l0-0 l0-1 c0)', '(load-airplane p0 a0 l0-1 c0)', '(fly-airplane a0 l0-1 l1-1 c1)', '(drive-truck t0 l1-1 l1-0 c1)', '(load-truck p1 t1 l1-0 c1)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p1 t1 l1-1 c1)', '(load-airplane p1 a1 l1-1 c1)', '(fly-airplane a1 l1-1 l0-1 c0)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p0 t0 l0-0 c0)', '(unload-airplane p1 a1 l0-0 c0)']",1.7073952834082058,12,0,False,"['(drive-truck t0 l0-0 l0-1 c0)', '(drive-truck t1 l1-0 l1-1 c1)']",1.0,7,0,False,"['(drive-truck t0 l0-0 l0-1 c0)', '(drive-truck t1 l1-0 l1-1 c1)']",1.0,7,2,False,"['(load-truck p0 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p0 t0 l0-1)', '(drive-truck t1 l1-0 l1-1 c1)', '(load-truck p1 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p1 t1 l1-0)']",False
