model,domain,task,instance_id,gt_plan,curr_plan,plan_trace,nr_plan_trace,trace_score,complementary_plan,correct_part,executability,final_score,curr_score,curr_steps,curr_last_act,curr_validity,cdt_plan,cdt_score,cdt_steps,cdt_last_act,cdt_validity,subseq_plan,subseq_score,subseq_steps,subseq_last_act,subseq_validity,cdt_subseq_plan,cdt_subseq_score,cdt_subseq_steps,cdt_subseq_last_act,cdt_subseq_validity,improved_plan,improved_validity
o4-mini_chat,mystery_blocksworld_3,_state_tracking,2,"['(attack a)', '(overcome a c)', '(attack b)', '(overcome b a)']","['(attack a)', '(overcome a c)', '(attack b)', '(overcome b a)']","{0: 'position', 1: 'position', 2: 'position', 3: 'position'}","{0: 'position', 1: 'position', 2: 'position', 3: 'position'}",4.0,[],"['(attack a)', '(overcome a c)', '(attack b)', '(overcome b a)']",True,4.0,4.0,0,4,True,"['(attack a)', '(overcome a c)', '(attack b)', '(overcome b a)']",4.0,0,4,True,"['(attack a)', '(overcome a c)', '(attack b)', '(overcome b a)']",1.0,0,4,True,"['(attack a)', '(overcome a c)', '(attack b)', '(overcome b a)']",1.0,0,4,True,"['(attack a)', '(overcome a c)', '(attack b)', '(overcome b a)']",True
o4-mini_chat,mystery_blocksworld_3,_state_tracking,3,"['(feast b c)', '(succumb b)', '(feast c a)', '(succumb c)', '(attack b)', '(overcome b a)', '(attack c)', '(overcome c b)']","['(feast b c)', '(succumb b)', '(feast c a)', '(succumb c)', '(attack b)', '(overcome b a)', '(attack c)', '(overcome c b)']","{0: 'position', 1: 'position', 2: 'position', 3: 'position', 4: 'position', 5: 'position', 6: 'position', 7: 'position'}","{0: 'position', 1: 'position', 2: 'position', 3: 'position', 4: 'position', 5: 'position', 6: 'position', 7: 'position'}",4.0,[],"['(feast b c)', '(succumb b)', '(feast c a)', '(succumb c)', '(attack b)', '(overcome b a)', '(attack c)', '(overcome c b)']",True,4.0,4.0,0,8,True,"['(feast b c)', '(succumb b)', '(feast c a)', '(succumb c)', '(attack b)', '(overcome b a)', '(attack c)', '(overcome c b)']",4.0,0,8,True,"['(feast b c)', '(succumb b)', '(feast c a)', '(succumb c)', '(attack b)', '(overcome b a)', '(attack c)', '(overcome c b)']",1.0,0,8,True,"['(feast b c)', '(succumb b)', '(feast c a)', '(succumb c)', '(attack b)', '(overcome b a)', '(attack c)', '(overcome c b)']",1.0,0,8,True,"['(feast b c)', '(succumb b)', '(feast c a)', '(succumb c)', '(attack b)', '(overcome b a)', '(attack c)', '(overcome c b)']",True
o4-mini_chat,mystery_blocksworld_3,_state_tracking,4,"['(feast a b)', '(succumb a)', '(feast b c)', '(overcome b a)']","['(feast a b)', '(succumb a)', '(feast b c)', '(overcome b a)']","{0: 'position', 1: 'position', 2: 'position', 3: 'position'}","{0: 'position', 1: 'position', 2: 'position', 3: 'position'}",4.0,[],"['(feast a b)', '(succumb a)', '(feast b c)', '(overcome b a)']",True,4.0,4.0,0,4,True,"['(feast a b)', '(succumb a)', '(feast b c)', '(overcome b a)']",4.0,0,4,True,"['(feast a b)', '(succumb a)', '(feast b c)', '(overcome b a)']",1.0,0,4,True,"['(feast a b)', '(succumb a)', '(feast b c)', '(overcome b a)']",1.0,0,4,True,"['(feast a b)', '(succumb a)', '(feast b c)', '(overcome b a)']",True
o4-mini_chat,mystery_blocksworld_3,_state_tracking,5,"['(feast a b)', '(succumb a)', '(feast b c)', '(succumb b)', '(attack c)', '(overcome c a)', '(attack b)', '(overcome b c)']","['(feast a b)', '(succumb a)', '(feast b c)', '(succumb b)', '(attack c)', '(overcome c a)', '(attack b)', '(overcome b c)']","{0: 'position', 1: 'position', 2: 'position', 3: 'position', 4: 'position', 5: 'position', 6: 'position', 7: 'position'}","{0: 'position', 1: 'position', 2: 'position', 3: 'position', 4: 'position', 5: 'position', 6: 'position', 7: 'position'}",4.0,[],"['(feast a b)', '(succumb a)', '(feast b c)', '(succumb b)', '(attack c)', '(overcome c a)', '(attack b)', '(overcome b c)']",True,4.0,4.0,0,8,True,"['(feast a b)', '(succumb a)', '(feast b c)', '(succumb b)', '(attack c)', '(overcome c a)', '(attack b)', '(overcome b c)']",4.0,0,8,True,"['(feast a b)', '(succumb a)', '(feast b c)', '(succumb b)', '(attack c)', '(overcome c a)', '(attack b)', '(overcome b c)']",1.0,0,8,True,"['(feast a b)', '(succumb a)', '(feast b c)', '(succumb b)', '(attack c)', '(overcome c a)', '(attack b)', '(overcome b c)']",1.0,0,8,True,"['(feast a b)', '(succumb a)', '(feast b c)', '(succumb b)', '(attack c)', '(overcome c a)', '(attack b)', '(overcome b c)']",True
o4-mini_chat,mystery_blocksworld_3,_state_tracking,6,"['(feast a c)', '(succumb a)', '(feast c b)', '(overcome c a)', '(attack b)', '(overcome b c)']","['(feast a c)', '(succumb a)', '(feast c b)', '(succumb c)', '(attack c)', '(overcome c a)', '(attack b)', '(overcome b c)']","{0: 'position', 1: 'position', 2: 'position', 5: 'correct', 6: 'correct', 7: 'correct', 3: 'redundant', 4: 'redundant'}","{0: 'position', 1: 'position', 2: 'position', 5: 'correct', 6: 'correct', 7: 'correct', 3: 'same_act', 4: 'same_act'}",2.25,[],"['(feast a c)', '(succumb a)', '(feast c b)', '(succumb c)', '(attack c)', '(overcome c a)', '(attack b)', '(overcome b c)']",True,3.083333333333333,3.1666666666666665,2,8,True,"['(feast a c)', '(succumb a)', '(feast c b)', '(succumb c)', '(attack c)', '(overcome c a)', '(attack b)', '(overcome b c)']",3.1666666666666665,2,8,True,"['(feast a c)', '(succumb a)', '(feast c b)', '(overcome c a)', '(attack b)', '(overcome b c)']",1.0,0,6,True,"['(feast a c)', '(succumb a)', '(feast c b)', '(overcome c a)', '(attack b)', '(overcome b c)']",1.0,0,6,True,"['(feast a c)', '(succumb a)', '(feast c b)', '(succumb c)', '(attack c)', '(overcome c a)', '(attack b)', '(overcome b c)']",True
o4-mini_chat,mystery_blocksworld_3,_state_tracking,7,"['(feast a c)', '(succumb a)', '(attack b)', '(overcome b c)', '(attack a)', '(overcome a b)']","['(feast a c)', '(succumb a)', '(attack b)', '(overcome b c)', '(attack a)', '(overcome a b)']","{0: 'position', 1: 'position', 2: 'position', 3: 'position', 4: 'position', 5: 'position'}","{0: 'position', 1: 'position', 2: 'position', 3: 'position', 4: 'position', 5: 'position'}",4.0,[],"['(feast a c)', '(succumb a)', '(attack b)', '(overcome b c)', '(attack a)', '(overcome a b)']",True,4.0,4.0,0,6,True,"['(feast a c)', '(succumb a)', '(attack b)', '(overcome b c)', '(attack a)', '(overcome a b)']",4.0,0,6,True,"['(feast a c)', '(succumb a)', '(attack b)', '(overcome b c)', '(attack a)', '(overcome a b)']",1.0,0,6,True,"['(feast a c)', '(succumb a)', '(attack b)', '(overcome b c)', '(attack a)', '(overcome a b)']",1.0,0,6,True,"['(feast a c)', '(succumb a)', '(attack b)', '(overcome b c)', '(attack a)', '(overcome a b)']",True
o4-mini_chat,mystery_blocksworld_3,_state_tracking,8,"['(attack a)', '(overcome a c)']","['(attack a)', '(overcome a c)']","{0: 'position', 1: 'position'}","{0: 'position', 1: 'position'}",4.0,[],"['(attack a)', '(overcome a c)']",True,4.0,4.0,0,2,True,"['(attack a)', '(overcome a c)']",4.0,0,2,True,"['(attack a)', '(overcome a c)']",1.0,0,2,True,"['(attack a)', '(overcome a c)']",1.0,0,2,True,"['(attack a)', '(overcome a c)']",True
o4-mini_chat,mystery_blocksworld_3,_state_tracking,9,"['(feast a c)', '(succumb a)', '(attack c)', '(overcome c a)']","['(feast a c)', '(succumb a)', '(attack c)', '(overcome c a)']","{0: 'position', 1: 'position', 2: 'position', 3: 'position'}","{0: 'position', 1: 'position', 2: 'position', 3: 'position'}",4.0,[],"['(feast a c)', '(succumb a)', '(attack c)', '(overcome c a)']",True,4.0,4.0,0,4,True,"['(feast a c)', '(succumb a)', '(attack c)', '(overcome c a)']",4.0,0,4,True,"['(feast a c)', '(succumb a)', '(attack c)', '(overcome c a)']",1.0,0,4,True,"['(feast a c)', '(succumb a)', '(attack c)', '(overcome c a)']",1.0,0,4,True,"['(feast a c)', '(succumb a)', '(attack c)', '(overcome c a)']",True
o4-mini_chat,mystery_blocksworld_3,_state_tracking,10,"['(feast b c)', '(succumb b)', '(attack c)', '(overcome c b)', '(attack a)', '(overcome a c)']","['(feast b c)', '(succumb b)', '(attack c)', '(overcome c b)', '(attack a)', '(overcome a c)']","{0: 'position', 1: 'position', 2: 'position', 3: 'position', 4: 'position', 5: 'position'}","{0: 'position', 1: 'position', 2: 'position', 3: 'position', 4: 'position', 5: 'position'}",4.0,[],"['(feast b c)', '(succumb b)', '(attack c)', '(overcome c b)', '(attack a)', '(overcome a c)']",True,4.0,4.0,0,6,True,"['(feast b c)', '(succumb b)', '(attack c)', '(overcome c b)', '(attack a)', '(overcome a c)']",4.0,0,6,True,"['(feast b c)', '(succumb b)', '(attack c)', '(overcome c b)', '(attack a)', '(overcome a c)']",1.0,0,6,True,"['(feast b c)', '(succumb b)', '(attack c)', '(overcome c b)', '(attack a)', '(overcome a c)']",1.0,0,6,True,"['(feast b c)', '(succumb b)', '(attack c)', '(overcome c b)', '(attack a)', '(overcome a c)']",True
o4-mini_chat,mystery_blocksworld_3,_state_tracking,11,"['(feast c a)', '(succumb c)', '(feast a b)', '(succumb a)', '(attack b)', '(overcome b a)', '(attack c)', '(overcome c b)']","['(feast c a)', '(succumb c)', '(feast a b)', '(succumb a)', '(attack b)', '(overcome b a)', '(attack c)', '(overcome c b)']","{0: 'position', 1: 'position', 2: 'position', 3: 'position', 4: 'position', 5: 'position', 6: 'position', 7: 'position'}","{0: 'position', 1: 'position', 2: 'position', 3: 'position', 4: 'position', 5: 'position', 6: 'position', 7: 'position'}",4.0,[],"['(feast c a)', '(succumb c)', '(feast a b)', '(succumb a)', '(attack b)', '(overcome b a)', '(attack c)', '(overcome c b)']",True,4.0,4.0,0,8,True,"['(feast c a)', '(succumb c)', '(feast a b)', '(succumb a)', '(attack b)', '(overcome b a)', '(attack c)', '(overcome c b)']",4.0,0,8,True,"['(feast c a)', '(succumb c)', '(feast a b)', '(succumb a)', '(attack b)', '(overcome b a)', '(attack c)', '(overcome c b)']",1.0,0,8,True,"['(feast c a)', '(succumb c)', '(feast a b)', '(succumb a)', '(attack b)', '(overcome b a)', '(attack c)', '(overcome c b)']",1.0,0,8,True,"['(feast c a)', '(succumb c)', '(feast a b)', '(succumb a)', '(attack b)', '(overcome b a)', '(attack c)', '(overcome c b)']",True
