model,domain,task,instance_id,gt_plan,curr_plan,plan_trace,nr_plan_trace,trace_score,complementary_plan,correct_part,executability,final_score,curr_score,curr_steps,curr_last_act,curr_validity,cdt_plan,cdt_score,cdt_steps,cdt_last_act,cdt_validity,subseq_plan,subseq_score,subseq_steps,subseq_last_act,subseq_validity,cdt_subseq_plan,cdt_subseq_score,cdt_subseq_steps,cdt_subseq_last_act,cdt_subseq_validity,improved_plan,improved_validity
llama,blocksworld_3,_pddl,21,"['(unstack c b)', '(put-down c)', '(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']","['(pick-up b)', '(stack b a)', '(pick-up a)', '(stack a b)', '(pick-up a)', '(stack a b)', '(pick-up a)', '(stack a b)', '(pick-up a)', '(stack a b)', '(pick-up a)', '(stack a b)', '(pick-up a)', '(stack )']","{2: 'position', 0: 'correct', 1: 'correct', 3: 'same_act', 4: 'diff_act', 5: 'diff_act', 6: 'redundant', 7: 'redundant', 8: 'redundant', 9: 'redundant', 10: 'redundant', 11: 'redundant', 12: 'redundant', 13: 'redundant'}","{2: 'position', 0: 'correct', 1: 'correct', 3: 'same_act', 4: 'diff_act', 5: 'diff_act', 6: 'correct', 7: 'same_act', 8: 'correct', 9: 'same_act', 10: 'correct', 11: 'same_act', 12: 'correct', 13: 'same_act'}",0.7142857142857143,"['(unstack c b)', '(put-down c)', '(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']",[],False,1.107440476190476,1.0625,14,0,False,"['(pick-up a)', '(stack a b)', '(pick-up b)', '(stack b a)', '(pick-up b)', '(stack b a)', '(pick-up b)', '(stack b a)', '(pick-up b)', '(stack b a)', '(pick-up b)', '(stack b a)', '(pick-up b)', '(stack )']",1.1523809523809525,14,0,False,"['(pick-up b)', '(stack b a)']",1.0,6,0,False,"['(pick-up a)', '(pick-up b)', '(stack b a)']",1.0,6,1,False,"['(unstack c b)', '(put-down c)', '(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']",True
llama,blocksworld_3,_pddl,22,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(put-down c)', '(pick-up b)', '(stack b c)']","['(unstack c b)', '(put-down c)', '(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)', '(unstack c b)', '(put-down c)', '(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']","{4: 'position', 0: 'correct', 1: 'correct', 2: 'diff_act', 3: 'same_act', 5: 'diff_act', 6: 'redundant', 7: 'redundant', 8: 'redundant', 9: 'redundant', 10: 'redundant', 11: 'redundant'}","{4: 'position', 0: 'correct', 1: 'correct', 2: 'diff_act', 3: 'same_act', 5: 'diff_act', 6: 'correct', 7: 'correct', 8: 'same_act', 9: 'same_act', 10: 'correct', 11: 'same_act'}",0.8333333333333334,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(put-down c)', '(pick-up b)', '(stack b c)']",[],False,1.594444444444444,1.553472222222222,11,0,False,"['(unstack c a)', '(put-down c)', '(pick-up b)', '(stack b c)', '(pick-up a)', '(stack a b)', '(unstack c a)', '(put-down c)', '(pick-up b)', '(stack b c)', '(pick-up a)', '(stack a b)']",1.6354166666666663,12,0,False,"['(unstack c b)', '(put-down c)', '(pick-up b)']",1.0,6,0,False,"['(put-down c)', '(pick-up b)', '(stack b c)']",1.0,6,0,False,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(put-down c)', '(pick-up b)', '(stack b c)']",True
llama,blocksworld_3,_pddl,23,"['(unstack c a)', '(put-down c)', '(unstack a b)', '(put-down a)', '(pick-up c)', '(stack c b)']","['(unstack a c)', '(put-down a)', '(unstack c b)', '(put-down c)', '(pick-up b)', '(stack b c)', '(unstack a b)', '(put-down a)', '(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c b)', '(unstack a b)', '(put-down a)', '(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c b)', '(unstack a b)', '(put-down a)', '(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c b)', '(unstack a b)', '(put-down a)', '(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c b)', '(unstack a b)', '(put-down a)', '(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c b)']","{1: 'correct', 3: 'correct', 6: 'correct', 10: 'correct', 11: 'correct', 0: 'same_act', 2: 'redundant', 4: 'redundant', 5: 'redundant', 7: 'redundant', 8: 'redundant', 9: 'redundant', 12: 'redundant', 13: 'redundant', 14: 'redundant', 15: 'redundant', 16: 'redundant', 17: 'redundant', 18: 'redundant', 19: 'redundant', 20: 'redundant', 21: 'redundant', 22: 'redundant', 23: 'redundant', 24: 'redundant', 25: 'redundant', 26: 'redundant', 27: 'redundant', 28: 'redundant', 29: 'redundant', 30: 'redundant', 31: 'redundant', 32: 'redundant', 33: 'redundant', 34: 'redundant', 35: 'redundant'}","{1: 'correct', 3: 'correct', 6: 'correct', 10: 'correct', 11: 'correct', 0: 'same_act', 2: 'same_act', 4: 'same_act', 5: 'same_act', 7: 'correct', 8: 'same_act', 9: 'same_act', 12: 'correct', 13: 'correct', 14: 'same_act', 15: 'same_act', 16: 'correct', 17: 'correct', 18: 'correct', 19: 'correct', 20: 'same_act', 21: 'same_act', 22: 'correct', 23: 'correct', 24: 'correct', 25: 'correct', 26: 'same_act', 27: 'same_act', 28: 'correct', 29: 'correct', 30: 'correct', 31: 'correct', 32: 'same_act', 33: 'same_act', 34: 'correct', 35: 'correct'}",0.3055555555555556,"['(unstack c a)', '(put-down c)', '(unstack a b)', '(put-down a)', '(pick-up c)', '(stack c b)']",[],False,-1.0,-2.8000000000000003,34,0,False,"['(unstack c a)', '(put-down c)', '(unstack a b)', '(put-down a)', '(pick-up b)', '(stack b a)', '(unstack c b)', '(put-down c)', '(unstack b a)', '(put-down b)', '(pick-up a)', '(stack a b)', '(unstack c b)', '(put-down c)', '(unstack b a)', '(put-down b)', '(pick-up a)', '(stack a b)', '(unstack c b)', '(put-down c)', '(unstack b a)', '(put-down b)', '(pick-up a)', '(stack a b)', '(unstack c b)', '(put-down c)', '(unstack b a)', '(put-down b)', '(pick-up a)', '(stack a b)', '(unstack c b)', '(put-down c)', '(unstack b a)', '(put-down b)', '(pick-up a)', '(stack a b)']",-2.6602850399419027,32,6,False,"['(put-down c)', '(unstack a b)', '(put-down a)', '(pick-up c)', '(stack c b)']",1.0,6,0,False,"['(unstack c a)', '(put-down c)', '(unstack a b)', '(put-down a)']",1.0,2,4,False,"['(unstack c a)', '(put-down c)', '(unstack a b)', '(put-down a)', '(pick-up c)', '(stack c b)']",True
llama,blocksworld_3,_pddl,24,"['(pick-up b)', '(stack b c)', '(pick-up a)', '(stack a b)']","['(unstack c a)', '(put-down c)', '(unstack a b)', '(put-down a)', '(pick-up c)', '(stack c b)', '(unstack c a)', '(put-down c)', '(unstack a b)', '(put-down a)', '(pick-up c)', '(stack c b)', '(unstack c a)', '(put-down c)', '(unstack a b)', '(put-down a)', '(pick-up c)', '(stack c b)', '(unstack c a)', '(put-down c)', '(unstack a b)', '(put-down a)', '(pick-up c)', '(stack c b)', '(unstack c a)', '(put-down c)', '(unstack a b)', '(put-down a)', '(pick-up c)', '(stack c b)', '(unstack c a)']","{0: 'diff_act', 1: 'diff_act', 2: 'diff_act', 3: 'diff_act', 4: 'redundant', 5: 'redundant', 6: 'redundant', 7: 'redundant', 8: 'redundant', 9: 'redundant', 10: 'redundant', 11: 'redundant', 12: 'redundant', 13: 'redundant', 14: 'redundant', 15: 'redundant', 16: 'redundant', 17: 'redundant', 18: 'redundant', 19: 'redundant', 20: 'redundant', 21: 'redundant', 22: 'redundant', 23: 'redundant', 24: 'redundant', 25: 'redundant', 26: 'redundant', 27: 'redundant', 28: 'redundant', 29: 'redundant', 30: 'redundant'}","{0: 'diff_act', 1: 'diff_act', 2: 'diff_act', 3: 'diff_act', 4: 'same_act', 5: 'same_act', 6: 'redundant', 7: 'diff_act', 8: 'diff_act', 9: 'redundant', 10: 'same_act', 11: 'same_act', 12: 'redundant', 13: 'diff_act', 14: 'diff_act', 15: 'redundant', 16: 'same_act', 17: 'same_act', 18: 'redundant', 19: 'diff_act', 20: 'diff_act', 21: 'redundant', 22: 'same_act', 23: 'same_act', 24: 'redundant', 25: 'diff_act', 26: 'diff_act', 27: 'redundant', 28: 'same_act', 29: 'same_act', 30: 'redundant'}",0.064516129032258,"['(pick-up b)', '(stack b c)', '(pick-up a)', '(stack a b)']",[],False,-1.0,-4.731810035842294,31,0,False,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(put-down c)', '(pick-up a)', '(stack a b)', '(unstack a c)', '(put-down a)', '(unstack c b)', '(put-down c)', '(pick-up a)', '(stack a b)', '(unstack a c)', '(put-down a)', '(unstack c b)', '(put-down c)', '(pick-up a)', '(stack a b)', '(unstack a c)', '(put-down a)', '(unstack c b)', '(put-down c)', '(pick-up a)', '(stack a b)', '(unstack a c)', '(put-down a)', '(unstack c b)', '(put-down c)', '(pick-up a)', '(stack a b)', '(unstack a c)']",-4.611559139784946,29,0,False,[],0.0,4,0,False,"['(pick-up a)', '(stack a b)']",1.0,4,2,False,"['(pick-up b)', '(stack b c)', '(pick-up a)', '(stack a b)']",True
llama,blocksworld_3,_pddl,25,"['(unstack c b)', '(put-down c)', '(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']","['(pick-up b)', '(stack b c)', '(pick-up a)', '(stack a b)', '(pick-up b)', '(stack b c)', '(pick-up a)', '(stack a b)']","{0: 'correct', 1: 'same_act', 2: 'same_act', 3: 'same_act', 4: 'diff_act', 5: 'diff_act', 6: 'redundant', 7: 'redundant'}","{0: 'correct', 1: 'same_act', 2: 'same_act', 3: 'same_act', 4: 'diff_act', 5: 'diff_act', 6: 'same_act', 7: 'same_act'}",0.75,"['(unstack c b)', '(put-down c)', '(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']",[],False,2.703645833333333,2.2875,9,0,False,"['(pick-up c)', '(stack c b)', '(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)', '(pick-up b)', '(stack b a)']",3.119791666666666,6,0,False,['(pick-up b)'],1.0,6,0,False,"['(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']",1.0,6,0,False,"['(unstack c b)', '(put-down c)', '(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']",False
llama,blocksworld_3,_pddl,26,"['(unstack b a)', '(put-down b)', '(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c b)']","['(unstack c b)', '(put-down c)', '(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)', '(unstack c b)', '(put-down c)', '(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']","{4: 'position', 5: 'position', 0: 'same_act', 1: 'same_act', 2: 'diff_act', 3: 'diff_act', 6: 'redundant', 7: 'redundant', 8: 'redundant', 9: 'redundant', 10: 'redundant', 11: 'redundant'}","{4: 'position', 5: 'position', 0: 'same_act', 1: 'same_act', 2: 'diff_act', 3: 'diff_act', 6: 'same_act', 7: 'same_act', 8: 'same_act', 9: 'same_act', 10: 'correct', 11: 'correct'}",0.9166666666666666,"['(unstack b a)', '(put-down b)', '(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c b)']",[],False,1.6649305555555558,1.5618055555555557,10,0,False,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c b)', '(pick-up a)', '(stack a c)', '(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c b)', '(pick-up a)', '(stack a c)']",1.7680555555555555,12,0,False,"['(pick-up c)', '(stack c b)']",1.0,6,0,False,['(stack a c)'],1.0,0,1,True,"['(unstack b a)', '(put-down b)', '(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c b)']",True
llama,blocksworld_3,_pddl,27,"['(unstack b c)', '(put-down b)', '(unstack c a)', '(stack c b)', '(pick-up a)', '(stack a c)']","['(unstack b a)', '(put-down b)', '(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c b)', '(unstack b a)', '(put-down b)', '(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c b)', '(unstack b a)', '(put-down b)', '(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c b)', '(unstack b a)', '(put-down b)', '(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c b)', '(unstack b a)', '(put-down b)', '(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c b)', '(unstack b a)', '(put-down b)', '(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c b)']","{1: 'position', 5: 'correct', 0: 'same_act', 2: 'same_act', 3: 'diff_act', 4: 'same_act', 6: 'redundant', 7: 'redundant', 8: 'redundant', 9: 'redundant', 10: 'redundant', 11: 'redundant', 12: 'redundant', 13: 'redundant', 14: 'redundant', 15: 'redundant', 16: 'redundant', 17: 'redundant', 18: 'redundant', 19: 'redundant', 20: 'redundant', 21: 'redundant', 22: 'redundant', 23: 'redundant', 24: 'redundant', 25: 'redundant', 26: 'redundant', 27: 'redundant', 28: 'redundant', 29: 'redundant', 30: 'redundant', 31: 'redundant', 32: 'redundant', 33: 'redundant', 34: 'redundant', 35: 'redundant'}","{1: 'position', 5: 'correct', 0: 'same_act', 2: 'same_act', 3: 'diff_act', 4: 'same_act', 6: 'same_act', 7: 'correct', 8: 'same_act', 9: 'same_act', 10: 'same_act', 11: 'correct', 12: 'same_act', 13: 'correct', 14: 'same_act', 15: 'same_act', 16: 'same_act', 17: 'correct', 18: 'same_act', 19: 'correct', 20: 'same_act', 21: 'same_act', 22: 'same_act', 23: 'correct', 24: 'same_act', 25: 'correct', 26: 'same_act', 27: 'same_act', 28: 'same_act', 29: 'correct', 30: 'same_act', 31: 'correct', 32: 'same_act', 33: 'same_act', 34: 'same_act', 35: 'correct'}",0.2638888888888889,"['(unstack b c)', '(put-down b)', '(unstack c a)', '(stack c b)', '(pick-up a)', '(stack a c)']",[],False,-1.0,-2.829012345679012,35,0,False,"['(unstack b c)', '(put-down b)', '(unstack c a)', '(put-down c)', '(pick-up a)', '(stack a b)', '(unstack b c)', '(put-down b)', '(unstack c a)', '(put-down c)', '(pick-up a)', '(stack a b)', '(unstack b c)', '(put-down b)', '(unstack c a)', '(put-down c)', '(pick-up a)', '(stack a b)', '(unstack b c)', '(put-down b)', '(unstack c a)', '(put-down c)', '(pick-up a)', '(stack a b)', '(unstack b c)', '(put-down b)', '(unstack c a)', '(put-down c)', '(pick-up a)', '(stack a b)', '(unstack b c)', '(put-down b)', '(unstack c a)', '(put-down c)', '(pick-up a)', '(stack a b)']",-2.700308641975309,32,0,False,"['(put-down b)', '(stack c b)']",1.0,6,0,False,"['(unstack b c)', '(put-down b)', '(unstack c a)', '(pick-up a)']",1.0,3,3,False,"['(unstack b c)', '(put-down b)', '(unstack c a)', '(stack c b)', '(pick-up a)', '(stack a c)']",True
llama,blocksworld_3,_pddl,28,"['(unstack c a)', '(put-down c)', '(unstack a b)', '(put-down a)', '(pick-up b)', '(stack b c)', '(pick-up a)', '(stack a b)']","['(unstack b c)', '(put-down b)', '(unstack c a)', '(stack c b)', '(pick-up a)', '(stack a c)', '(unstack b c)', '(put-down b)', '(unstack c a)', '(stack c b)', '(pick-up a)', '(stack a c)']","{2: 'correct', 4: 'correct', 0: 'same_act', 1: 'diff_act', 3: 'same_act', 5: 'diff_act', 6: 'diff_act', 7: 'same_act', 8: 'redundant', 9: 'redundant', 10: 'redundant', 11: 'redundant'}","{2: 'correct', 4: 'correct', 0: 'same_act', 1: 'diff_act', 3: 'same_act', 5: 'diff_act', 6: 'diff_act', 7: 'same_act', 8: 'correct', 9: 'same_act', 10: 'correct', 11: 'same_act'}",0.7083333333333334,"['(unstack c a)', '(put-down c)', '(unstack a b)', '(put-down a)', '(pick-up b)', '(stack b c)', '(pick-up a)', '(stack a b)']",[],False,2.159606481481481,1.9601851851851853,12,0,False,"['(unstack c a)', '(put-down c)', '(unstack a b)', '(stack a c)', '(pick-up b)', '(stack b a)', '(unstack c a)', '(put-down c)', '(unstack a b)', '(stack a c)', '(pick-up b)', '(stack b a)']",2.359027777777778,10,0,False,"['(unstack c a)', '(pick-up a)']",1.0,7,1,False,"['(unstack c a)', '(put-down c)', '(unstack a b)', '(pick-up b)']",1.0,5,3,False,"['(unstack c a)', '(put-down c)', '(unstack a b)', '(put-down a)', '(pick-up b)', '(stack b c)', '(pick-up a)', '(stack a b)']",True
llama,blocksworld_3,_pddl,29,"['(unstack b a)', '(put-down b)', '(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']","['(unstack c a)', '(put-down c)', '(unstack a b)', '(put-down a)', '(pick-up b)', '(stack b c)', '(pick-up a)', '(stack a b)', '(unstack c a)', '(put-down c)', '(unstack a b)', '(put-down a)', '(pick-up b)', '(stack b c)', '(pick-up a)', '(stack a b)']","{4: 'position', 6: 'correct', 0: 'same_act', 1: 'diff_act', 2: 'diff_act', 3: 'same_act', 5: 'redundant', 7: 'redundant', 8: 'redundant', 9: 'redundant', 10: 'redundant', 11: 'redundant', 12: 'redundant', 13: 'redundant', 14: 'redundant', 15: 'redundant'}","{4: 'position', 6: 'correct', 0: 'same_act', 1: 'diff_act', 2: 'diff_act', 3: 'same_act', 5: 'same_act', 7: 'same_act', 8: 'same_act', 9: 'same_act', 10: 'same_act', 11: 'same_act', 12: 'correct', 13: 'same_act', 14: 'correct', 15: 'same_act'}",0.5625,"['(unstack b a)', '(put-down b)', '(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']",[],False,1.036111111111111,0.6555555555555554,15,0,False,"['(unstack b a)', '(put-down b)', '(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)', '(unstack c b)', '(put-down c)', '(unstack b a)', '(put-down b)', '(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)', '(unstack c b)', '(put-down c)']",1.4166666666666663,10,6,False,"['(pick-up a)', '(pick-up b)']",1.0,6,0,False,"['(unstack b a)', '(put-down b)', '(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']",1.0,0,6,True,"['(unstack b a)', '(put-down b)', '(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']",True
llama,blocksworld_3,_pddl,30,"['(unstack c a)', '(put-down c)', '(pick-up a)', '(stack a c)']","['(unstack b a)', '(put-down b)', '(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)', '(unstack b a)', '(put-down b)', '(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']","{2: 'position', 3: 'position', 0: 'same_act', 1: 'same_act', 4: 'redundant', 5: 'redundant', 6: 'redundant', 7: 'redundant', 8: 'redundant', 9: 'redundant', 10: 'redundant', 11: 'redundant'}","{2: 'position', 3: 'position', 0: 'same_act', 1: 'same_act', 4: 'same_act', 5: 'same_act', 6: 'same_act', 7: 'same_act', 8: 'correct', 9: 'correct', 10: 'same_act', 11: 'same_act'}",0.8333333333333334,"['(unstack c a)', '(put-down c)', '(pick-up a)', '(stack a c)']",[],False,0.6805555555555556,0.6041666666666666,10,0,False,"['(unstack c a)', '(put-down c)', '(pick-up a)', '(stack a b)', '(pick-up c)', '(stack c a)', '(unstack c a)', '(put-down c)', '(pick-up a)', '(stack a b)', '(pick-up c)', '(stack c a)']",0.7569444444444445,9,2,False,"['(pick-up a)', '(stack a c)']",1.0,4,0,False,"['(unstack c a)', '(put-down c)', '(pick-up a)']",1.0,1,3,False,"['(unstack c a)', '(put-down c)', '(pick-up a)', '(stack a c)']",True
