model,domain,task,instance_id,gt_plan,curr_plan,plan_trace,nr_plan_trace,trace_score,complementary_plan,correct_part,executability,final_score,curr_score,curr_steps,curr_last_act,curr_validity,cdt_plan,cdt_score,cdt_steps,cdt_last_act,cdt_validity,subseq_plan,subseq_score,subseq_steps,subseq_last_act,subseq_validity,cdt_subseq_plan,cdt_subseq_score,cdt_subseq_steps,cdt_subseq_last_act,cdt_subseq_validity,improved_plan,improved_validity
o4-mini_chat,obfuscated_randomized_logistics,_zero_shot,1,"['(i43ia3g2ygc7vwqf object_1 object_6 object_7)', '(e6tbvxb13cxqiqfm object_8 object_1 object_7)', '(i43ia3g2ygc7vwqf object_1 object_7 object_6)', '(kl6t91ujyqzora0b object_8 object_1 object_6)']","['(i43ia3g2ygc7vwqf object_0 object_6 object_7)', '(e6tbvxb13cxqiqfm object_8 object_0 object_7)', '(kl6t91ujyqzora0b object_8 object_0 object_6)']","{0: 'same_act', 1: 'same_act', 2: 'same_act'}","{0: 'same_act', 1: 'same_act', 2: 'same_act'}",1.0,"['(i43ia3g2ygc7vwqf object_1 object_6 object_7)', '(e6tbvxb13cxqiqfm object_8 object_1 object_7)', '(i43ia3g2ygc7vwqf object_1 object_7 object_6)', '(kl6t91ujyqzora0b object_8 object_1 object_6)']",[],False,2.8333333333333335,2.8333333333333335,4,2,False,"['(i43ia3g2ygc7vwqf object_0 object_6 object_7)', '(e6tbvxb13cxqiqfm object_8 object_0 object_7)', '(kl6t91ujyqzora0b object_8 object_0 object_6)']",2.8333333333333335,4,2,False,[],0,4,0,False,[],0,4,0,False,"['(i43ia3g2ygc7vwqf object_1 object_6 object_7)', '(e6tbvxb13cxqiqfm object_8 object_1 object_7)', '(i43ia3g2ygc7vwqf object_1 object_7 object_6)', '(kl6t91ujyqzora0b object_8 object_1 object_6)']",True
o4-mini_chat,obfuscated_randomized_logistics,_zero_shot,2,"['(e6tbvxb13cxqiqfm object_8 object_1 object_7)', '(i43ia3g2ygc7vwqf object_1 object_7 object_6)', '(kl6t91ujyqzora0b object_8 object_1 object_6)']","['(e6tbvxb13cxqiqfm object_8 object_1 object_7)', '(i43ia3g2ygc7vwqf object_1 object_7 object_6)', '(kl6t91ujyqzora0b object_8 object_1 object_6)']","{0: 'position', 1: 'position', 2: 'position'}","{0: 'position', 1: 'position', 2: 'position'}",4.0,[],"['(e6tbvxb13cxqiqfm object_8 object_1 object_7)', '(i43ia3g2ygc7vwqf object_1 object_7 object_6)', '(kl6t91ujyqzora0b object_8 object_1 object_6)']",True,4.0,4.0,0,3,True,"['(e6tbvxb13cxqiqfm object_8 object_1 object_7)', '(i43ia3g2ygc7vwqf object_1 object_7 object_6)', '(kl6t91ujyqzora0b object_8 object_1 object_6)']",4.0,0,3,True,"['(e6tbvxb13cxqiqfm object_8 object_1 object_7)', '(i43ia3g2ygc7vwqf object_1 object_7 object_6)', '(kl6t91ujyqzora0b object_8 object_1 object_6)']",1.0,0,3,True,"['(e6tbvxb13cxqiqfm object_8 object_1 object_7)', '(i43ia3g2ygc7vwqf object_1 object_7 object_6)', '(kl6t91ujyqzora0b object_8 object_1 object_6)']",1.0,0,3,True,"['(e6tbvxb13cxqiqfm object_8 object_1 object_7)', '(i43ia3g2ygc7vwqf object_1 object_7 object_6)', '(kl6t91ujyqzora0b object_8 object_1 object_6)']",True
o4-mini_chat,obfuscated_randomized_logistics,_zero_shot,3,"['(i43ia3g2ygc7vwqf object_0 object_6 object_5)', '(e6tbvxb13cxqiqfm object_8 object_0 object_5)', '(i43ia3g2ygc7vwqf object_0 object_5 object_6)', '(kl6t91ujyqzora0b object_8 object_0 object_6)']","['(i43ia3g2ygc7vwqf object_0 object_6 object_5)', '(e6tbvxb13cxqiqfm object_8 object_0 object_5)', '(i43ia3g2ygc7vwqf object_0 object_5 object_6)', '(kl6t91ujyqzora0b object_8 object_0 object_6)']","{0: 'position', 1: 'position', 2: 'position', 3: 'position'}","{0: 'position', 1: 'position', 2: 'position', 3: 'position'}",4.0,[],"['(i43ia3g2ygc7vwqf object_0 object_6 object_5)', '(e6tbvxb13cxqiqfm object_8 object_0 object_5)', '(i43ia3g2ygc7vwqf object_0 object_5 object_6)', '(kl6t91ujyqzora0b object_8 object_0 object_6)']",True,4.0,4.0,0,4,True,"['(i43ia3g2ygc7vwqf object_0 object_6 object_5)', '(e6tbvxb13cxqiqfm object_8 object_0 object_5)', '(i43ia3g2ygc7vwqf object_0 object_5 object_6)', '(kl6t91ujyqzora0b object_8 object_0 object_6)']",4.0,0,4,True,"['(i43ia3g2ygc7vwqf object_0 object_6 object_5)', '(e6tbvxb13cxqiqfm object_8 object_0 object_5)', '(i43ia3g2ygc7vwqf object_0 object_5 object_6)', '(kl6t91ujyqzora0b object_8 object_0 object_6)']",1.0,0,4,True,"['(i43ia3g2ygc7vwqf object_0 object_6 object_5)', '(e6tbvxb13cxqiqfm object_8 object_0 object_5)', '(i43ia3g2ygc7vwqf object_0 object_5 object_6)', '(kl6t91ujyqzora0b object_8 object_0 object_6)']",1.0,0,4,True,"['(i43ia3g2ygc7vwqf object_0 object_6 object_5)', '(e6tbvxb13cxqiqfm object_8 object_0 object_5)', '(i43ia3g2ygc7vwqf object_0 object_5 object_6)', '(kl6t91ujyqzora0b object_8 object_0 object_6)']",True
o4-mini_chat,obfuscated_randomized_logistics,_zero_shot,4,"['(e6tbvxb13cxqiqfm object_8 object_0 object_6)', '(e6tbvxb13cxqiqfm object_7 object_0 object_6)', '(i43ia3g2ygc7vwqf object_0 object_6 object_5)', '(kl6t91ujyqzora0b object_8 object_0 object_5)', '(kl6t91ujyqzora0b object_7 object_0 object_5)']","['(e6tbvxb13cxqiqfm object_7 object_0 object_6)', '(e6tbvxb13cxqiqfm object_8 object_0 object_6)', '(i43ia3g2ygc7vwqf object_0 object_6 object_5)', '(kl6t91ujyqzora0b object_7 object_0 object_5)', '(kl6t91ujyqzora0b object_8 object_0 object_5)']","{2: 'position', 0: 'correct', 1: 'correct', 3: 'correct', 4: 'correct'}","{2: 'position', 0: 'correct', 1: 'correct', 3: 'correct', 4: 'correct'}",2.4,[],"['(e6tbvxb13cxqiqfm object_7 object_0 object_6)', '(e6tbvxb13cxqiqfm object_8 object_0 object_6)', '(i43ia3g2ygc7vwqf object_0 object_6 object_5)', '(kl6t91ujyqzora0b object_7 object_0 object_5)', '(kl6t91ujyqzora0b object_8 object_0 object_5)']",True,4.0,4.0,0,5,True,"['(e6tbvxb13cxqiqfm object_7 object_0 object_6)', '(e6tbvxb13cxqiqfm object_8 object_0 object_6)', '(i43ia3g2ygc7vwqf object_0 object_6 object_5)', '(kl6t91ujyqzora0b object_7 object_0 object_5)', '(kl6t91ujyqzora0b object_8 object_0 object_5)']",4.0,0,5,True,"['(e6tbvxb13cxqiqfm object_7 object_0 object_6)', '(e6tbvxb13cxqiqfm object_8 object_0 object_6)', '(i43ia3g2ygc7vwqf object_0 object_6 object_5)', '(kl6t91ujyqzora0b object_7 object_0 object_5)', '(kl6t91ujyqzora0b object_8 object_0 object_5)']",1.0,0,5,True,"['(e6tbvxb13cxqiqfm object_7 object_0 object_6)', '(e6tbvxb13cxqiqfm object_8 object_0 object_6)', '(i43ia3g2ygc7vwqf object_0 object_6 object_5)', '(kl6t91ujyqzora0b object_7 object_0 object_5)', '(kl6t91ujyqzora0b object_8 object_0 object_5)']",1.0,0,5,True,"['(e6tbvxb13cxqiqfm object_7 object_0 object_6)', '(e6tbvxb13cxqiqfm object_8 object_0 object_6)', '(i43ia3g2ygc7vwqf object_0 object_6 object_5)', '(kl6t91ujyqzora0b object_7 object_0 object_5)', '(kl6t91ujyqzora0b object_8 object_0 object_5)']",True
o4-mini_chat,obfuscated_randomized_logistics,_zero_shot,5,"['(i43ia3g2ygc7vwqf object_1 object_6 object_7)', '(e6tbvxb13cxqiqfm object_9 object_1 object_7)', '(i43ia3g2ygc7vwqf object_1 object_7 object_6)', '(kl6t91ujyqzora0b object_9 object_1 object_6)']","['(i43ia3g2ygc7vwqf object_0 object_6 object_7)', '(e6tbvxb13cxqiqfm object_9 object_0 object_7)', '(i43ia3g2ygc7vwqf object_0 object_7 object_6)', '(kl6t91ujyqzora0b object_9 object_0 object_6)']","{0: 'same_act', 1: 'same_act', 2: 'same_act', 3: 'same_act'}","{0: 'same_act', 1: 'same_act', 2: 'same_act', 3: 'same_act'}",1.0,[],"['(i43ia3g2ygc7vwqf object_0 object_6 object_7)', '(e6tbvxb13cxqiqfm object_9 object_0 object_7)', '(i43ia3g2ygc7vwqf object_0 object_7 object_6)', '(kl6t91ujyqzora0b object_9 object_0 object_6)']",True,4.0,4.0,0,4,True,"['(i43ia3g2ygc7vwqf object_0 object_6 object_7)', '(e6tbvxb13cxqiqfm object_9 object_0 object_7)', '(i43ia3g2ygc7vwqf object_0 object_7 object_6)', '(kl6t91ujyqzora0b object_9 object_0 object_6)']",4.0,0,4,True,"['(i43ia3g2ygc7vwqf object_0 object_6 object_7)', '(e6tbvxb13cxqiqfm object_9 object_0 object_7)', '(i43ia3g2ygc7vwqf object_0 object_7 object_6)', '(kl6t91ujyqzora0b object_9 object_0 object_6)']",1.0,0,4,True,"['(i43ia3g2ygc7vwqf object_0 object_6 object_7)', '(e6tbvxb13cxqiqfm object_9 object_0 object_7)', '(i43ia3g2ygc7vwqf object_0 object_7 object_6)', '(kl6t91ujyqzora0b object_9 object_0 object_6)']",1.0,0,4,True,"['(i43ia3g2ygc7vwqf object_0 object_6 object_7)', '(e6tbvxb13cxqiqfm object_9 object_0 object_7)', '(i43ia3g2ygc7vwqf object_0 object_7 object_6)', '(kl6t91ujyqzora0b object_9 object_0 object_6)']",True
o4-mini_chat,obfuscated_randomized_logistics,_zero_shot,6,"['(v1pjso2krv6sk1wj object_9 object_4 object_7)', '(ucb7r68xuhd352zp object_4 object_7 object_8 object_2)', '(ozh031mvw6d4smqa object_9 object_4 object_8)']",[],{},{},0,"['(v1pjso2krv6sk1wj object_9 object_4 object_7)', '(ucb7r68xuhd352zp object_4 object_7 object_8 object_2)', '(ozh031mvw6d4smqa object_9 object_4 object_8)']",[],True,0.0,0,3,0,False,[],0,3,0,False,[],0,3,0,False,[],0,3,0,False,"['(v1pjso2krv6sk1wj object_9 object_4 object_7)', '(ucb7r68xuhd352zp object_4 object_7 object_8 object_2)', '(ozh031mvw6d4smqa object_9 object_4 object_8)']",True
o4-mini_chat,obfuscated_randomized_logistics,_zero_shot,7,"['(ucb7r68xuhd352zp object_3 object_5 object_6 object_1)', '(v1pjso2krv6sk1wj object_9 object_3 object_6)', '(ucb7r68xuhd352zp object_3 object_6 object_5 object_1)', '(ozh031mvw6d4smqa object_9 object_3 object_5)', '(e6tbvxb13cxqiqfm object_9 object_0 object_5)', '(i43ia3g2ygc7vwqf object_0 object_5 object_7)', '(kl6t91ujyqzora0b object_9 object_0 object_7)']",[],{},{},0,"['(ucb7r68xuhd352zp object_3 object_5 object_6 object_1)', '(v1pjso2krv6sk1wj object_9 object_3 object_6)', '(ucb7r68xuhd352zp object_3 object_6 object_5 object_1)', '(ozh031mvw6d4smqa object_9 object_3 object_5)', '(e6tbvxb13cxqiqfm object_9 object_0 object_5)', '(i43ia3g2ygc7vwqf object_0 object_5 object_7)', '(kl6t91ujyqzora0b object_9 object_0 object_7)']",[],True,0.0,0,7,0,False,[],0,7,0,False,[],0,7,0,False,[],0,7,0,False,"['(ucb7r68xuhd352zp object_3 object_5 object_6 object_1)', '(v1pjso2krv6sk1wj object_9 object_3 object_6)', '(ucb7r68xuhd352zp object_3 object_6 object_5 object_1)', '(ozh031mvw6d4smqa object_9 object_3 object_5)', '(e6tbvxb13cxqiqfm object_9 object_0 object_5)', '(i43ia3g2ygc7vwqf object_0 object_5 object_7)', '(kl6t91ujyqzora0b object_9 object_0 object_7)']",True
o4-mini_chat,obfuscated_randomized_logistics,_zero_shot,8,"['(v1pjso2krv6sk1wj object_10 object_5 object_9)', '(ucb7r68xuhd352zp object_5 object_9 object_8 object_3)', '(ozh031mvw6d4smqa object_10 object_5 object_8)', '(e6tbvxb13cxqiqfm object_10 object_0 object_8)', '(i43ia3g2ygc7vwqf object_0 object_8 object_6)', '(kl6t91ujyqzora0b object_10 object_0 object_6)']","['(v1pjso2krv6sk1wj object_10 object_5 object_9)', '(ozh031mvw6d4smqa object_10 object_5 object_6)']","{0: 'position', 1: 'same_act'}","{0: 'position', 1: 'same_act'}",2.5,"['(ucb7r68xuhd352zp object_5 object_9 object_8 object_3)', '(ozh031mvw6d4smqa object_10 object_5 object_8)', '(e6tbvxb13cxqiqfm object_10 object_0 object_8)', '(i43ia3g2ygc7vwqf object_0 object_8 object_6)', '(kl6t91ujyqzora0b object_10 object_0 object_6)']",['(v1pjso2krv6sk1wj object_10 object_5 object_9)'],False,1.3333333333333335,1.3333333333333335,5,1,False,"['(v1pjso2krv6sk1wj object_10 object_5 object_9)', '(ozh031mvw6d4smqa object_10 object_5 object_6)']",1.3333333333333335,5,1,False,['(v1pjso2krv6sk1wj object_10 object_5 object_9)'],1.0,5,1,False,['(v1pjso2krv6sk1wj object_10 object_5 object_9)'],1.0,5,1,False,"['(v1pjso2krv6sk1wj object_10 object_5 object_9)', '(ucb7r68xuhd352zp object_5 object_9 object_8 object_3)', '(ozh031mvw6d4smqa object_10 object_5 object_8)', '(e6tbvxb13cxqiqfm object_10 object_0 object_8)', '(i43ia3g2ygc7vwqf object_0 object_8 object_6)', '(kl6t91ujyqzora0b object_10 object_0 object_6)']",True
o4-mini_chat,obfuscated_randomized_logistics,_zero_shot,9,"['(v1pjso2krv6sk1wj object_9 object_4 object_8)', '(ucb7r68xuhd352zp object_4 object_8 object_7 object_2)', '(ozh031mvw6d4smqa object_9 object_4 object_7)']","['(i43ia3g2ygc7vwqf object_0 object_7 object_5)', '(v1pjso2krv6sk1wj object_9 object_4 object_8)', '(ucb7r68xuhd352zp object_4 object_8 object_7 object_2)', '(ozh031mvw6d4smqa object_9 object_4 object_7)']","{1: 'correct', 2: 'correct', 3: 'correct', 0: 'redundant'}","{1: 'correct', 2: 'correct', 3: 'correct', 0: 'diff_act'}",1.5,[],"['(i43ia3g2ygc7vwqf object_0 object_7 object_5)', '(v1pjso2krv6sk1wj object_9 object_4 object_8)', '(ucb7r68xuhd352zp object_4 object_8 object_7 object_2)', '(ozh031mvw6d4smqa object_9 object_4 object_7)']",True,3.083333333333333,3.1666666666666665,1,4,True,"['(i43ia3g2ygc7vwqf object_0 object_7 object_5)', '(v1pjso2krv6sk1wj object_9 object_4 object_8)', '(ucb7r68xuhd352zp object_4 object_8 object_7 object_2)', '(ozh031mvw6d4smqa object_9 object_4 object_7)']",3.1666666666666665,1,4,True,"['(v1pjso2krv6sk1wj object_9 object_4 object_8)', '(ucb7r68xuhd352zp object_4 object_8 object_7 object_2)', '(ozh031mvw6d4smqa object_9 object_4 object_7)']",1.0,0,3,True,"['(v1pjso2krv6sk1wj object_9 object_4 object_8)', '(ucb7r68xuhd352zp object_4 object_8 object_7 object_2)', '(ozh031mvw6d4smqa object_9 object_4 object_7)']",1.0,0,3,True,"['(i43ia3g2ygc7vwqf object_0 object_7 object_5)', '(v1pjso2krv6sk1wj object_9 object_4 object_8)', '(ucb7r68xuhd352zp object_4 object_8 object_7 object_2)', '(ozh031mvw6d4smqa object_9 object_4 object_7)']",True
o4-mini_chat,obfuscated_randomized_logistics,_zero_shot,10,"['(v1pjso2krv6sk1wj object_9 object_3 object_5)', '(v1pjso2krv6sk1wj object_10 object_3 object_5)', '(ucb7r68xuhd352zp object_3 object_5 object_6 object_1)', '(ozh031mvw6d4smqa object_9 object_3 object_6)', '(ozh031mvw6d4smqa object_10 object_3 object_6)']","['(v1pjso2krv6sk1wj object_10 object_3 object_5)', '(v1pjso2krv6sk1wj object_9 object_3 object_5)', '(ucb7r68xuhd352zp object_3 object_5 object_6 object_1)', '(ozh031mvw6d4smqa object_10 object_3 object_6)', '(ozh031mvw6d4smqa object_9 object_3 object_6)']","{2: 'position', 0: 'correct', 1: 'correct', 3: 'correct', 4: 'correct'}","{2: 'position', 0: 'correct', 1: 'correct', 3: 'correct', 4: 'correct'}",2.4,[],"['(v1pjso2krv6sk1wj object_10 object_3 object_5)', '(v1pjso2krv6sk1wj object_9 object_3 object_5)', '(ucb7r68xuhd352zp object_3 object_5 object_6 object_1)', '(ozh031mvw6d4smqa object_10 object_3 object_6)', '(ozh031mvw6d4smqa object_9 object_3 object_6)']",True,4.0,4.0,0,5,True,"['(v1pjso2krv6sk1wj object_10 object_3 object_5)', '(v1pjso2krv6sk1wj object_9 object_3 object_5)', '(ucb7r68xuhd352zp object_3 object_5 object_6 object_1)', '(ozh031mvw6d4smqa object_10 object_3 object_6)', '(ozh031mvw6d4smqa object_9 object_3 object_6)']",4.0,0,5,True,"['(v1pjso2krv6sk1wj object_10 object_3 object_5)', '(v1pjso2krv6sk1wj object_9 object_3 object_5)', '(ucb7r68xuhd352zp object_3 object_5 object_6 object_1)', '(ozh031mvw6d4smqa object_10 object_3 object_6)', '(ozh031mvw6d4smqa object_9 object_3 object_6)']",1.0,0,5,True,"['(v1pjso2krv6sk1wj object_10 object_3 object_5)', '(v1pjso2krv6sk1wj object_9 object_3 object_5)', '(ucb7r68xuhd352zp object_3 object_5 object_6 object_1)', '(ozh031mvw6d4smqa object_10 object_3 object_6)', '(ozh031mvw6d4smqa object_9 object_3 object_6)']",1.0,0,5,True,"['(v1pjso2krv6sk1wj object_10 object_3 object_5)', '(v1pjso2krv6sk1wj object_9 object_3 object_5)', '(ucb7r68xuhd352zp object_3 object_5 object_6 object_1)', '(ozh031mvw6d4smqa object_10 object_3 object_6)', '(ozh031mvw6d4smqa object_9 object_3 object_6)']",True
