domain,instance_id,num_goals
blocksworld_3,43,1
blocksworld_3,65,2
blocksworld_3,54,2
blocksworld_3,39,2
blocksworld_3,67,1
blocksworld_3,57,2
blocksworld_3,77,1
blocksworld_3,30,1
blocksworld_3,101,1
blocksworld_3,51,2
blocksworld_3,99,2
blocksworld_3,34,1
blocksworld_3,28,2
blocksworld_3,73,1
blocksworld_3,49,2
blocksworld_3,64,2
blocksworld_3,37,2
blocksworld_3,19,2
blocksworld_3,6,2
blocksworld_3,52,1
blocksworld_3,13,2
blocksworld_3,98,1
blocksworld_3,8,1
blocksworld_3,1,2
blocksworld_3,47,1
blocksworld_3,69,2
blocksworld_3,40,1
blocksworld_3,86,1
blocksworld_3,20,1
blocksworld_3,50,1
blocksworld_3,71,1
blocksworld_3,75,2
blocksworld_3,41,2
blocksworld_3,21,2
blocksworld_3,24,2
blocksworld_3,18,2
blocksworld_3,56,1
blocksworld_3,63,2
blocksworld_3,4,1
blocksworld_3,81,2
blocksworld_3,15,1
blocksworld_3,89,1
blocksworld_3,90,2
blocksworld_3,95,2
blocksworld_3,60,2
blocksworld_3,32,2
blocksworld_3,96,1
blocksworld_3,29,2
blocksworld_3,22,1
blocksworld_3,27,2
blocksworld_3,87,2
blocksworld_3,7,2
blocksworld_3,70,1
blocksworld_3,12,2
blocksworld_3,17,2
blocksworld_3,2,2
blocksworld_3,79,1
blocksworld_3,68,2
blocksworld_3,93,1
blocksworld_3,84,1
blocksworld_3,80,1
blocksworld_3,58,1
blocksworld_3,72,1
blocksworld_3,59,1
blocksworld_3,3,2
blocksworld_3,78,1
blocksworld_3,88,2
blocksworld_3,92,1
blocksworld_3,61,2
blocksworld_3,82,2
blocksworld_3,5,2
blocksworld_3,42,1
blocksworld_3,25,2
blocksworld_3,26,1
blocksworld_3,31,1
blocksworld_3,94,2
blocksworld_3,48,2
blocksworld_3,23,1
blocksworld_3,14,2
blocksworld_3,44,2
blocksworld_3,76,1
blocksworld_3,36,1
blocksworld_3,10,2
blocksworld_3,66,2
blocksworld_3,38,1
blocksworld_3,11,2
blocksworld_3,91,1
blocksworld_3,53,1
blocksworld_3,35,2
blocksworld_3,9,1
blocksworld_3,62,2
blocksworld_3,74,1
blocksworld_3,85,1
blocksworld_3,83,2
blocksworld_3,97,1
blocksworld_3,55,1
blocksworld_3,100,2
blocksworld_3,46,2
blocksworld_3,33,1
blocksworld_3,16,2
blocksworld_3,45,1
