model,domain,task,instance_id,gt_plan,curr_plan,plan_trace,nr_plan_trace,trace_score,complementary_plan,correct_part,executability,final_score,curr_score,curr_steps,curr_last_act,curr_validity,cdt_plan,cdt_score,cdt_steps,cdt_last_act,cdt_validity,subseq_plan,subseq_score,subseq_steps,subseq_last_act,subseq_validity,cdt_subseq_plan,cdt_subseq_score,cdt_subseq_steps,cdt_subseq_last_act,cdt_subseq_validity,improved_plan,improved_validity
gemini_2-5_flash,blocksworld_3,_state_tracking,2,"['(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']","['(pick-up c)', '(stack c a)', '(pick-up a)']","{2: 'correct', 0: 'same_act', 1: 'same_act'}","{2: 'correct', 0: 'same_act', 1: 'same_act'}",1.3333333333333333,"['(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']",[],False,3.375,3.083333333333333,4,2,False,"['(pick-up a)', '(stack a c)', '(pick-up c)']",3.6666666666666665,2,2,False,['(pick-up a)'],1.0,3,1,False,"['(pick-up a)', '(stack a c)']",1.0,2,2,False,"['(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']",True
gemini_2-5_flash,blocksworld_3,_state_tracking,3,"['(unstack b c)', '(put-down b)', '(unstack c a)', '(put-down c)', '(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']","['(unstack b c)', '(put-down b)', '(unstack c a)', '(stack c b)']","{0: 'position', 1: 'position', 2: 'position', 3: 'correct'}","{0: 'position', 1: 'position', 2: 'position', 3: 'correct'}",3.5,"['(put-down c)', '(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']","['(unstack b c)', '(put-down b)', '(unstack c a)']",True,3.375,3.375,5,4,False,"['(unstack b c)', '(put-down b)', '(unstack c a)', '(stack c b)']",3.375,5,4,False,"['(unstack b c)', '(put-down b)', '(unstack c a)', '(stack c b)']",1.0,5,4,False,"['(unstack b c)', '(put-down b)', '(unstack c a)', '(stack c b)']",1.0,5,4,False,"['(unstack b c)', '(put-down b)', '(unstack c a)', '(put-down c)', '(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']",True
gemini_2-5_flash,blocksworld_3,_state_tracking,4,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(stack b a)']","['(unstack a b)', '(put-down a)', '(unstack b c)', '(stack b a)']","{0: 'position', 1: 'position', 2: 'position', 3: 'position'}","{0: 'position', 1: 'position', 2: 'position', 3: 'position'}",4.0,[],"['(unstack a b)', '(put-down a)', '(unstack b c)', '(stack b a)']",True,4.0,4.0,0,4,True,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(stack b a)']",4.0,0,4,True,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(stack b a)']",1.0,0,4,True,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(stack b a)']",1.0,0,4,True,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(stack b a)']",True
gemini_2-5_flash,blocksworld_3,_state_tracking,5,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c a)', '(pick-up b)', '(stack b c)']","['(unstack a b)', '(put-down a)', '(unstack b c)', '(stack b c)']","{0: 'position', 1: 'position', 2: 'position', 3: 'correct'}","{0: 'position', 1: 'position', 2: 'position', 3: 'correct'}",3.5,"['(put-down b)', '(pick-up c)', '(stack c a)', '(pick-up b)', '(stack b c)']","['(unstack a b)', '(put-down a)', '(unstack b c)']",True,3.375,3.375,5,4,False,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(stack b c)']",3.375,5,4,False,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(stack b c)']",1.0,5,4,False,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(stack b c)']",1.0,5,4,False,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c a)', '(pick-up b)', '(stack b c)']",True
gemini_2-5_flash,blocksworld_3,_state_tracking,6,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(stack c a)', '(pick-up b)', '(stack b c)']","['(unstack a c)', '(put-down a)', '(unstack c b)', '(stack c a)']","{0: 'position', 1: 'position', 2: 'position', 3: 'position'}","{0: 'position', 1: 'position', 2: 'position', 3: 'position'}",4.0,"['(pick-up b)', '(stack b c)']","['(unstack a c)', '(put-down a)', '(unstack c b)', '(stack c a)']",True,4.666666666666666,4.666666666666666,2,4,False,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(stack c a)']",4.666666666666666,2,4,False,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(stack c a)']",1.0,2,4,False,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(stack c a)']",1.0,2,4,False,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(stack c a)', '(pick-up b)', '(stack b c)']",True
gemini_2-5_flash,blocksworld_3,_state_tracking,7,"['(unstack a c)', '(put-down a)', '(pick-up b)', '(stack b c)', '(pick-up a)', '(stack a b)']","['(unstack a c)', '(stack a b)', '(pick-up b)']","{0: 'position', 2: 'position', 1: 'correct'}","{0: 'position', 2: 'position', 1: 'correct'}",3.333333333333333,"['(put-down a)', '(pick-up b)', '(stack b c)', '(pick-up a)', '(stack a b)']",['(unstack a c)'],False,2.213888888888889,2.1666666666666665,4,2,False,"['(unstack c a)', '(stack c b)', '(pick-up b)']",2.261111111111111,5,0,False,"['(unstack a c)', '(pick-up b)']",1.0,5,1,False,['(pick-up b)'],1.0,6,1,False,"['(unstack a c)', '(put-down a)', '(pick-up b)', '(stack b c)', '(pick-up a)', '(stack a b)']",True
gemini_2-5_flash,blocksworld_3,_state_tracking,8,"['(pick-up a)', '(stack a c)']","['(pick-up a)', '(stack a c)']","{0: 'position', 1: 'position'}","{0: 'position', 1: 'position'}",4.0,[],"['(pick-up a)', '(stack a c)']",True,4.0,4.0,0,2,True,"['(pick-up a)', '(stack a c)']",4.0,0,2,True,"['(pick-up a)', '(stack a c)']",1.0,0,2,True,"['(pick-up a)', '(stack a c)']",1.0,0,2,True,"['(pick-up a)', '(stack a c)']",True
gemini_2-5_flash,blocksworld_3,_state_tracking,9,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c a)']","['(unstack a c)', '(unstack a c)', '(put-down a)']","{0: 'position', 2: 'correct', 1: 'diff_act'}","{0: 'position', 2: 'correct', 1: 'diff_act'}",2.1666666666666665,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c a)']",[],False,3.65,3.5666666666666664,4,0,False,"['(unstack a c)', '(put-down a)', '(unstack a c)']",3.733333333333333,3,0,False,"['(unstack a c)', '(put-down a)']",1.0,2,2,False,"['(unstack a c)', '(put-down a)']",1.0,2,2,False,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c a)']",True
gemini_2-5_flash,blocksworld_3,_state_tracking,10,"['(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c b)', '(pick-up a)', '(stack a c)']","['(unstack b c)', '(stack b c)', '(pick-up a)', '(stack a c)']","{0: 'position', 2: 'correct', 3: 'correct', 1: 'same_act'}","{0: 'position', 2: 'correct', 3: 'correct', 1: 'same_act'}",2.25,"['(put-down b)', '(pick-up c)', '(stack c b)', '(pick-up a)', '(stack a c)']",['(unstack b c)'],False,3.3416666666666663,3.3416666666666663,5,3,False,"['(unstack b c)', '(stack b c)', '(pick-up a)', '(stack a c)']",3.3416666666666663,5,3,False,"['(unstack b c)', '(pick-up a)', '(stack a c)']",1.0,5,1,False,"['(unstack b c)', '(pick-up a)', '(stack a c)']",1.0,5,1,False,"['(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c b)', '(pick-up a)', '(stack a c)']",True
gemini_2-5_flash,blocksworld_3,_state_tracking,11,"['(unstack c a)', '(put-down c)', '(unstack a b)', '(put-down a)', '(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']","['(unstack c a)', '(put-down c)', '(unstack a b)']","{0: 'position', 1: 'position', 2: 'position'}","{0: 'position', 1: 'position', 2: 'position'}",4.0,"['(put-down a)', '(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']","['(unstack c a)', '(put-down c)', '(unstack a b)']",True,2.9166666666666665,2.9166666666666665,5,3,False,"['(unstack c a)', '(put-down c)', '(unstack a b)']",2.9166666666666665,5,3,False,"['(unstack c a)', '(put-down c)', '(unstack a b)']",1.0,5,3,False,"['(unstack c a)', '(put-down c)', '(unstack a b)']",1.0,5,3,False,"['(unstack c a)', '(put-down c)', '(unstack a b)', '(put-down a)', '(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']",True
gemini_2-5_flash,blocksworld_3,_state_tracking,12,"['(unstack b a)', '(put-down b)', '(pick-up a)', '(stack a b)', '(pick-up c)', '(stack c a)']","['(unstack b a)', '(put-down b)', '(pick-up a)', '(stack a b)']","{0: 'position', 1: 'position', 2: 'position', 3: 'position'}","{0: 'position', 1: 'position', 2: 'position', 3: 'position'}",4.0,"['(pick-up c)', '(stack c a)']","['(unstack b a)', '(put-down b)', '(pick-up a)', '(stack a b)']",True,4.666666666666666,4.666666666666666,2,4,False,"['(unstack b a)', '(put-down b)', '(pick-up a)', '(stack a b)']",4.666666666666666,2,4,False,"['(unstack b a)', '(put-down b)', '(pick-up a)', '(stack a b)']",1.0,2,4,False,"['(unstack b a)', '(put-down b)', '(pick-up a)', '(stack a b)']",1.0,2,4,False,"['(unstack b a)', '(put-down b)', '(pick-up a)', '(stack a b)', '(pick-up c)', '(stack c a)']",True
gemini_2-5_flash,blocksworld_3,_state_tracking,13,"['(unstack b a)', '(put-down b)', '(pick-up c)', '(stack c a)', '(pick-up b)', '(stack b c)']","['(unstack b a)', '(pick-up c)', '(unstack b a)', '(put-down b)']","{0: 'position', 1: 'correct', 3: 'correct', 2: 'diff_act'}","{0: 'position', 1: 'correct', 3: 'correct', 2: 'diff_act'}",2.125,"['(put-down b)', '(pick-up c)', '(stack c a)', '(pick-up b)', '(stack b c)']",['(unstack b a)'],False,3.041666666666667,2.854166666666667,6,1,False,"['(unstack b a)', '(put-down b)', '(unstack b a)', '(pick-up c)']",3.2291666666666665,5,0,False,"['(unstack b a)', '(put-down b)']",1.0,4,2,False,"['(unstack b a)', '(put-down b)', '(pick-up c)']",1.0,3,3,False,"['(unstack b a)', '(put-down b)', '(pick-up c)', '(stack c a)', '(pick-up b)', '(stack b c)']",True
gemini_2-5_flash,blocksworld_3,_state_tracking,14,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c b)', '(pick-up a)', '(stack a c)']","['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c b)']","{0: 'position', 1: 'position', 2: 'position', 3: 'position'}","{0: 'position', 1: 'position', 2: 'position', 3: 'position'}",4.0,"['(pick-up a)', '(stack a c)']","['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c b)']",True,4.666666666666666,4.666666666666666,2,4,False,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c b)']",4.666666666666666,2,4,False,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c b)']",1.0,2,4,False,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c b)']",1.0,2,4,False,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c b)', '(pick-up a)', '(stack a c)']",True
