model,domain,task,instance_id,gt_plan,curr_plan,plan_trace,nr_plan_trace,trace_score,complementary_plan,correct_part,executability,final_score,curr_score,curr_steps,curr_last_act,curr_validity,cdt_plan,cdt_score,cdt_steps,cdt_last_act,cdt_validity,subseq_plan,subseq_score,subseq_steps,subseq_last_act,subseq_validity,cdt_subseq_plan,cdt_subseq_score,cdt_subseq_steps,cdt_subseq_last_act,cdt_subseq_validity,improved_plan,improved_validity
o4-mini_chat,obfuscated_randomized_logistics,_pddl,2,"['(e6tbvxb13cxqiqfm object_8 object_1 object_7)', '(i43ia3g2ygc7vwqf object_1 object_7 object_6)', '(kl6t91ujyqzora0b object_8 object_1 object_6)']","['(e6tbvxb13cxqiqfm object_8 object_1 object_7)', '(i43ia3g2ygc7vwqf object_1 object_7 object_6)', '(kl6t91ujyqzora0b object_8 object_1 object_6)']","{0: 'position', 1: 'position', 2: 'position'}","{0: 'position', 1: 'position', 2: 'position'}",4.0,[],"['(e6tbvxb13cxqiqfm object_8 object_1 object_7)', '(i43ia3g2ygc7vwqf object_1 object_7 object_6)', '(kl6t91ujyqzora0b object_8 object_1 object_6)']",True,4.0,4.0,0,3,True,"['(e6tbvxb13cxqiqfm object_8 object_1 object_7)', '(i43ia3g2ygc7vwqf object_1 object_7 object_6)', '(kl6t91ujyqzora0b object_8 object_1 object_6)']",4.0,0,3,True,"['(e6tbvxb13cxqiqfm object_8 object_1 object_7)', '(i43ia3g2ygc7vwqf object_1 object_7 object_6)', '(kl6t91ujyqzora0b object_8 object_1 object_6)']",1.0,0,3,True,"['(e6tbvxb13cxqiqfm object_8 object_1 object_7)', '(i43ia3g2ygc7vwqf object_1 object_7 object_6)', '(kl6t91ujyqzora0b object_8 object_1 object_6)']",1.0,0,3,True,"['(e6tbvxb13cxqiqfm object_8 object_1 object_7)', '(i43ia3g2ygc7vwqf object_1 object_7 object_6)', '(kl6t91ujyqzora0b object_8 object_1 object_6)']",True
o4-mini_chat,obfuscated_randomized_logistics,_pddl,3,"['(i43ia3g2ygc7vwqf object_0 object_6 object_5)', '(e6tbvxb13cxqiqfm object_8 object_0 object_5)', '(i43ia3g2ygc7vwqf object_0 object_5 object_6)', '(kl6t91ujyqzora0b object_8 object_0 object_6)']","['(i43ia3g2ygc7vwqf object_0 object_6 object_5)', '(e6tbvxb13cxqiqfm object_8 object_0 object_5)', '(i43ia3g2ygc7vwqf object_0 object_5 object_6)', '(kl6t91ujyqzora0b object_8 object_0 object_6)']","{0: 'position', 1: 'position', 2: 'position', 3: 'position'}","{0: 'position', 1: 'position', 2: 'position', 3: 'position'}",4.0,[],"['(i43ia3g2ygc7vwqf object_0 object_6 object_5)', '(e6tbvxb13cxqiqfm object_8 object_0 object_5)', '(i43ia3g2ygc7vwqf object_0 object_5 object_6)', '(kl6t91ujyqzora0b object_8 object_0 object_6)']",True,4.0,4.0,0,4,True,"['(i43ia3g2ygc7vwqf object_0 object_6 object_5)', '(e6tbvxb13cxqiqfm object_8 object_0 object_5)', '(i43ia3g2ygc7vwqf object_0 object_5 object_6)', '(kl6t91ujyqzora0b object_8 object_0 object_6)']",4.0,0,4,True,"['(i43ia3g2ygc7vwqf object_0 object_6 object_5)', '(e6tbvxb13cxqiqfm object_8 object_0 object_5)', '(i43ia3g2ygc7vwqf object_0 object_5 object_6)', '(kl6t91ujyqzora0b object_8 object_0 object_6)']",1.0,0,4,True,"['(i43ia3g2ygc7vwqf object_0 object_6 object_5)', '(e6tbvxb13cxqiqfm object_8 object_0 object_5)', '(i43ia3g2ygc7vwqf object_0 object_5 object_6)', '(kl6t91ujyqzora0b object_8 object_0 object_6)']",1.0,0,4,True,"['(i43ia3g2ygc7vwqf object_0 object_6 object_5)', '(e6tbvxb13cxqiqfm object_8 object_0 object_5)', '(i43ia3g2ygc7vwqf object_0 object_5 object_6)', '(kl6t91ujyqzora0b object_8 object_0 object_6)']",True
o4-mini_chat,obfuscated_randomized_logistics,_pddl,4,"['(e6tbvxb13cxqiqfm object_8 object_0 object_6)', '(e6tbvxb13cxqiqfm object_7 object_0 object_6)', '(i43ia3g2ygc7vwqf object_0 object_6 object_5)', '(kl6t91ujyqzora0b object_8 object_0 object_5)', '(kl6t91ujyqzora0b object_7 object_0 object_5)']","['(e6tbvxb13cxqiqfm object_7 object_0 object_6)', '(e6tbvxb13cxqiqfm object_8 object_0 object_6)', '(i43ia3g2ygc7vwqf object_0 object_6 object_5)', '(kl6t91ujyqzora0b object_7 object_0 object_5)', '(kl6t91ujyqzora0b object_8 object_0 object_5)']","{2: 'position', 0: 'correct', 1: 'correct', 3: 'correct', 4: 'correct'}","{2: 'position', 0: 'correct', 1: 'correct', 3: 'correct', 4: 'correct'}",2.4,[],"['(e6tbvxb13cxqiqfm object_7 object_0 object_6)', '(e6tbvxb13cxqiqfm object_8 object_0 object_6)', '(i43ia3g2ygc7vwqf object_0 object_6 object_5)', '(kl6t91ujyqzora0b object_7 object_0 object_5)', '(kl6t91ujyqzora0b object_8 object_0 object_5)']",True,4.0,4.0,0,5,True,"['(e6tbvxb13cxqiqfm object_7 object_0 object_6)', '(e6tbvxb13cxqiqfm object_8 object_0 object_6)', '(i43ia3g2ygc7vwqf object_0 object_6 object_5)', '(kl6t91ujyqzora0b object_7 object_0 object_5)', '(kl6t91ujyqzora0b object_8 object_0 object_5)']",4.0,0,5,True,"['(e6tbvxb13cxqiqfm object_7 object_0 object_6)', '(e6tbvxb13cxqiqfm object_8 object_0 object_6)', '(i43ia3g2ygc7vwqf object_0 object_6 object_5)', '(kl6t91ujyqzora0b object_7 object_0 object_5)', '(kl6t91ujyqzora0b object_8 object_0 object_5)']",1.0,0,5,True,"['(e6tbvxb13cxqiqfm object_7 object_0 object_6)', '(e6tbvxb13cxqiqfm object_8 object_0 object_6)', '(i43ia3g2ygc7vwqf object_0 object_6 object_5)', '(kl6t91ujyqzora0b object_7 object_0 object_5)', '(kl6t91ujyqzora0b object_8 object_0 object_5)']",1.0,0,5,True,"['(e6tbvxb13cxqiqfm object_7 object_0 object_6)', '(e6tbvxb13cxqiqfm object_8 object_0 object_6)', '(i43ia3g2ygc7vwqf object_0 object_6 object_5)', '(kl6t91ujyqzora0b object_7 object_0 object_5)', '(kl6t91ujyqzora0b object_8 object_0 object_5)']",True
o4-mini_chat,obfuscated_randomized_logistics,_pddl,5,"['(i43ia3g2ygc7vwqf object_1 object_6 object_7)', '(e6tbvxb13cxqiqfm object_9 object_1 object_7)', '(i43ia3g2ygc7vwqf object_1 object_7 object_6)', '(kl6t91ujyqzora0b object_9 object_1 object_6)']","['(i43ia3g2ygc7vwqf object_0 object_6 object_7)', '(e6tbvxb13cxqiqfm object_9 object_0 object_7)', '(i43ia3g2ygc7vwqf object_0 object_7 object_6)', '(kl6t91ujyqzora0b object_9 object_0 object_6)']","{0: 'same_act', 1: 'same_act', 2: 'same_act', 3: 'same_act'}","{0: 'same_act', 1: 'same_act', 2: 'same_act', 3: 'same_act'}",1.0,[],"['(i43ia3g2ygc7vwqf object_0 object_6 object_7)', '(e6tbvxb13cxqiqfm object_9 object_0 object_7)', '(i43ia3g2ygc7vwqf object_0 object_7 object_6)', '(kl6t91ujyqzora0b object_9 object_0 object_6)']",True,4.0,4.0,0,4,True,"['(i43ia3g2ygc7vwqf object_0 object_6 object_7)', '(e6tbvxb13cxqiqfm object_9 object_0 object_7)', '(i43ia3g2ygc7vwqf object_0 object_7 object_6)', '(kl6t91ujyqzora0b object_9 object_0 object_6)']",4.0,0,4,True,"['(i43ia3g2ygc7vwqf object_0 object_6 object_7)', '(e6tbvxb13cxqiqfm object_9 object_0 object_7)', '(i43ia3g2ygc7vwqf object_0 object_7 object_6)', '(kl6t91ujyqzora0b object_9 object_0 object_6)']",1.0,0,4,True,"['(i43ia3g2ygc7vwqf object_0 object_6 object_7)', '(e6tbvxb13cxqiqfm object_9 object_0 object_7)', '(i43ia3g2ygc7vwqf object_0 object_7 object_6)', '(kl6t91ujyqzora0b object_9 object_0 object_6)']",1.0,0,4,True,"['(i43ia3g2ygc7vwqf object_0 object_6 object_7)', '(e6tbvxb13cxqiqfm object_9 object_0 object_7)', '(i43ia3g2ygc7vwqf object_0 object_7 object_6)', '(kl6t91ujyqzora0b object_9 object_0 object_6)']",True
o4-mini_chat,obfuscated_randomized_logistics,_pddl,6,"['(v1pjso2krv6sk1wj object_9 object_4 object_7)', '(ucb7r68xuhd352zp object_4 object_7 object_8 object_2)', '(ozh031mvw6d4smqa object_9 object_4 object_8)']","['(v1pjso2krv6sk1wj object_9 object_4 object_7)', '(ucb7r68xuhd352zp object_4 object_7 object_8 object_2)', '(ozh031mvw6d4smqa object_9 object_4 object_8)']","{0: 'position', 1: 'position', 2: 'position'}","{0: 'position', 1: 'position', 2: 'position'}",4.0,[],"['(v1pjso2krv6sk1wj object_9 object_4 object_7)', '(ucb7r68xuhd352zp object_4 object_7 object_8 object_2)', '(ozh031mvw6d4smqa object_9 object_4 object_8)']",True,4.0,4.0,0,3,True,"['(v1pjso2krv6sk1wj object_9 object_4 object_7)', '(ucb7r68xuhd352zp object_4 object_7 object_8 object_2)', '(ozh031mvw6d4smqa object_9 object_4 object_8)']",4.0,0,3,True,"['(v1pjso2krv6sk1wj object_9 object_4 object_7)', '(ucb7r68xuhd352zp object_4 object_7 object_8 object_2)', '(ozh031mvw6d4smqa object_9 object_4 object_8)']",1.0,0,3,True,"['(v1pjso2krv6sk1wj object_9 object_4 object_7)', '(ucb7r68xuhd352zp object_4 object_7 object_8 object_2)', '(ozh031mvw6d4smqa object_9 object_4 object_8)']",1.0,0,3,True,"['(v1pjso2krv6sk1wj object_9 object_4 object_7)', '(ucb7r68xuhd352zp object_4 object_7 object_8 object_2)', '(ozh031mvw6d4smqa object_9 object_4 object_8)']",True
o4-mini_chat,obfuscated_randomized_logistics,_pddl,7,"['(ucb7r68xuhd352zp object_3 object_5 object_6 object_1)', '(v1pjso2krv6sk1wj object_9 object_3 object_6)', '(ucb7r68xuhd352zp object_3 object_6 object_5 object_1)', '(ozh031mvw6d4smqa object_9 object_3 object_5)', '(e6tbvxb13cxqiqfm object_9 object_0 object_5)', '(i43ia3g2ygc7vwqf object_0 object_5 object_7)', '(kl6t91ujyqzora0b object_9 object_0 object_7)']","['(ucb7r68xuhd352zp object_3 object_5 object_6 object_1)', '(v1pjso2krv6sk1wj object_9 object_3 object_6)', '(ucb7r68xuhd352zp object_3 object_6 object_5 object_1)', '(ozh031mvw6d4smqa object_9 object_3 object_5)', '(e6tbvxb13cxqiqfm object_9 object_0 object_5)', '(i43ia3g2ygc7vwqf object_0 object_5 object_7)', '(kl6t91ujyqzora0b object_9 object_0 object_7)']","{0: 'position', 1: 'position', 2: 'position', 3: 'position', 4: 'position', 5: 'position', 6: 'position'}","{0: 'position', 1: 'position', 2: 'position', 3: 'position', 4: 'position', 5: 'position', 6: 'position'}",4.0,[],"['(ucb7r68xuhd352zp object_3 object_5 object_6 object_1)', '(v1pjso2krv6sk1wj object_9 object_3 object_6)', '(ucb7r68xuhd352zp object_3 object_6 object_5 object_1)', '(ozh031mvw6d4smqa object_9 object_3 object_5)', '(e6tbvxb13cxqiqfm object_9 object_0 object_5)', '(i43ia3g2ygc7vwqf object_0 object_5 object_7)', '(kl6t91ujyqzora0b object_9 object_0 object_7)']",True,4.0,4.0,0,7,True,"['(ucb7r68xuhd352zp object_3 object_5 object_6 object_1)', '(v1pjso2krv6sk1wj object_9 object_3 object_6)', '(ucb7r68xuhd352zp object_3 object_6 object_5 object_1)', '(ozh031mvw6d4smqa object_9 object_3 object_5)', '(e6tbvxb13cxqiqfm object_9 object_0 object_5)', '(i43ia3g2ygc7vwqf object_0 object_5 object_7)', '(kl6t91ujyqzora0b object_9 object_0 object_7)']",4.0,0,7,True,"['(ucb7r68xuhd352zp object_3 object_5 object_6 object_1)', '(v1pjso2krv6sk1wj object_9 object_3 object_6)', '(ucb7r68xuhd352zp object_3 object_6 object_5 object_1)', '(ozh031mvw6d4smqa object_9 object_3 object_5)', '(e6tbvxb13cxqiqfm object_9 object_0 object_5)', '(i43ia3g2ygc7vwqf object_0 object_5 object_7)', '(kl6t91ujyqzora0b object_9 object_0 object_7)']",1.0,0,7,True,"['(ucb7r68xuhd352zp object_3 object_5 object_6 object_1)', '(v1pjso2krv6sk1wj object_9 object_3 object_6)', '(ucb7r68xuhd352zp object_3 object_6 object_5 object_1)', '(ozh031mvw6d4smqa object_9 object_3 object_5)', '(e6tbvxb13cxqiqfm object_9 object_0 object_5)', '(i43ia3g2ygc7vwqf object_0 object_5 object_7)', '(kl6t91ujyqzora0b object_9 object_0 object_7)']",1.0,0,7,True,"['(ucb7r68xuhd352zp object_3 object_5 object_6 object_1)', '(v1pjso2krv6sk1wj object_9 object_3 object_6)', '(ucb7r68xuhd352zp object_3 object_6 object_5 object_1)', '(ozh031mvw6d4smqa object_9 object_3 object_5)', '(e6tbvxb13cxqiqfm object_9 object_0 object_5)', '(i43ia3g2ygc7vwqf object_0 object_5 object_7)', '(kl6t91ujyqzora0b object_9 object_0 object_7)']",True
o4-mini_chat,obfuscated_randomized_logistics,_pddl,8,"['(v1pjso2krv6sk1wj object_10 object_5 object_9)', '(ucb7r68xuhd352zp object_5 object_9 object_8 object_3)', '(ozh031mvw6d4smqa object_10 object_5 object_8)', '(e6tbvxb13cxqiqfm object_10 object_0 object_8)', '(i43ia3g2ygc7vwqf object_0 object_8 object_6)', '(kl6t91ujyqzora0b object_10 object_0 object_6)']","['(v1pjso2krv6sk1wj object_10 object_5 object_9)', '(ucb7r68xuhd352zp object_5 object_9 object_8 object_3)', '(ozh031mvw6d4smqa object_10 object_5 object_8)', '(e6tbvxb13cxqiqfm object_10 object_0 object_8)', '(i43ia3g2ygc7vwqf object_0 object_8 object_6)', '(kl6t91ujyqzora0b object_10 object_0 object_6)']","{0: 'position', 1: 'position', 2: 'position', 3: 'position', 4: 'position', 5: 'position'}","{0: 'position', 1: 'position', 2: 'position', 3: 'position', 4: 'position', 5: 'position'}",4.0,[],"['(v1pjso2krv6sk1wj object_10 object_5 object_9)', '(ucb7r68xuhd352zp object_5 object_9 object_8 object_3)', '(ozh031mvw6d4smqa object_10 object_5 object_8)', '(e6tbvxb13cxqiqfm object_10 object_0 object_8)', '(i43ia3g2ygc7vwqf object_0 object_8 object_6)', '(kl6t91ujyqzora0b object_10 object_0 object_6)']",True,4.0,4.0,0,6,True,"['(v1pjso2krv6sk1wj object_10 object_5 object_9)', '(ucb7r68xuhd352zp object_5 object_9 object_8 object_3)', '(ozh031mvw6d4smqa object_10 object_5 object_8)', '(e6tbvxb13cxqiqfm object_10 object_0 object_8)', '(i43ia3g2ygc7vwqf object_0 object_8 object_6)', '(kl6t91ujyqzora0b object_10 object_0 object_6)']",4.0,0,6,True,"['(v1pjso2krv6sk1wj object_10 object_5 object_9)', '(ucb7r68xuhd352zp object_5 object_9 object_8 object_3)', '(ozh031mvw6d4smqa object_10 object_5 object_8)', '(e6tbvxb13cxqiqfm object_10 object_0 object_8)', '(i43ia3g2ygc7vwqf object_0 object_8 object_6)', '(kl6t91ujyqzora0b object_10 object_0 object_6)']",1.0,0,6,True,"['(v1pjso2krv6sk1wj object_10 object_5 object_9)', '(ucb7r68xuhd352zp object_5 object_9 object_8 object_3)', '(ozh031mvw6d4smqa object_10 object_5 object_8)', '(e6tbvxb13cxqiqfm object_10 object_0 object_8)', '(i43ia3g2ygc7vwqf object_0 object_8 object_6)', '(kl6t91ujyqzora0b object_10 object_0 object_6)']",1.0,0,6,True,"['(v1pjso2krv6sk1wj object_10 object_5 object_9)', '(ucb7r68xuhd352zp object_5 object_9 object_8 object_3)', '(ozh031mvw6d4smqa object_10 object_5 object_8)', '(e6tbvxb13cxqiqfm object_10 object_0 object_8)', '(i43ia3g2ygc7vwqf object_0 object_8 object_6)', '(kl6t91ujyqzora0b object_10 object_0 object_6)']",True
o4-mini_chat,obfuscated_randomized_logistics,_pddl,9,"['(v1pjso2krv6sk1wj object_9 object_4 object_8)', '(ucb7r68xuhd352zp object_4 object_8 object_7 object_2)', '(ozh031mvw6d4smqa object_9 object_4 object_7)']","['(v1pjso2krv6sk1wj object_9 object_4 object_8)', '(ucb7r68xuhd352zp object_4 object_8 object_7 object_2)', '(ozh031mvw6d4smqa object_9 object_4 object_7)']","{0: 'position', 1: 'position', 2: 'position'}","{0: 'position', 1: 'position', 2: 'position'}",4.0,[],"['(v1pjso2krv6sk1wj object_9 object_4 object_8)', '(ucb7r68xuhd352zp object_4 object_8 object_7 object_2)', '(ozh031mvw6d4smqa object_9 object_4 object_7)']",True,4.0,4.0,0,3,True,"['(v1pjso2krv6sk1wj object_9 object_4 object_8)', '(ucb7r68xuhd352zp object_4 object_8 object_7 object_2)', '(ozh031mvw6d4smqa object_9 object_4 object_7)']",4.0,0,3,True,"['(v1pjso2krv6sk1wj object_9 object_4 object_8)', '(ucb7r68xuhd352zp object_4 object_8 object_7 object_2)', '(ozh031mvw6d4smqa object_9 object_4 object_7)']",1.0,0,3,True,"['(v1pjso2krv6sk1wj object_9 object_4 object_8)', '(ucb7r68xuhd352zp object_4 object_8 object_7 object_2)', '(ozh031mvw6d4smqa object_9 object_4 object_7)']",1.0,0,3,True,"['(v1pjso2krv6sk1wj object_9 object_4 object_8)', '(ucb7r68xuhd352zp object_4 object_8 object_7 object_2)', '(ozh031mvw6d4smqa object_9 object_4 object_7)']",True
o4-mini_chat,obfuscated_randomized_logistics,_pddl,10,"['(v1pjso2krv6sk1wj object_9 object_3 object_5)', '(v1pjso2krv6sk1wj object_10 object_3 object_5)', '(ucb7r68xuhd352zp object_3 object_5 object_6 object_1)', '(ozh031mvw6d4smqa object_9 object_3 object_6)', '(ozh031mvw6d4smqa object_10 object_3 object_6)']","['(v1pjso2krv6sk1wj object_9 object_3 object_5)', '(v1pjso2krv6sk1wj object_10 object_3 object_5)', '(ucb7r68xuhd352zp object_3 object_5 object_6 object_1)', '(ozh031mvw6d4smqa object_9 object_3 object_6)', '(ozh031mvw6d4smqa object_10 object_3 object_6)']","{0: 'position', 1: 'position', 2: 'position', 3: 'position', 4: 'position'}","{0: 'position', 1: 'position', 2: 'position', 3: 'position', 4: 'position'}",4.0,[],"['(v1pjso2krv6sk1wj object_9 object_3 object_5)', '(v1pjso2krv6sk1wj object_10 object_3 object_5)', '(ucb7r68xuhd352zp object_3 object_5 object_6 object_1)', '(ozh031mvw6d4smqa object_9 object_3 object_6)', '(ozh031mvw6d4smqa object_10 object_3 object_6)']",True,4.0,4.0,0,5,True,"['(v1pjso2krv6sk1wj object_9 object_3 object_5)', '(v1pjso2krv6sk1wj object_10 object_3 object_5)', '(ucb7r68xuhd352zp object_3 object_5 object_6 object_1)', '(ozh031mvw6d4smqa object_9 object_3 object_6)', '(ozh031mvw6d4smqa object_10 object_3 object_6)']",4.0,0,5,True,"['(v1pjso2krv6sk1wj object_9 object_3 object_5)', '(v1pjso2krv6sk1wj object_10 object_3 object_5)', '(ucb7r68xuhd352zp object_3 object_5 object_6 object_1)', '(ozh031mvw6d4smqa object_9 object_3 object_6)', '(ozh031mvw6d4smqa object_10 object_3 object_6)']",1.0,0,5,True,"['(v1pjso2krv6sk1wj object_9 object_3 object_5)', '(v1pjso2krv6sk1wj object_10 object_3 object_5)', '(ucb7r68xuhd352zp object_3 object_5 object_6 object_1)', '(ozh031mvw6d4smqa object_9 object_3 object_6)', '(ozh031mvw6d4smqa object_10 object_3 object_6)']",1.0,0,5,True,"['(v1pjso2krv6sk1wj object_9 object_3 object_5)', '(v1pjso2krv6sk1wj object_10 object_3 object_5)', '(ucb7r68xuhd352zp object_3 object_5 object_6 object_1)', '(ozh031mvw6d4smqa object_9 object_3 object_6)', '(ozh031mvw6d4smqa object_10 object_3 object_6)']",True
o4-mini_chat,obfuscated_randomized_logistics,_pddl,11,"['(v1pjso2krv6sk1wj object_10 object_4 object_6)', '(ucb7r68xuhd352zp object_4 object_6 object_7 object_2)', '(ozh031mvw6d4smqa object_10 object_4 object_7)', '(ucb7r68xuhd352zp object_5 object_8 object_9 object_3)', '(v1pjso2krv6sk1wj object_11 object_5 object_9)', '(ucb7r68xuhd352zp object_5 object_9 object_8 object_3)', '(ozh031mvw6d4smqa object_11 object_5 object_8)']","['(v1pjso2krv6sk1wj object_10 object_4 object_6)', '(ucb7r68xuhd352zp object_4 object_6 object_7 object_2)', '(ozh031mvw6d4smqa object_10 object_4 object_7)', '(ucb7r68xuhd352zp object_5 object_8 object_9 object_3)', '(v1pjso2krv6sk1wj object_11 object_5 object_9)', '(ucb7r68xuhd352zp object_5 object_9 object_8 object_3)', '(ozh031mvw6d4smqa object_11 object_5 object_8)']","{0: 'position', 1: 'position', 2: 'position', 3: 'position', 4: 'position', 5: 'position', 6: 'position'}","{0: 'position', 1: 'position', 2: 'position', 3: 'position', 4: 'position', 5: 'position', 6: 'position'}",4.0,[],"['(v1pjso2krv6sk1wj object_10 object_4 object_6)', '(ucb7r68xuhd352zp object_4 object_6 object_7 object_2)', '(ozh031mvw6d4smqa object_10 object_4 object_7)', '(ucb7r68xuhd352zp object_5 object_8 object_9 object_3)', '(v1pjso2krv6sk1wj object_11 object_5 object_9)', '(ucb7r68xuhd352zp object_5 object_9 object_8 object_3)', '(ozh031mvw6d4smqa object_11 object_5 object_8)']",True,4.0,4.0,0,7,True,"['(v1pjso2krv6sk1wj object_10 object_4 object_6)', '(ucb7r68xuhd352zp object_4 object_6 object_7 object_2)', '(ozh031mvw6d4smqa object_10 object_4 object_7)', '(ucb7r68xuhd352zp object_5 object_8 object_9 object_3)', '(v1pjso2krv6sk1wj object_11 object_5 object_9)', '(ucb7r68xuhd352zp object_5 object_9 object_8 object_3)', '(ozh031mvw6d4smqa object_11 object_5 object_8)']",4.0,0,7,True,"['(v1pjso2krv6sk1wj object_10 object_4 object_6)', '(ucb7r68xuhd352zp object_4 object_6 object_7 object_2)', '(ozh031mvw6d4smqa object_10 object_4 object_7)', '(ucb7r68xuhd352zp object_5 object_8 object_9 object_3)', '(v1pjso2krv6sk1wj object_11 object_5 object_9)', '(ucb7r68xuhd352zp object_5 object_9 object_8 object_3)', '(ozh031mvw6d4smqa object_11 object_5 object_8)']",1.0,0,7,True,"['(v1pjso2krv6sk1wj object_10 object_4 object_6)', '(ucb7r68xuhd352zp object_4 object_6 object_7 object_2)', '(ozh031mvw6d4smqa object_10 object_4 object_7)', '(ucb7r68xuhd352zp object_5 object_8 object_9 object_3)', '(v1pjso2krv6sk1wj object_11 object_5 object_9)', '(ucb7r68xuhd352zp object_5 object_9 object_8 object_3)', '(ozh031mvw6d4smqa object_11 object_5 object_8)']",1.0,0,7,True,"['(v1pjso2krv6sk1wj object_10 object_4 object_6)', '(ucb7r68xuhd352zp object_4 object_6 object_7 object_2)', '(ozh031mvw6d4smqa object_10 object_4 object_7)', '(ucb7r68xuhd352zp object_5 object_8 object_9 object_3)', '(v1pjso2krv6sk1wj object_11 object_5 object_9)', '(ucb7r68xuhd352zp object_5 object_9 object_8 object_3)', '(ozh031mvw6d4smqa object_11 object_5 object_8)']",True
