model,domain,task,instance_id,gt_plan,curr_plan,plan_trace,nr_plan_trace,trace_score,complementary_plan,correct_part,executability,final_score,curr_score,curr_steps,curr_last_act,curr_validity,cdt_plan,cdt_score,cdt_steps,cdt_last_act,cdt_validity,subseq_plan,subseq_score,subseq_steps,subseq_last_act,subseq_validity,cdt_subseq_plan,cdt_subseq_score,cdt_subseq_steps,cdt_subseq_last_act,cdt_subseq_validity,improved_plan,improved_validity
o3-mini_chat,logistics,_one_shot,52,"['(load-airplane p1 a2 l0-0)', '(fly-airplane a2 l0-0 l1-0)', '(unload-airplane p1 a2 l1-0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l2-0)', '(unload-airplane p0 a0 l2-0)']","['(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l2-0)', '(unload-airplane p0 a0 l2-0)', '(load-airplane p1 a2 l0-0)', '(fly-airplane a2 l0-0 l1-0)', '(unload-airplane p1 a2 l1-0)']","{0: 'correct', 1: 'correct', 2: 'correct', 3: 'correct', 4: 'correct', 5: 'correct'}","{0: 'correct', 1: 'correct', 2: 'correct', 3: 'correct', 4: 'correct', 5: 'correct'}",2.0,[],"['(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l2-0)', '(unload-airplane p0 a0 l2-0)', '(load-airplane p1 a2 l0-0)', '(fly-airplane a2 l0-0 l1-0)', '(unload-airplane p1 a2 l1-0)']",True,4.0,4.0,0,6,True,"['(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l2-0)', '(unload-airplane p0 a0 l2-0)', '(load-airplane p1 a2 l0-0)', '(fly-airplane a2 l0-0 l1-0)', '(unload-airplane p1 a2 l1-0)']",4.0,0,6,True,"['(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l2-0)', '(unload-airplane p0 a0 l2-0)', '(load-airplane p1 a2 l0-0)', '(fly-airplane a2 l0-0 l1-0)', '(unload-airplane p1 a2 l1-0)']",1.0,0,6,True,"['(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l2-0)', '(unload-airplane p0 a0 l2-0)', '(load-airplane p1 a2 l0-0)', '(fly-airplane a2 l0-0 l1-0)', '(unload-airplane p1 a2 l1-0)']",1.0,0,6,True,"['(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l2-0)', '(unload-airplane p0 a0 l2-0)', '(load-airplane p1 a2 l0-0)', '(fly-airplane a2 l0-0 l1-0)', '(unload-airplane p1 a2 l1-0)']",True
o3-mini_chat,logistics,_one_shot,53,"['(load-airplane p2 a0 l2-0)', '(fly-airplane a0 l2-0 l0-0)', '(unload-airplane p2 a0 l0-0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p0 a0 l1-0)']","['(load-airplane p2 a0 l2-0)', '(fly-airplane a0 l2-0 l0-0)', '(unload-airplane p2 a0 l0-0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p0 a0 l1-0)']","{0: 'position', 1: 'position', 2: 'position', 3: 'position', 4: 'position', 5: 'position'}","{0: 'position', 1: 'position', 2: 'position', 3: 'position', 4: 'position', 5: 'position'}",4.0,[],"['(load-airplane p2 a0 l2-0)', '(fly-airplane a0 l2-0 l0-0)', '(unload-airplane p2 a0 l0-0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p0 a0 l1-0)']",True,4.0,4.0,0,6,True,"['(load-airplane p2 a0 l2-0)', '(fly-airplane a0 l2-0 l0-0)', '(unload-airplane p2 a0 l0-0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p0 a0 l1-0)']",4.0,0,6,True,"['(load-airplane p2 a0 l2-0)', '(fly-airplane a0 l2-0 l0-0)', '(unload-airplane p2 a0 l0-0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p0 a0 l1-0)']",1.0,0,6,True,"['(load-airplane p2 a0 l2-0)', '(fly-airplane a0 l2-0 l0-0)', '(unload-airplane p2 a0 l0-0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p0 a0 l1-0)']",1.0,0,6,True,"['(load-airplane p2 a0 l2-0)', '(fly-airplane a0 l2-0 l0-0)', '(unload-airplane p2 a0 l0-0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p0 a0 l1-0)']",True
o3-mini_chat,logistics,_one_shot,54,"['(fly-airplane a0 l1-0 l0-0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l2-0)', '(load-airplane p2 a0 l2-0)', '(unload-airplane p0 a0 l2-0)', '(fly-airplane a0 l2-0 l1-0)', '(unload-airplane p2 a0 l1-0)']","['(fly-airplane a0 c1 (1-0))', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 p0 c0)', '(unload-airplane p0 a0 l2-0,)', '(load-airplane p2 a0 l2-0)', '(fly-airplane a0 p2 c2)', '(unload-airplane p2 a0 l1-0,)']","{1: 'position', 4: 'correct', 0: 'same_act', 2: 'same_act', 3: 'same_act', 5: 'same_act', 6: 'same_act'}","{1: 'position', 4: 'correct', 0: 'same_act', 2: 'same_act', 3: 'same_act', 5: 'same_act', 6: 'same_act'}",1.5714285714285714,"['(fly-airplane a0 l1-0 l0-0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l2-0)', '(load-airplane p2 a0 l2-0)', '(unload-airplane p0 a0 l2-0)', '(fly-airplane a0 l2-0 l1-0)', '(unload-airplane p2 a0 l1-0)']",[],False,3.107142857142857,3.107142857142857,6,0,False,"['(fly-airplane a0 c1 (1-0))', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 p0 c0)', '(unload-airplane p0 a0 l2-0,)', '(load-airplane p2 a0 l2-0)', '(fly-airplane a0 p2 c2)', '(unload-airplane p2 a0 l1-0,)']",3.107142857142857,6,0,False,"['(load-airplane p0 a0 l0-0)', '(load-airplane p2 a0 l2-0)']",1.0,7,0,False,"['(load-airplane p0 a0 l0-0)', '(load-airplane p2 a0 l2-0)']",1.0,7,0,False,"['(fly-airplane a0 l1-0 l0-0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l2-0)', '(load-airplane p2 a0 l2-0)', '(unload-airplane p0 a0 l2-0)', '(fly-airplane a0 l2-0 l1-0)', '(unload-airplane p2 a0 l1-0)']",True
o3-mini_chat,logistics,_one_shot,55,"['(fly-airplane a1 l1-0 l0-0)', '(load-airplane p0 a1 l0-0)', '(fly-airplane a1 l0-0 l2-0)', '(load-airplane p2 a1 l2-0)', '(unload-airplane p0 a1 l2-0)', '(fly-airplane a1 l2-0 l1-0)', '(unload-airplane p2 a1 l1-0)']","['(fly-airplane a0 l1-0 l0-0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l2-0)', '(load-airplane p2 a0 l2-0)', '(unload-airplane p0 a0 l2-0)', '(fly-airplane a0 l2-0 l1-0)', '(unload-airplane p2 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l2-0)', '(load-airplane p2 a0 l2-0)', '(unload-airplane p0 a0 l2-0)', '(fly-airplane a0 l2-0 l1-0)', '(unload-airplane p2 a0 l1-0)']","{0: 'same_act', 1: 'same_act', 2: 'same_act', 3: 'same_act', 4: 'same_act', 5: 'same_act', 6: 'same_act', 7: 'redundant', 8: 'redundant', 9: 'redundant', 10: 'redundant', 11: 'redundant', 12: 'redundant', 13: 'redundant'}","{0: 'same_act', 1: 'same_act', 2: 'same_act', 3: 'same_act', 4: 'same_act', 5: 'same_act', 6: 'same_act', 7: 'same_act', 8: 'same_act', 9: 'same_act', 10: 'same_act', 11: 'same_act', 12: 'same_act', 13: 'same_act'}",0.5,"['(fly-airplane a1 l1-0 l0-0)', '(load-airplane p0 a1 l0-0)', '(fly-airplane a1 l0-0 l2-0)', '(load-airplane p2 a1 l2-0)', '(unload-airplane p0 a1 l2-0)', '(fly-airplane a1 l2-0 l1-0)', '(unload-airplane p2 a1 l1-0)']",[],False,1.5,1.5,7,1,False,"['(fly-airplane a0 l1-0 l0-0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l2-0)', '(load-airplane p2 a0 l2-0)', '(unload-airplane p0 a0 l2-0)', '(fly-airplane a0 l2-0 l1-0)', '(unload-airplane p2 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l2-0)', '(load-airplane p2 a0 l2-0)', '(unload-airplane p0 a0 l2-0)', '(fly-airplane a0 l2-0 l1-0)', '(unload-airplane p2 a0 l1-0)']",1.5,7,1,False,"['(fly-airplane a0 l1-0 l0-0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l2-0)', '(load-airplane p2 a0 l2-0)', '(unload-airplane p0 a0 l2-0)', '(fly-airplane a0 l2-0 l1-0)', '(unload-airplane p2 a0 l1-0)']",1.0,0,7,True,"['(fly-airplane a0 l1-0 l0-0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l2-0)', '(load-airplane p2 a0 l2-0)', '(unload-airplane p0 a0 l2-0)', '(fly-airplane a0 l2-0 l1-0)', '(unload-airplane p2 a0 l1-0)']",1.0,0,7,True,"['(fly-airplane a1 l1-0 l0-0)', '(load-airplane p0 a1 l0-0)', '(fly-airplane a1 l0-0 l2-0)', '(load-airplane p2 a1 l2-0)', '(unload-airplane p0 a1 l2-0)', '(fly-airplane a1 l2-0 l1-0)', '(unload-airplane p2 a1 l1-0)']",True
o3-mini_chat,logistics,_one_shot,57,"['(load-airplane p2 a2 l2-0)', '(fly-airplane a2 l2-0 l1-0)', '(unload-airplane p2 a2 l1-0)', '(load-airplane p0 a2 l1-0)', '(fly-airplane a2 l1-0 l0-0)', '(unload-airplane p0 a2 l0-0)']","['(load-airplane p2 a1 l2-0)', '(fly-airplane a1 l2-0 l1-0)', '(unload-airplane p2 a1 l1-0)', '(load-airplane p0 a1 l1-0)', '(fly-airplane a1 l1-0 l0-0)', '(unload-airplane p0 a1 l0-0)']","{0: 'same_act', 1: 'same_act', 2: 'same_act', 3: 'same_act', 4: 'same_act', 5: 'same_act'}","{0: 'same_act', 1: 'same_act', 2: 'same_act', 3: 'same_act', 4: 'same_act', 5: 'same_act'}",1.0,"['(load-airplane p2 a2 l2-0)', '(fly-airplane a2 l2-0 l1-0)', '(unload-airplane p2 a2 l1-0)', '(load-airplane p0 a2 l1-0)', '(fly-airplane a2 l1-0 l0-0)', '(unload-airplane p0 a2 l0-0)']",[],False,4.0,4.0,0,0,False,"['(load-airplane p2 a1 l2-0)', '(fly-airplane a1 l2-0 l1-0)', '(unload-airplane p2 a1 l1-0)', '(load-airplane p0 a1 l1-0)', '(fly-airplane a1 l1-0 l0-0)', '(unload-airplane p0 a1 l0-0)']",4.0,0,0,False,"['(load-airplane p2 a1 l2-0)', '(fly-airplane a1 l2-0 l1-0)', '(unload-airplane p2 a1 l1-0)', '(load-airplane p0 a1 l1-0)', '(fly-airplane a1 l1-0 l0-0)', '(unload-airplane p0 a1 l0-0)']",1.0,0,6,True,"['(load-airplane p2 a1 l2-0)', '(fly-airplane a1 l2-0 l1-0)', '(unload-airplane p2 a1 l1-0)', '(load-airplane p0 a1 l1-0)', '(fly-airplane a1 l1-0 l0-0)', '(unload-airplane p0 a1 l0-0)']",1.0,0,6,True,"['(load-airplane p2 a2 l2-0)', '(fly-airplane a2 l2-0 l1-0)', '(unload-airplane p2 a2 l1-0)', '(load-airplane p0 a2 l1-0)', '(fly-airplane a2 l1-0 l0-0)', '(unload-airplane p0 a2 l0-0)']",True
o3-mini_chat,logistics,_one_shot,58,"['(load-airplane p2 a2 l2-0)', '(fly-airplane a2 l2-0 l0-0)', '(unload-airplane p2 a2 l0-0)', '(load-airplane p1 a0 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p1 a0 l0-0)', '(unload-airplane p0 a0 l0-0)']","['(load-airplane p2 a1 l2-0)', '(fly-airplane a1 l2-0 l0-0)', '(unload-airplane p2 a1 l0-0)', '(load-airplane p0 a0 l1-0)', '(load-airplane p1 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)', '(unload-airplane p1 a0 l0-0)', '(load-airplane p2 a1 l2-0)', '(fly-airplane a1 l2-0 l0-0)', '(unload-airplane p2 a1 l0-0)', '(load-airplane p0 a0 l1-0)', '(load-airplane p1 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)', '(unload-airplane p1 a0 l0-0)']","{5: 'position', 3: 'correct', 4: 'correct', 6: 'correct', 7: 'correct', 0: 'same_act', 1: 'same_act', 2: 'same_act', 8: 'redundant', 9: 'redundant', 10: 'redundant', 11: 'redundant', 12: 'redundant', 13: 'redundant', 14: 'redundant', 15: 'redundant'}","{5: 'position', 3: 'correct', 4: 'correct', 6: 'correct', 7: 'correct', 0: 'same_act', 1: 'same_act', 2: 'same_act', 8: 'same_act', 9: 'same_act', 10: 'same_act', 11: 'correct', 12: 'correct', 13: 'correct', 14: 'correct', 15: 'correct'}",0.9375,"['(load-airplane p2 a2 l2-0)', '(fly-airplane a2 l2-0 l0-0)', '(unload-airplane p2 a2 l0-0)', '(load-airplane p1 a0 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p1 a0 l0-0)', '(unload-airplane p0 a0 l0-0)']",[],False,1.5892857142857144,1.4375,8,0,False,"['(load-airplane p2 a1 l2-0)', '(fly-airplane a1 l2-0 l0-0)', '(unload-airplane p2 a1 l0-0)', '(load-airplane p0 a0 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)', '(unload-airplane p0 a0 l0-0)', '(load-airplane p2 a1 l2-0)', '(fly-airplane a1 l2-0 l0-0)', '(unload-airplane p2 a1 l0-0)', '(load-airplane p0 a0 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)', '(unload-airplane p0 a0 l0-0)']",1.7410714285714286,15,3,False,"['(load-airplane p1 a0 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p1 a0 l0-0)']",1.0,8,4,False,"['(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']",1.0,8,3,False,"['(load-airplane p2 a2 l2-0)', '(fly-airplane a2 l2-0 l0-0)', '(unload-airplane p2 a2 l0-0)', '(load-airplane p1 a0 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p1 a0 l0-0)', '(unload-airplane p0 a0 l0-0)']",True
o3-mini_chat,logistics,_one_shot,59,"['(drive-truck t2 l2-0 l2-1 c2)', '(load-truck p0 t2 l2-1)', '(drive-truck t2 l2-1 l2-0 c2)', '(unload-truck p0 t2 l2-0)', '(fly-airplane a0 l1-0 l2-0)', '(load-airplane p0 a0 l2-0)', '(fly-airplane a0 l2-0 l1-0)', '(unload-airplane p0 a0 l1-0)']","['(drive-truck t2 l2-0 l2-1 c2)', '(load-truck p0 t2 l2-1)', '(drive-truck t2 l2-1 l2-0 c2)', '(unload-truck p0 t2 l2-0)', '(fly-airplane a0 l1-0 l2-0)', '(load-airplane p0 a0 l2-0)', '(fly-airplane a0 l2-0 l1-0)', '(unload-airplane p0 a0 l1-0)']","{0: 'position', 1: 'position', 2: 'position', 3: 'position', 4: 'position', 5: 'position', 6: 'position', 7: 'position'}","{0: 'position', 1: 'position', 2: 'position', 3: 'position', 4: 'position', 5: 'position', 6: 'position', 7: 'position'}",4.0,"['(drive-truck t2 l2-0 l2-1 c2)', '(load-truck p0 t2 l2-1)', '(drive-truck t2 l2-1 l2-0 c2)', '(unload-truck p0 t2 l2-0)', '(fly-airplane a0 l1-0 l2-0)', '(load-airplane p0 a0 l2-0)', '(fly-airplane a0 l2-0 l1-0)', '(unload-airplane p0 a0 l1-0)']",[],True,4.0,4.0,0,8,False,"['(drive-truck t2 l2-0 l2-1 c2)', '(load-truck p0 t2 l2-1)', '(drive-truck t2 l2-1 l2-0 c2)', '(unload-truck p0 t2 l2-0)', '(fly-airplane a0 l1-0 l2-0)', '(load-airplane p0 a0 l2-0)', '(fly-airplane a0 l2-0 l1-0)', '(unload-airplane p0 a0 l1-0)']",4.0,0,8,False,"['(drive-truck t2 l2-0 l2-1 c2)', '(load-truck p0 t2 l2-1)', '(drive-truck t2 l2-1 l2-0 c2)', '(unload-truck p0 t2 l2-0)', '(fly-airplane a0 l1-0 l2-0)', '(load-airplane p0 a0 l2-0)', '(fly-airplane a0 l2-0 l1-0)', '(unload-airplane p0 a0 l1-0)']",1.0,0,0,False,"['(drive-truck t2 l2-0 l2-1 c2)', '(load-truck p0 t2 l2-1)', '(drive-truck t2 l2-1 l2-0 c2)', '(unload-truck p0 t2 l2-0)', '(fly-airplane a0 l1-0 l2-0)', '(load-airplane p0 a0 l2-0)', '(fly-airplane a0 l2-0 l1-0)', '(unload-airplane p0 a0 l1-0)']",1.0,0,8,True,"['(drive-truck t2 l2-0 l2-1 c2)', '(load-truck p0 t2 l2-1)', '(drive-truck t2 l2-1 l2-0 c2)', '(unload-truck p0 t2 l2-0)', '(fly-airplane a0 l1-0 l2-0)', '(load-airplane p0 a0 l2-0)', '(fly-airplane a0 l2-0 l1-0)', '(unload-airplane p0 a0 l1-0)']",False
o3-mini_chat,logistics,_one_shot,60,"['(drive-truck t2 l2-0 l2-1 c2)', '(load-truck p0 t2 l2-1)', '(drive-truck t2 l2-1 l2-0 c2)', '(unload-truck p0 t2 l2-0)', '(fly-airplane a1 l0-0 l2-0)', '(load-airplane p0 a1 l2-0)', '(fly-airplane a1 l2-0 l1-0)', '(unload-airplane p0 a1 l1-0)']","['(drive-truck t2 l2-0 l2-1 c2)', '(load-truck p0 t2 l2-1)', '(drive-truck t2 l2-1 l2-0 c2)', '(unload-truck p0 t2 l2-0)', '(fly-airplane a0 l1-0 l2-0)', '(load-airplane p0 a0 l2-0)', '(fly-airplane a0 l2-0 l1-0)', '(unload-airplane p0 a0 l1-0)']","{0: 'position', 1: 'position', 2: 'position', 3: 'position', 4: 'same_act', 5: 'same_act', 6: 'same_act', 7: 'same_act'}","{0: 'position', 1: 'position', 2: 'position', 3: 'position', 4: 'same_act', 5: 'same_act', 6: 'same_act', 7: 'same_act'}",2.5,[],"['(drive-truck t2 l2-0 l2-1 c2)', '(load-truck p0 t2 l2-1)', '(drive-truck t2 l2-1 l2-0 c2)', '(unload-truck p0 t2 l2-0)', '(fly-airplane a0 l1-0 l2-0)', '(load-airplane p0 a0 l2-0)', '(fly-airplane a0 l2-0 l1-0)', '(unload-airplane p0 a0 l1-0)']",True,4.0,4.0,0,8,True,"['(drive-truck t2 l2-0 l2-1 c2)', '(load-truck p0 t2 l2-1)', '(drive-truck t2 l2-1 l2-0 c2)', '(unload-truck p0 t2 l2-0)', '(fly-airplane a0 l1-0 l2-0)', '(load-airplane p0 a0 l2-0)', '(fly-airplane a0 l2-0 l1-0)', '(unload-airplane p0 a0 l1-0)']",4.0,0,8,True,"['(drive-truck t2 l2-0 l2-1 c2)', '(load-truck p0 t2 l2-1)', '(drive-truck t2 l2-1 l2-0 c2)', '(unload-truck p0 t2 l2-0)']",1.0,4,4,False,"['(drive-truck t2 l2-0 l2-1 c2)', '(load-truck p0 t2 l2-1)', '(drive-truck t2 l2-1 l2-0 c2)', '(unload-truck p0 t2 l2-0)', '(fly-airplane a0 l1-0 l2-0)', '(load-airplane p0 a0 l2-0)', '(fly-airplane a0 l2-0 l1-0)', '(unload-airplane p0 a0 l1-0)']",1.0,0,8,True,"['(drive-truck t2 l2-0 l2-1 c2)', '(load-truck p0 t2 l2-1)', '(drive-truck t2 l2-1 l2-0 c2)', '(unload-truck p0 t2 l2-0)', '(fly-airplane a0 l1-0 l2-0)', '(load-airplane p0 a0 l2-0)', '(fly-airplane a0 l2-0 l1-0)', '(unload-airplane p0 a0 l1-0)']",True
o3-mini_chat,logistics,_one_shot,61,"['(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p0 t0 l0-0)', '(load-airplane p0 a1 l0-0)', '(fly-airplane a1 l0-0 l2-0)', '(unload-airplane p0 a1 l2-0)']","['(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p0 t0 l0-0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l2-0)', '(unload-airplane p0 a0 l2-0)']","{0: 'position', 1: 'position', 2: 'position', 3: 'same_act', 4: 'same_act', 5: 'same_act'}","{0: 'position', 1: 'position', 2: 'position', 3: 'same_act', 4: 'same_act', 5: 'same_act'}",2.5,"['(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p0 t0 l0-0)', '(load-airplane p0 a1 l0-0)', '(fly-airplane a1 l0-0 l2-0)', '(unload-airplane p0 a1 l2-0)']",[],True,4.0,4.0,0,6,False,"['(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p0 t0 l0-0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l2-0)', '(unload-airplane p0 a0 l2-0)']",4.0,0,6,False,"['(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p0 t0 l0-0)']",1.0,3,3,False,"['(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p0 t0 l0-0)']",1.0,3,0,False,"['(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p0 t0 l0-0)', '(load-airplane p0 a1 l0-0)', '(fly-airplane a1 l0-0 l2-0)', '(unload-airplane p0 a1 l2-0)']",False
o3-mini_chat,logistics,_one_shot,62,"['(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p0 t0 l0-0)', '(load-airplane p0 a2 l0-0)', '(fly-airplane a2 l0-0 l1-0)', '(unload-airplane p0 a2 l1-0)', '(drive-truck t1 l1-1 l1-0 c1)', '(load-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p0 t1 l1-1)']","['(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p0 t0 l0-0)', '(load-airplane p0 a1 l0-0)', '(fly-airplane a1 l0-0 l1-0)', '(unload-airplane p0 a1 l1-0)', '(drive-truck t1 l1-1 l1-0 c1)', '(load-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p0 t1 l1-1)']","{0: 'position', 1: 'position', 2: 'position', 6: 'position', 7: 'position', 8: 'position', 9: 'position', 3: 'same_act', 4: 'same_act', 5: 'same_act'}","{0: 'position', 1: 'position', 2: 'position', 6: 'position', 7: 'position', 8: 'position', 9: 'position', 3: 'same_act', 4: 'same_act', 5: 'same_act'}",3.1,"['(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p0 t0 l0-0)', '(load-airplane p0 a2 l0-0)', '(fly-airplane a2 l0-0 l1-0)', '(unload-airplane p0 a2 l1-0)', '(drive-truck t1 l1-1 l1-0 c1)', '(load-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p0 t1 l1-1)']",[],True,4.0,4.0,0,10,False,"['(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p0 t0 l0-0)', '(load-airplane p0 a1 l0-0)', '(fly-airplane a1 l0-0 l1-0)', '(unload-airplane p0 a1 l1-0)', '(drive-truck t1 l1-1 l1-0 c1)', '(load-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p0 t1 l1-1)']",4.0,0,10,False,"['(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p0 t0 l0-0)', '(load-airplane p0 a1 l0-0)', '(fly-airplane a1 l0-0 l1-0)', '(unload-airplane p0 a1 l1-0)', '(drive-truck t1 l1-1 l1-0 c1)', '(load-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p0 t1 l1-1)']",1.0,0,10,True,"['(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p0 t0 l0-0)', '(load-airplane p0 a1 l0-0)', '(fly-airplane a1 l0-0 l1-0)', '(unload-airplane p0 a1 l1-0)', '(drive-truck t1 l1-1 l1-0 c1)', '(load-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p0 t1 l1-1)']",1.0,0,10,True,"['(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p0 t0 l0-0)', '(load-airplane p0 a2 l0-0)', '(fly-airplane a2 l0-0 l1-0)', '(unload-airplane p0 a2 l1-0)', '(drive-truck t1 l1-1 l1-0 c1)', '(load-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p0 t1 l1-1)']",False
