model,domain,task,instance_id,gt_plan,curr_plan,plan_trace,nr_plan_trace,trace_score,complementary_plan,correct_part,executability,final_score,curr_score,curr_steps,curr_last_act,curr_validity,cdt_plan,cdt_score,cdt_steps,cdt_last_act,cdt_validity,subseq_plan,subseq_score,subseq_steps,subseq_last_act,subseq_validity,cdt_subseq_plan,cdt_subseq_score,cdt_subseq_steps,cdt_subseq_last_act,cdt_subseq_validity,improved_plan,improved_validity
gemma-2-2b_it,logistics,_pddl,2,"['(load-airplane p0 a1 l1-0)', '(fly-airplane a1 l1-0 l0-0)', '(unload-airplane p0 a1 l0-0)']","['(drive-truck t0 l0-0 l1-0)', '(load-truck p0 t0 l1-0)', '(drive-truck t0 l1-0 l0-0)', '(unload-truck p0 t0 l0-0)']","{0: 'diff_act', 1: 'diff_act', 2: 'diff_act', 3: 'redundant'}","{0: 'diff_act', 1: 'diff_act', 2: 'diff_act', 3: 'diff_act'}",0.375,"['(load-airplane p0 a1 l1-0)', '(fly-airplane a1 l1-0 l0-0)', '(unload-airplane p0 a1 l0-0)']",[],False,2.177221105833638,2.076905979783218,4,0,False,"['(load-truck p0 t0 l1-0)', '(drive-truck t0 l1-0 l0-0)', '(unload-truck p0 t0 l0-0)', '(drive-truck t0 l0-0 l1-0)']",2.277536231884058,4,0,False,[],0.0,3,0,False,[],0.0,3,0,False,"['(load-airplane p0 a1 l1-0)', '(fly-airplane a1 l1-0 l0-0)', '(unload-airplane p0 a1 l0-0)']",True
gemma-2-2b_it,logistics,_pddl,3,"['(fly-airplane a0 l1-0 l0-0)', '(load-airplane p1 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p1 a0 l1-0)']","['(load-truck p0 t0 l0-0)', '(drive-truck t0 l1-0 l0-0)', '(unload-truck p0 t0 l0-0)', '(load-airplane p0 a1 l1-0)', '(fly-airplane a1 l1-0 l0-0)', '(unload-airplane p0 a1 l0-0)']","{0: 'diff_act', 1: 'diff_act', 2: 'diff_act', 3: 'diff_act', 4: 'redundant', 5: 'redundant'}","{0: 'diff_act', 1: 'diff_act', 2: 'diff_act', 3: 'diff_act', 4: 'same_act', 5: 'same_act'}",0.3333333333333333,"['(fly-airplane a0 l1-0 l0-0)', '(load-airplane p1 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p1 a0 l1-0)']",[],False,1.885316552250191,1.885316552250191,6,0,False,"['(load-truck p0 t0 l0-0)', '(drive-truck t0 l1-0 l0-0)', '(unload-truck p0 t0 l0-0)', '(load-airplane p0 a1 l1-0)', '(fly-airplane a1 l1-0 l0-0)', '(unload-airplane p0 a1 l0-0)']",1.885316552250191,6,0,False,[],0.0,4,0,False,[],0.0,4,0,False,"['(fly-airplane a0 l1-0 l0-0)', '(load-airplane p1 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p1 a0 l1-0)']",True
gemma-2-2b_it,logistics,_pddl,4,"['(load-airplane p1 a0 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p1 a0 l0-0)', '(unload-airplane p0 a0 l0-0)']","['(drive-truck t0 l0-0 l1-0)', '(load-truck p0 t0 l0-0)', '(drive-truck t1 l1-0 l0-0)', '(unload-truck p0 t1 l0-0)']","{0: 'diff_act', 1: 'diff_act', 2: 'diff_act', 3: 'diff_act'}","{0: 'diff_act', 1: 'diff_act', 2: 'diff_act', 3: 'diff_act'}",0.5,"['(load-airplane p1 a0 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p1 a0 l0-0)', '(unload-airplane p0 a0 l0-0)']",[],False,1.775,1.775,5,0,False,"['(drive-truck t0 l0-0 l1-0)', '(load-truck p0 t0 l0-0)', '(drive-truck t1 l1-0 l0-0)', '(unload-truck p0 t1 l0-0)']",1.775,5,0,False,[],0.0,5,0,False,[],0.0,5,0,False,"['(load-airplane p1 a0 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p1 a0 l0-0)', '(unload-airplane p0 a0 l0-0)']",True
gemma-2-2b_it,logistics,_pddl,6,"['(load-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p0 t1 l1-1)']","['(drive-truck t0 l0-0 l1-0)', '(load-truck p0 t0 l1-0)', '(drive-truck t1 l1-0 l0-0)', '(unload-truck p0 t1 l0-0)']","{0: 'same_act', 1: 'same_act', 2: 'diff_act', 3: 'redundant'}","{0: 'same_act', 1: 'same_act', 2: 'diff_act', 3: 'same_act'}",0.625,"['(load-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p0 t1 l1-1)']",[],False,2.2916666666666665,1.9791666666666663,4,0,False,"['(drive-truck t1 l0-0 l1-0)', '(load-truck p0 t1 l1-0)', '(drive-truck t0 l1-0 l0-0)', '(unload-truck p0 t0 l0-0)']",2.6041666666666665,4,0,False,[],0.0,3,0,False,['(load-truck p0 t1 l1-0)'],1.0,2,1,False,"['(load-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p0 t1 l1-1)']",False
gemma-2-2b_it,logistics,_pddl,7,"['(drive-truck t0 l0-0 l0-1 c0)', '(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p0 t0 l0-0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p0 a0 l1-0)']","['(load-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0)', '(unload-truck p0 t1 l1-0)']","{0: 'same_act', 1: 'same_act', 2: 'same_act', 3: 'same_act', 4: 'diff_act'}","{0: 'same_act', 1: 'same_act', 2: 'same_act', 3: 'same_act', 4: 'diff_act'}",0.9,"['(drive-truck t0 l0-0 l0-1 c0)', '(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p0 t0 l0-0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p0 a0 l1-0)']",[],False,2.251428571428572,2.251428571428572,7,0,False,"['(load-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0)', '(unload-truck p0 t1 l1-0)']",2.251428571428572,7,0,False,[],0.0,7,0,False,[],0.0,7,0,False,"['(drive-truck t0 l0-0 l0-1 c0)', '(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p0 t0 l0-0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p0 a0 l1-0)']",True
gemma-2-2b_it,logistics,_pddl,8,"['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']","['(drive-truck t0 l0-0 l0-1 c0)', '(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p0 t0 l0-0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p0 a0 l1-0)']","{0: 'same_act', 1: 'same_act', 2: 'diff_act', 3: 'same_act', 4: 'same_act', 5: 'diff_act', 6: 'redundant'}","{0: 'same_act', 1: 'same_act', 2: 'diff_act', 3: 'same_act', 4: 'same_act', 5: 'diff_act', 6: 'same_act'}",0.7142857142857143,"['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']",[],False,2.3547619047619044,2.169047619047619,7,1,False,"['(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p0 t0 l0-0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p0 a0 l1-0)', '(drive-truck t0 l0-0 l0-1 c0)']",2.5404761904761903,7,0,False,[],0.0,6,0,False,[],0.0,6,0,False,"['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']",False
gemma-2-2b_it,logistics,_pddl,10,"['(load-truck p1 t0 l0-0)', '(load-truck p0 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p1 t0 l0-1)', '(unload-truck p0 t0 l0-1)']","['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l0-1 c0)', '(unload-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l0-1 c0)', '(unload-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l0-1 c0)', '(unload-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l0-1 c0)', '(unload-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l0-1 c0)', '(unload-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l0-1 c0)', '(unload-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l0-1 c0)', '(unload-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l0-1 c0)', '(unload-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l0-1 c0)', '(unload-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l0-1 c0)', '(unload-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l0-1 c0)', '(unload-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l0-1 c0)', '(unload-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l0-1 c0)', '(unload-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l0-1 c0)', '(unload-truck p0 t1 l1-0)']","{0: 'same_act', 1: 'same_act', 2: 'same_act', 3: 'diff_act', 4: 'redundant', 5: 'redundant', 6: 'redundant', 7: 'redundant', 8: 'redundant', 9: 'redundant', 10: 'redundant', 11: 'redundant', 12: 'redundant', 13: 'redundant', 14: 'redundant', 15: 'redundant', 16: 'redundant', 17: 'redundant', 18: 'redundant', 19: 'redundant', 20: 'redundant', 21: 'redundant', 22: 'redundant', 23: 'redundant', 24: 'redundant', 25: 'redundant', 26: 'redundant', 27: 'redundant', 28: 'redundant', 29: 'redundant', 30: 'redundant'}","{0: 'same_act', 1: 'same_act', 2: 'same_act', 3: 'diff_act', 4: 'same_act', 5: 'same_act', 6: 'same_act', 7: 'same_act', 8: 'same_act', 9: 'same_act', 10: 'same_act', 11: 'same_act', 12: 'same_act', 13: 'same_act', 14: 'same_act', 15: 'same_act', 16: 'same_act', 17: 'same_act', 18: 'same_act', 19: 'same_act', 20: 'same_act', 21: 'same_act', 22: 'same_act', 23: 'same_act', 24: 'same_act', 25: 'same_act', 26: 'same_act', 27: 'same_act', 28: 'same_act', 29: 'same_act', 30: 'same_act'}",0.1129032258064516,"['(load-truck p1 t0 l0-0)', '(load-truck p0 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p1 t0 l0-1)', '(unload-truck p0 t0 l0-1)']",[],False,-1.0,-3.1790322580645154,32,0,False,"['(load-truck l1-0 t1 l1-1)', '(drive-truck t1 l1-1 p0 c1)', '(unload-truck l1-0 t1 p0)', '(drive-truck t1 p0 l0-1 c0)', '(unload-truck l1-0 t1 p0)', '(drive-truck t1 p0 l0-1 c0)', '(unload-truck l1-0 t1 p0)', '(drive-truck t1 p0 l0-1 c0)', '(unload-truck l1-0 t1 p0)', '(drive-truck t1 p0 l0-1 c0)', '(unload-truck l1-0 t1 p0)', '(drive-truck t1 p0 l0-1 c0)', '(unload-truck l1-0 t1 p0)', '(drive-truck t1 p0 l0-1 c0)', '(unload-truck l1-0 t1 p0)', '(drive-truck t1 p0 l0-1 c0)', '(unload-truck l1-0 t1 p0)', '(drive-truck t1 p0 l0-1 c0)', '(unload-truck l1-0 t1 p0)', '(drive-truck t1 p0 l0-1 c0)', '(unload-truck l1-0 t1 p0)', '(drive-truck t1 p0 l0-1 c0)', '(unload-truck l1-0 t1 p0)', '(drive-truck t1 p0 l0-1 c0)', '(unload-truck l1-0 t1 p0)', '(drive-truck t1 p0 l0-1 c0)', '(unload-truck l1-0 t1 p0)', '(drive-truck t1 p0 l0-1 c0)', '(unload-truck l1-0 t1 p0)', '(drive-truck t1 p0 l0-1 c0)', '(unload-truck l1-0 t1 p0)']",-3.1596774193548383,31,0,False,[],0.0,5,0,False,[],0.0,5,0,False,"['(load-truck p1 t0 l0-0)', '(load-truck p0 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p1 t0 l0-1)', '(unload-truck p0 t0 l0-1)']",False
gemma-2-2b_it,logistics,_pddl,11,"['(load-truck p0 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p0 t0 l0-1)', '(drive-truck t1 l1-0 l1-1 c1)', '(load-truck p1 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p1 t1 l1-0)']","['(load-truck p1 t0 l0-0)', '(load-truck p0 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p1 t0 l0-1)', '(unload-truck p0 t0 l0-1)']","{1: 'correct', 2: 'correct', 4: 'correct', 0: 'same_act', 3: 'same_act'}","{1: 'correct', 2: 'correct', 4: 'correct', 0: 'same_act', 3: 'same_act'}",1.6,"['(load-truck p0 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p0 t0 l0-1)', '(drive-truck t1 l1-0 l1-1 c1)', '(load-truck p1 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p1 t1 l1-0)']",[],False,3.271428571428572,3.171428571428572,7,0,False,"['(load-truck p0 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p1 t0 l0-1)', '(unload-truck p0 t0 l0-1)', '(load-truck p1 t0 l0-0)']",3.3714285714285714,5,2,False,"['(load-truck p0 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p0 t0 l0-1)']",1.0,4,3,False,"['(load-truck p0 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p0 t0 l0-1)']",1.0,4,0,False,"['(load-truck p0 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p0 t0 l0-1)', '(drive-truck t1 l1-0 l1-1 c1)', '(load-truck p1 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p1 t1 l1-0)']",True
gemma-2-2b_it,logistics,_pddl,12,"['(load-airplane p0 a0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(load-truck p2 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p2 t0 l0-0)', '(load-airplane p2 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p2 a0 l1-0)', '(unload-airplane p0 a0 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(load-truck p1 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p1 t1 l1-0)']","['(load-truck p0 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p0 t0 l0-1)', '(drive-truck t1 l1-0 l1-1 c1)', '(load-truck p1 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p1 t1 l1-0)', '(drive-truck t2 l1-0 l1-1 c1)', '(load-truck p2 t2 l1-1)', '(drive-truck t2 l1-1 l1-0 c1)', '(unload-truck p2 t2 l1-0)']","{1: 'position', 3: 'correct', 4: 'correct', 5: 'correct', 6: 'correct', 0: 'same_act', 2: 'same_act', 7: 'same_act', 8: 'diff_act', 9: 'diff_act', 10: 'diff_act'}","{1: 'position', 3: 'correct', 4: 'correct', 5: 'correct', 6: 'correct', 0: 'same_act', 2: 'same_act', 7: 'same_act', 8: 'diff_act', 9: 'diff_act', 10: 'diff_act'}",1.5,"['(load-airplane p0 a0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(load-truck p2 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p2 t0 l0-0)', '(load-airplane p2 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p2 a0 l1-0)', '(unload-airplane p0 a0 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(load-truck p1 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p1 t1 l1-0)']",[],False,3.077136752136752,3.0713286713286707,12,0,False,"['(load-truck p2 t0 l0-0)', '(drive-truck t0 l0-0 l0-0 c0)', '(unload-truck p2 t0 l0-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(load-truck p1 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p1 t1 l1-0)', '(drive-truck t2 l1-0 l1-1 c1)', '(load-truck p2 t2 l1-1)', '(drive-truck t2 l1-1 l1-0 c1)', '(unload-truck p2 t2 l1-0)']",3.082944832944833,13,0,False,"['(drive-truck t0 l0-0 l0-1 c0)', '(drive-truck t1 l1-0 l1-1 c1)', '(load-truck p1 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p1 t1 l1-0)']",1.0,13,0,False,"['(unload-truck p2 t0 l0-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(load-truck p1 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p1 t1 l1-0)']",1.0,13,0,False,"['(load-airplane p0 a0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(load-truck p2 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p2 t0 l0-0)', '(load-airplane p2 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p2 a0 l1-0)', '(unload-airplane p0 a0 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(load-truck p1 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p1 t1 l1-0)']",False
gemma-2-2b_it,logistics,_pddl,13,"['(load-airplane p2 a0 l0-0)', '(load-airplane p1 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p2 a0 l1-0)', '(unload-airplane p1 a0 l1-0)', '(load-truck p1 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p1 t1 l1-1)', '(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)', '(drive-truck t0 l0-1 l0-0 c0)', '(load-truck p0 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p0 t0 l0-1)']","['(load-airplane p0 a0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(load-truck p2 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p2 t0 l0-0)', '(load-airplane p2 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p2 a0 l1-0)', '(unload-airplane p0 a0 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(load-truck p1 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p1 t1 l1-0)']","{1: 'correct', 3: 'correct', 5: 'correct', 6: 'correct', 7: 'correct', 9: 'correct', 11: 'correct', 0: 'same_act', 2: 'same_act', 4: 'same_act', 8: 'same_act', 10: 'same_act', 12: 'same_act'}","{1: 'correct', 3: 'correct', 5: 'correct', 6: 'correct', 7: 'correct', 9: 'correct', 11: 'correct', 0: 'same_act', 2: 'same_act', 4: 'same_act', 8: 'same_act', 10: 'same_act', 12: 'same_act'}",1.5384615384615383,"['(load-airplane p2 a0 l0-0)', '(load-airplane p1 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p2 a0 l1-0)', '(unload-airplane p1 a0 l1-0)', '(load-truck p1 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p1 t1 l1-1)', '(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)', '(drive-truck t0 l0-1 l0-0 c0)', '(load-truck p0 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p0 t0 l0-1)']",[],False,2.7786324786324785,2.6324786324786325,18,0,False,"['(load-airplane p2 a0 l0-0)', '(fly-airplane a0 l0-0 l1-1)', '(unload-airplane p2 a0 l1-1)', '(unload-airplane p0 a0 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(load-truck p1 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p1 t1 l1-1)', '(load-airplane p0 a0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(load-truck p2 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p2 t0 l0-0)']",2.9247863247863246,14,13,False,"['(load-airplane p2 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p2 a0 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(drive-truck t1 l1-1 l1-0 c1)']",1.0,17,0,False,"['(load-airplane p2 a0 l0-0)', '(load-truck p1 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p1 t1 l1-1)', '(drive-truck t0 l0-1 l0-0 c0)']",1.0,17,1,False,"['(load-airplane p2 a0 l0-0)', '(load-airplane p1 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p2 a0 l1-0)', '(unload-airplane p1 a0 l1-0)', '(load-truck p1 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p1 t1 l1-1)', '(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)', '(drive-truck t0 l0-1 l0-0 c0)', '(load-truck p0 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p0 t0 l0-1)']",True
