model,domain,task,instance_id,gt_plan,curr_plan,plan_trace,nr_plan_trace,trace_score,complementary_plan,correct_part,executability,final_score,curr_score,curr_steps,curr_last_act,curr_validity,cdt_plan,cdt_score,cdt_steps,cdt_last_act,cdt_validity,subseq_plan,subseq_score,subseq_steps,subseq_last_act,subseq_validity,cdt_subseq_plan,cdt_subseq_score,cdt_subseq_steps,cdt_subseq_last_act,cdt_subseq_validity,improved_plan,improved_validity
claude_3-5_haiku,logistics,_pddl,2,"['(load-airplane p0 a1 l1-0)', '(fly-airplane a1 l1-0 l0-0)', '(unload-airplane p0 a1 l0-0)']","['(fly-airplane a0 l1-0 l0-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']","{0: 'same_act', 1: 'same_act', 2: 'diff_act', 3: 'redundant'}","{0: 'same_act', 1: 'same_act', 2: 'diff_act', 3: 'same_act'}",0.625,"['(load-airplane p0 a1 l1-0)', '(fly-airplane a1 l1-0 l0-0)', '(unload-airplane p0 a1 l0-0)']",[],False,2.297348484848485,2.297348484848485,4,1,False,"['(fly-airplane a0 l1-0 l0-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']",2.297348484848485,4,1,False,"['(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']",1.0,0,3,True,"['(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']",1.0,0,3,True,"['(load-airplane p0 a1 l1-0)', '(fly-airplane a1 l1-0 l0-0)', '(unload-airplane p0 a1 l0-0)']",True
claude_3-5_haiku,logistics,_pddl,3,"['(fly-airplane a0 l1-0 l0-0)', '(load-airplane p1 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p1 a0 l1-0)']","['(load-airplane p1 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p1 a0 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']","{0: 'correct', 1: 'correct', 2: 'correct', 4: 'correct', 3: 'redundant', 5: 'redundant'}","{0: 'correct', 1: 'correct', 2: 'correct', 4: 'correct', 3: 'same_act', 5: 'same_act'}",1.3333333333333333,"['(fly-airplane a0 l1-0 l0-0)', '(load-airplane p1 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p1 a0 l1-0)']",[],False,2.725,2.6666666666666665,6,0,False,"['(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)', '(load-airplane p1 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p1 a0 l1-0)', '(load-airplane p0 a0 l1-0)']",2.783333333333333,2,1,False,"['(load-airplane p1 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p1 a0 l1-0)']",1.0,4,0,False,"['(fly-airplane a0 l1-0 l0-0)', '(load-airplane p1 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p1 a0 l1-0)']",1.0,0,4,True,"['(fly-airplane a0 l1-0 l0-0)', '(load-airplane p1 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p1 a0 l1-0)']",True
claude_3-5_haiku,logistics,_pddl,4,"['(load-airplane p1 a0 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p1 a0 l0-0)', '(unload-airplane p0 a0 l0-0)']","['(fly-airplane a0 l1-0 l0-0)', '(load-airplane p0 a0 l0-0)', '(load-airplane p1 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p0 a0 l1-0)', '(unload-airplane p1 a0 l1-0)']","{0: 'correct', 1: 'diff_act', 2: 'diff_act', 3: 'diff_act', 4: 'diff_act', 5: 'redundant'}","{0: 'correct', 1: 'diff_act', 2: 'diff_act', 3: 'diff_act', 4: 'diff_act', 5: 'same_act'}",0.6666666666666666,"['(load-airplane p1 a0 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p1 a0 l0-0)', '(unload-airplane p0 a0 l0-0)']",[],False,2.4137374686716795,2.8274749373433585,6,1,False,"['(fly-airplane a0 l1-0 l0-0)', '(load-airplane p0 a0 l0-0)', '(load-airplane p1 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p0 a0 l1-0)', '(unload-airplane p1 a0 l1-0)']",2.8274749373433585,6,1,False,['(fly-airplane a0 l1-0 l0-0)'],1.0,5,1,False,['(fly-airplane a0 l1-0 l0-0)'],1.0,5,1,False,"['(load-airplane p1 a0 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p1 a0 l0-0)', '(unload-airplane p0 a0 l0-0)']",True
claude_3-5_haiku,logistics,_pddl,5,"['(fly-airplane a1 l0-0 l1-0)', '(load-airplane p1 a1 l1-0)', '(fly-airplane a1 l1-0 l0-0)', '(unload-airplane p1 a1 l0-0)']","['(load-airplane p0 a0 l0-0)', '(load-airplane p1 a1 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(fly-airplane a1 l0-0 l0-0)', '(unload-airplane p0 a0 l1-0)', '(unload-airplane p1 a1 l0-0)']","{5: 'correct', 0: 'diff_act', 1: 'same_act', 2: 'same_act', 3: 'redundant', 4: 'redundant'}","{5: 'correct', 0: 'diff_act', 1: 'same_act', 2: 'same_act', 3: 'same_act', 4: 'same_act'}",0.75,"['(fly-airplane a1 l0-0 l1-0)', '(load-airplane p1 a1 l1-0)', '(fly-airplane a1 l1-0 l0-0)', '(unload-airplane p1 a1 l0-0)']",[],False,2.3530701754385963,2.3530701754385963,5,0,False,"['(load-airplane p0 a0 l0-0)', '(load-airplane p1 a1 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(fly-airplane a1 l0-0 l0-0)', '(unload-airplane p0 a0 l1-0)', '(unload-airplane p1 a1 l0-0)']",2.3530701754385963,5,0,False,['(unload-airplane p1 a1 l0-0)'],1.0,4,0,False,['(unload-airplane p1 a1 l0-0)'],1.0,4,0,False,"['(fly-airplane a1 l0-0 l1-0)', '(load-airplane p1 a1 l1-0)', '(fly-airplane a1 l1-0 l0-0)', '(unload-airplane p1 a1 l0-0)']",True
claude_3-5_haiku,logistics,_pddl,6,"['(load-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p0 t1 l1-1)']","['(fly-airplane a0 l1-0 l1-1)', '(unload-airplane p0 a0 l1-1)']","{0: 'diff_act', 1: 'diff_act'}","{0: 'diff_act', 1: 'diff_act'}",0.5,"['(load-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p0 t1 l1-1)']",[],False,2.414492753623189,2.414492753623189,3,0,False,"['(fly-airplane a0 l1-0 l1-1)', '(unload-airplane p0 a0 l1-1)']",2.414492753623189,3,0,False,[],0.0,3,0,False,[],0.0,3,0,False,"['(load-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p0 t1 l1-1)']",True
claude_3-5_haiku,logistics,_pddl,7,"['(drive-truck t0 l0-0 l0-1 c0)', '(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p0 t0 l0-0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p0 a0 l1-0)']","['(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p0 a0 l1-0)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)']","{0: 'correct', 1: 'correct', 2: 'correct', 3: 'correct', 4: 'correct', 5: 'same_act', 6: 'same_act'}","{0: 'correct', 1: 'correct', 2: 'correct', 3: 'correct', 4: 'correct', 5: 'same_act', 6: 'same_act'}",1.7142857142857142,"['(drive-truck t0 l0-0 l0-1 c0)', '(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p0 t0 l0-0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p0 a0 l1-0)']",[],False,3.392857142857143,3.392857142857143,7,0,False,"['(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p0 a0 l1-0)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)']",3.392857142857143,7,0,False,"['(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p0 a0 l1-0)']",1.0,7,0,False,"['(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p0 a0 l1-0)']",1.0,7,0,False,"['(drive-truck t0 l0-0 l0-1 c0)', '(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p0 t0 l0-0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p0 a0 l1-0)']",True
claude_3-5_haiku,logistics,_pddl,8,"['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']","['(drive-truck t1 l1-1 l1-0 c1)', '(load-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p0 t1 l1-1)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']","{0: 'correct', 4: 'correct', 5: 'correct', 6: 'correct', 1: 'diff_act', 2: 'diff_act', 3: 'redundant'}","{0: 'correct', 4: 'correct', 5: 'correct', 6: 'correct', 1: 'diff_act', 2: 'diff_act', 3: 'same_act'}",1.2857142857142858,"['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']",[],False,3.367444346159516,3.244412501842842,4,1,False,"['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)', '(load-airplane p0 a0 l1-1)', '(fly-airplane a0 l1-1 l0-0)', '(unload-airplane p0 a0 l0-0)', '(drive-truck t1 l1-0 l1-1 c1)']",3.4904761904761905,3,3,False,"['(drive-truck t1 l1-1 l1-0 c1)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']",1.0,6,1,False,"['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)', '(unload-airplane p0 a0 l0-0)']",1.0,3,3,False,"['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']",True
claude_3-5_haiku,logistics,_pddl,9,"['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)']","['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l1-0)']","{0: 'position', 1: 'position', 2: 'position', 3: 'redundant', 4: 'redundant'}","{0: 'position', 1: 'position', 2: 'position', 3: 'diff_act', 4: 'diff_act'}",2.4,[],"['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)']",True,3.1333333333333333,3.1333333333333333,2,5,False,"['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l1-0)']",3.1333333333333333,2,5,False,"['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)']",1.0,0,3,True,"['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)']",1.0,0,3,True,"['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)']",True
claude_3-5_haiku,logistics,_pddl,10,"['(load-truck p1 t0 l0-0)', '(load-truck p0 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p1 t0 l0-1)', '(unload-truck p0 t0 l0-1)']","['(load-truck p0 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p0 t0 l0-1)', '(load-truck p1 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p1 t0 l0-1)']","{0: 'correct', 1: 'correct', 2: 'correct', 3: 'correct', 5: 'correct', 4: 'redundant'}","{0: 'correct', 1: 'correct', 2: 'correct', 3: 'correct', 5: 'correct', 4: 'correct'}",1.6666666666666667,"['(load-truck p1 t0 l0-0)', '(load-truck p0 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p1 t0 l0-1)', '(unload-truck p0 t0 l0-1)']",[],False,2.691666666666667,2.5500000000000003,6,3,False,"['(load-truck l0-0 t0 p0)', '(drive-truck t0 p0 l0-1 c0)', '(unload-truck l0-0 t0 l0-1)', '(load-truck p1 t0 p0)', '(drive-truck t0 p0 l0-1 c0)', '(unload-truck p1 t0 l0-1)']",2.833333333333333,6,0,False,"['(load-truck p1 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p1 t0 l0-1)']",1.0,4,3,False,['(unload-truck p1 t0 l0-1)'],1.0,5,0,False,"['(load-truck p1 t0 l0-0)', '(load-truck p0 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p1 t0 l0-1)', '(unload-truck p0 t0 l0-1)']",True
claude_3-5_haiku,logistics,_pddl,11,"['(load-truck p0 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p0 t0 l0-1)', '(drive-truck t1 l1-0 l1-1 c1)', '(load-truck p1 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p1 t1 l1-0)']","['(load-truck p0 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p0 t0 l0-1)', '(load-airplane p1 a0 l1-1)', '(fly-airplane a0 l1-1 l1-0)', '(unload-airplane p1 a0 l1-0)']","{0: 'position', 1: 'position', 2: 'position', 3: 'diff_act', 4: 'diff_act', 5: 'diff_act'}","{0: 'position', 1: 'position', 2: 'position', 3: 'diff_act', 4: 'diff_act', 5: 'diff_act'}",2.25,"['(drive-truck t1 l1-0 l1-1 c1)', '(load-truck p1 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p1 t1 l1-0)']","['(load-truck p0 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p0 t0 l0-1)']",False,3.842960662525881,3.842960662525881,4,3,False,"['(load-truck p0 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p0 t0 l0-1)', '(load-airplane p1 a0 l1-1)', '(fly-airplane a0 l1-1 l1-0)', '(unload-airplane p1 a0 l1-0)']",3.842960662525881,4,3,False,"['(load-truck p0 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p0 t0 l0-1)']",1.0,4,3,False,"['(load-truck p0 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p0 t0 l0-1)']",1.0,4,3,False,"['(load-truck p0 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p0 t0 l0-1)', '(drive-truck t1 l1-0 l1-1 c1)', '(load-truck p1 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p1 t1 l1-0)']",True
