model,domain,task,instance_id,gt_plan,curr_plan,plan_trace,nr_plan_trace,trace_score,complementary_plan,correct_part,executability,final_score,curr_score,curr_steps,curr_last_act,curr_validity,cdt_plan,cdt_score,cdt_steps,cdt_last_act,cdt_validity,subseq_plan,subseq_score,subseq_steps,subseq_last_act,subseq_validity,cdt_subseq_plan,cdt_subseq_score,cdt_subseq_steps,cdt_subseq_last_act,cdt_subseq_validity,improved_plan,improved_validity
gemini_2-5_flash,logistics,_one_shot,2,"['(load-airplane p0 a1 l1-0)', '(fly-airplane a1 l1-0 l0-0)', '(unload-airplane p0 a1 l0-0)']","['(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']","{0: 'same_act', 1: 'same_act', 2: 'same_act'}","{0: 'same_act', 1: 'same_act', 2: 'same_act'}",1.0,[],"['(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']",True,4.0,4.0,0,3,True,"['(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']",4.0,0,3,True,"['(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']",1.0,0,3,True,"['(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']",1.0,0,3,True,"['(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']",True
gemini_2-5_flash,logistics,_one_shot,4,"['(load-airplane p1 a0 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p1 a0 l0-0)', '(unload-airplane p0 a0 l0-0)']","['(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)', '(unload-airplane p1 a0 l0-0)']","{0: 'correct', 1: 'correct', 2: 'correct'}","{0: 'correct', 1: 'correct', 2: 'correct'}",2.0,"['(load-airplane p1 a0 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p1 a0 l0-0)', '(unload-airplane p0 a0 l0-0)']",[],False,3.0500000000000003,2.3000000000000003,5,1,False,"['(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p1 a0 l0-0)', '(unload-airplane p0 a0 l0-0)']",3.8,5,1,False,"['(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p1 a0 l0-0)']",1.0,5,2,False,"['(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p1 a0 l0-0)', '(unload-airplane p0 a0 l0-0)']",1.0,5,1,False,"['(load-airplane p1 a0 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p1 a0 l0-0)', '(unload-airplane p0 a0 l0-0)']",True
gemini_2-5_flash,logistics,_one_shot,5,"['(fly-airplane a1 l0-0 l1-0)', '(load-airplane p1 a1 l1-0)', '(fly-airplane a1 l1-0 l0-0)', '(unload-airplane p1 a1 l0-0)']","['(fly-airplane a0 l0-0 l1-0)', '(load-truck p0 t1 l1-0)', '(unload-truck p0 t1 l1-0)', '(load-airplane p1 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p1 a0 l0-0)']","{0: 'same_act', 1: 'diff_act', 2: 'diff_act', 3: 'diff_act', 4: 'redundant', 5: 'redundant'}","{0: 'same_act', 1: 'diff_act', 2: 'diff_act', 3: 'diff_act', 4: 'same_act', 5: 'same_act'}",0.4166666666666667,[],"['(fly-airplane a0 l0-0 l1-0)', '(load-truck p0 t1 l1-0)', '(unload-truck p0 t1 l1-0)', '(load-airplane p1 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p1 a0 l0-0)']",True,2.75,2.833333333333333,6,6,True,"['(fly-airplane a0 l0-0 l1-0)', '(load-truck p0 t1 l1-0)', '(unload-truck p0 t1 l1-0)', '(load-airplane p1 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p1 a0 l0-0)']",2.833333333333333,6,6,True,"['(fly-airplane a0 l0-0 l1-0)', '(load-truck p0 t1 l1-0)', '(unload-truck p0 t1 l1-0)', '(load-airplane p1 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p1 a0 l0-0)']",1.0,6,6,True,[],0.0,4,0,False,"['(fly-airplane a0 l0-0 l1-0)', '(load-truck p0 t1 l1-0)', '(unload-truck p0 t1 l1-0)', '(load-airplane p1 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p1 a0 l0-0)']",True
gemini_2-5_flash,logistics,_one_shot,6,"['(load-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p0 t1 l1-1)']","['(load-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p0 t1 l1-1)']","{0: 'position', 1: 'position', 2: 'position'}","{0: 'position', 1: 'position', 2: 'position'}",4.0,[],"['(load-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p0 t1 l1-1)']",True,4.0,4.0,0,3,True,"['(load-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p0 t1 l1-1)']",4.0,0,3,True,"['(load-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p0 t1 l1-1)']",1.0,0,3,True,"['(load-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p0 t1 l1-1)']",1.0,0,3,True,"['(load-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p0 t1 l1-1)']",True
gemini_2-5_flash,logistics,_one_shot,7,"['(drive-truck t0 l0-0 l0-1 c0)', '(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p0 t0 l0-0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p0 a0 l1-0)']","['(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p0 t0 l0-0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 c0 c1)', '(unload-airplane p0 a0 l1-0)']","{0: 'correct', 1: 'correct', 2: 'correct', 3: 'correct', 5: 'correct', 4: 'same_act'}","{0: 'correct', 1: 'correct', 2: 'correct', 3: 'correct', 5: 'correct', 4: 'same_act'}",1.8333333333333333,"['(drive-truck t0 l0-0 l0-1 c0)', '(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p0 t0 l0-0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p0 a0 l1-0)']",[],False,3.827380952380953,3.827380952380953,7,0,False,"['(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p0 t0 l0-0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 c0 c1)', '(unload-airplane p0 a0 l1-0)']",3.827380952380953,7,0,False,"['(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p0 t0 l0-0)', '(load-airplane p0 a0 l0-0)', '(unload-airplane p0 a0 l1-0)']",1.0,7,0,False,"['(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p0 t0 l0-0)', '(load-airplane p0 a0 l0-0)', '(unload-airplane p0 a0 l1-0)']",1.0,7,0,False,"['(drive-truck t0 l0-0 l0-1 c0)', '(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p0 t0 l0-0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p0 a0 l1-0)']",True
gemini_2-5_flash,logistics,_one_shot,8,"['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']","['(drive-truck t1 l1-1 l1-0 c1)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']","{0: 'correct', 1: 'correct', 2: 'correct', 3: 'correct'}","{0: 'correct', 1: 'correct', 2: 'correct', 3: 'correct'}",2.0,"['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']",[],False,3.7041666666666666,3.6666666666666665,6,1,False,"['(drive-truck l1-1 t1 l1-0 c1)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']",3.741666666666666,6,0,False,"['(drive-truck t1 l1-1 l1-0 c1)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']",1.0,6,1,False,"['(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']",1.0,6,0,False,"['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']",True
gemini_2-5_flash,logistics,_one_shot,9,"['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)']","['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)']","{0: 'position', 1: 'position', 2: 'position'}","{0: 'position', 1: 'position', 2: 'position'}",4.0,[],"['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)']",True,4.0,4.0,0,3,True,"['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)']",4.0,0,3,True,"['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)']",1.0,0,3,True,"['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)']",1.0,0,3,True,"['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)']",False
gemini_2-5_flash,logistics,_one_shot,10,"['(load-truck p1 t0 l0-0)', '(load-truck p0 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p1 t0 l0-1)', '(unload-truck p0 t0 l0-1)']","['(load-truck p0 t0 l0-0)', '(load-truck p1 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p0 t0 l0-1)', '(unload-truck p1 t0 l0-1)']","{2: 'position', 0: 'correct', 1: 'correct', 3: 'correct', 4: 'correct'}","{2: 'position', 0: 'correct', 1: 'correct', 3: 'correct', 4: 'correct'}",2.4,[],"['(load-truck p0 t0 l0-0)', '(load-truck p1 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p0 t0 l0-1)', '(unload-truck p1 t0 l0-1)']",True,4.0,4.0,0,5,True,"['(load-truck p0 t0 l0-0)', '(load-truck p1 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p0 t0 l0-1)', '(unload-truck p1 t0 l0-1)']",4.0,0,5,True,"['(load-truck p1 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p1 t0 l0-1)']",1.0,4,3,False,"['(load-truck p0 t0 l0-0)', '(load-truck p1 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p0 t0 l0-1)', '(unload-truck p1 t0 l0-1)']",1.0,0,5,True,"['(load-truck p0 t0 l0-0)', '(load-truck p1 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p0 t0 l0-1)', '(unload-truck p1 t0 l0-1)']",True
gemini_2-5_flash,logistics,_one_shot,12,"['(load-airplane p0 a0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(load-truck p2 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p2 t0 l0-0)', '(load-airplane p2 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p2 a0 l1-0)', '(unload-airplane p0 a0 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(load-truck p1 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p1 t1 l1-0)']","['(load-truck p0 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p0 t0 l0-1)', '(load-truck p2 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p2 t0 l0-0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 c0 c1)', '(unload-airplane p0 a0 l1-0)', '(load-truck p1 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p1 t1 l1-0)', '(load-airplane p2 a0 l1-0)', '(fly-airplane a0 c1 c0)', '(unload-airplane p2 a0 l0-0)', '(load-airplane p2 a0 l0-0)', '(fly-airplane a0 c0 c1)', '(unload-airplane p2 a0 l1-0)']","{1: 'position', 8: 'position', 3: 'correct', 4: 'correct', 5: 'correct', 6: 'correct', 9: 'correct', 10: 'correct', 11: 'correct', 15: 'correct', 17: 'correct', 0: 'diff_act', 2: 'diff_act', 7: 'redundant', 12: 'redundant', 13: 'redundant', 14: 'redundant', 16: 'redundant'}","{1: 'position', 8: 'position', 3: 'correct', 4: 'correct', 5: 'correct', 6: 'correct', 9: 'correct', 10: 'correct', 11: 'correct', 15: 'correct', 17: 'correct', 0: 'diff_act', 2: 'diff_act', 7: 'same_act', 12: 'same_act', 13: 'same_act', 14: 'same_act', 16: 'same_act'}",1.5,"['(load-airplane p0 a0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(load-truck p2 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p2 t0 l0-0)', '(load-airplane p2 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p2 a0 l1-0)', '(unload-airplane p0 a0 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(load-truck p1 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p1 t1 l1-0)']",[],True,2.3664306400862465,2.164435382398769,17,18,False,"['(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p2 t0 l0-1)', '(load-truck p2 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p2 t0 l0-0)', '(load-airplane p2 a0 l0-0)', '(fly-airplane a0 c0 c1)', '(unload-airplane p2 a0 l1-0)', '(load-truck p1 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p1 t1 l1-0)', '(load-airplane p2 a0 l1-0)', '(fly-airplane a0 c1 c0)', '(unload-airplane p2 a0 l0-0)', '(load-airplane p2 a0 l0-0)', '(fly-airplane a0 c0 c1)', '(unload-airplane p2 a0 l1-0)', '(load-truck p2 t0 l0-0)']",2.568425897773724,13,1,False,"['(drive-truck t0 l0-0 l0-1 c0)', '(load-truck p2 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p2 t0 l0-0)', '(unload-airplane p0 a0 l1-0)', '(load-truck p1 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p1 t1 l1-0)']",1.0,13,4,False,"['(drive-truck t0 l0-0 l0-1 c0)', '(load-truck p2 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p2 t0 l0-0)', '(load-airplane p2 a0 l0-0)', '(unload-airplane p2 a0 l1-0)', '(load-truck p1 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p1 t1 l1-0)']",1.0,13,5,False,"['(load-airplane p0 a0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(load-truck p2 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p2 t0 l0-0)', '(load-airplane p2 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p2 a0 l1-0)', '(unload-airplane p0 a0 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(load-truck p1 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p1 t1 l1-0)']",False
gemini_2-5_flash,logistics,_one_shot,13,"['(load-airplane p2 a0 l0-0)', '(load-airplane p1 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p2 a0 l1-0)', '(unload-airplane p1 a0 l1-0)', '(load-truck p1 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p1 t1 l1-1)', '(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)', '(drive-truck t0 l0-1 l0-0 c0)', '(load-truck p0 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p0 t0 l0-1)']","['(drive-truck t0 l0-1 l0-0 c0)', '(load-truck p1 t0 l0-0)', '(load-truck p2 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p1 t0 l0-1)', '(unload-truck p2 t0 l0-1)', '(fly-airplane a0 l0-0 l1-0)', '(load-airplane p0 a0 l1-0)', '(unload-airplane p0 a0 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(load-airplane p1 a0 l1-0)', '(unload-airplane p1 a0 l1-1)']","{0: 'correct', 3: 'correct', 6: 'correct', 7: 'correct', 9: 'correct', 1: 'same_act', 2: 'diff_act', 4: 'same_act', 5: 'diff_act', 8: 'same_act', 10: 'same_act', 11: 'diff_act'}","{0: 'correct', 3: 'correct', 6: 'correct', 7: 'correct', 9: 'correct', 1: 'same_act', 2: 'diff_act', 4: 'same_act', 5: 'diff_act', 8: 'same_act', 10: 'same_act', 11: 'diff_act'}",1.2916666666666667,"['(load-airplane p2 a0 l0-0)', '(load-airplane p1 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p2 a0 l1-0)', '(unload-airplane p1 a0 l1-0)', '(load-truck p1 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p1 t1 l1-1)', '(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)', '(drive-truck t0 l0-1 l0-0 c0)', '(load-truck p0 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p0 t0 l0-1)']",[],False,2.531954508856683,2.316123188405797,18,7,False,"['(unload-truck p0 t0 l0-1)', '(unload-truck p2 t0 l0-1)', '(fly-airplane a0 l0-0 l1-0)', '(load-airplane p0 a0 l1-0)', '(unload-airplane p0 a0 l1-0)', '(drive-truck t1 l1-0 l0-0 c1)', '(load-airplane p0 a0 l1-0)', '(unload-airplane p0 a0 l0-0)', '(drive-truck t0 l0-1 l0-0 c0)', '(load-truck p0 t0 l0-0)', '(load-truck p2 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)']",2.7477858293075688,18,0,False,"['(fly-airplane a0 l0-0 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)']",1.0,18,2,False,"['(fly-airplane a0 l0-0 l1-0)', '(load-airplane p0 a0 l1-0)', '(unload-airplane p0 a0 l0-0)', '(drive-truck t0 l0-1 l0-0 c0)', '(load-truck p0 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)']",1.0,18,1,False,"['(load-airplane p2 a0 l0-0)', '(load-airplane p1 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p2 a0 l1-0)', '(unload-airplane p1 a0 l1-0)', '(load-truck p1 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p1 t1 l1-1)', '(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)', '(drive-truck t0 l0-1 l0-0 c0)', '(load-truck p0 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p0 t0 l0-1)']",False
