model,domain,task,instance_id,gt_plan,curr_plan,plan_trace,nr_plan_trace,trace_score,complementary_plan,correct_part,executability,final_score,curr_score,curr_steps,curr_last_act,curr_validity,cdt_plan,cdt_score,cdt_steps,cdt_last_act,cdt_validity,subseq_plan,subseq_score,subseq_steps,subseq_last_act,subseq_validity,cdt_subseq_plan,cdt_subseq_score,cdt_subseq_steps,cdt_subseq_last_act,cdt_subseq_validity,improved_plan,improved_validity,improved_cdt_plan,improved_cdt_validity,improved_subseq_plan,improved_subseq_validity,improved_subseq_cdt_plan,improved_subseq_cdt_validity
gpt-3.5-turbo_chat,blocksworld_3,_zero_shot,1,"['(unstack c b)', '(put-down c)', '(unstack b a)', '(put-down b)', '(pick-up a)', '(stack a b)', '(pick-up c)', '(stack c a)']","['(unstack c b)', '(pick-up a)', '(stack a b)', '(put-down a)', '(pick-up c)', '(stack c a)']","{0: 'position', 1: 'correct', 2: 'correct', 4: 'correct', 5: 'correct', 3: 'same_act'}","{0: 'position', 1: 'correct', 2: 'correct', 4: 'correct', 5: 'correct', 3: 'same_act'}",2.1666666666666665,"['(put-down c)', '(unstack b a)', '(put-down b)', '(pick-up a)', '(stack a b)', '(pick-up c)', '(stack c a)']",['(unstack c b)'],False,3.2666666666666666,3.083333333333333,7,1,False,"['(unstack a c)', '(pick-up b)', '(stack b c)', '(put-down b)', '(pick-up a)', '(stack a b)']",3.45,5,0,False,"['(unstack c b)', '(pick-up a)', '(stack a b)', '(pick-up c)', '(stack c a)']",1.0,7,1,False,"['(put-down b)', '(pick-up a)', '(stack a b)']",1.0,8,0,False,"['(unstack c b)', '(put-down c)', '(unstack b a)', '(put-down b)', '(pick-up a)', '(stack a b)', '(pick-up c)', '(stack c a)']",True,"['(unstack a c)', '(pick-up b)', '(stack b c)', '(put-down b)', '(pick-up a)', '(stack a b)']",False,"['(unstack c b)', '(pick-up a)', '(stack a b)', '(pick-up c)', '(stack c a)']",False,"['(put-down b)', '(pick-up a)', '(stack a b)']",False
gpt-3.5-turbo_chat,blocksworld_3,_zero_shot,2,"['(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']","['(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']","{0: 'position', 1: 'position', 2: 'position', 3: 'position'}","{0: 'position', 1: 'position', 2: 'position', 3: 'position'}",4.0,[],"['(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']",True,10.0,4.0,0,4,True,"['(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']",4.0,0,4,True,"['(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']",1.0,0,4,True,"['(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']",1.0,0,4,True,"['(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']",True,"['(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']",True,"['(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']",True,"['(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']",True
gpt-3.5-turbo_chat,blocksworld_3,_zero_shot,3,"['(unstack b c)', '(put-down b)', '(unstack c a)', '(put-down c)', '(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']","['(unstack c a)', '(pick-up c)', '(stack c b)', '(pick-up b)', '(stack b a)']","{0: 'correct', 1: 'correct', 2: 'correct', 3: 'correct', 4: 'correct'}","{0: 'correct', 1: 'correct', 2: 'correct', 3: 'correct', 4: 'correct'}",2.0,"['(unstack b c)', '(put-down b)', '(unstack c a)', '(put-down c)', '(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']",[],False,2.6100000000000003,2.45,8,0,False,"['(unstack b c)', '(pick-up b)', '(stack b a)', '(pick-up a)', '(stack a c)']",2.77,7,1,False,"['(unstack c a)', '(pick-up b)', '(stack b a)']",1.0,8,0,False,"['(unstack b c)', '(pick-up b)', '(stack b a)']",1.0,7,1,False,"['(unstack b c)', '(put-down b)', '(unstack c a)', '(put-down c)', '(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']",True,"['(unstack b c)', '(pick-up b)', '(stack b a)', '(pick-up a)', '(stack a c)']",False,"['(unstack c a)', '(pick-up b)', '(stack b a)']",False,"['(unstack b c)', '(pick-up b)', '(stack b a)']",False
gpt-3.5-turbo_chat,blocksworld_3,_zero_shot,4,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(stack b a)']","['(unstack a b)', '(pick-up a)', '(stack a b)']","{0: 'position', 1: 'diff_act', 2: 'diff_act'}","{0: 'position', 1: 'diff_act', 2: 'diff_act'}",1.6666666666666667,"['(put-down a)', '(unstack b c)', '(stack b a)']",['(unstack a b)'],False,2.766666666666667,2.766666666666667,3,1,False,"['(unstack a b)', '(pick-up a)', '(stack a b)']",2.766666666666667,3,1,False,['(unstack a b)'],1.0,3,1,False,['(unstack a b)'],1.0,3,1,False,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(stack b a)']",True,"['(unstack a b)', '(pick-up a)', '(stack a b)']",False,['(unstack a b)'],False,['(unstack a b)'],False
gpt-3.5-turbo_chat,blocksworld_3,_zero_shot,5,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c a)', '(pick-up b)', '(stack b c)']","['(unstack a b)', '(pick-up a)', '(stack a c)', '(put-down a)']","{0: 'position', 3: 'correct', 1: 'same_act', 2: 'same_act'}","{0: 'position', 3: 'correct', 1: 'same_act', 2: 'same_act'}",2.0,"['(put-down a)', '(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c a)', '(pick-up b)', '(stack b c)']",['(unstack a b)'],False,2.291666666666667,2.1875,7,1,False,"['(unstack c b)', '(pick-up c)', '(stack c a)', '(put-down c)']",2.395833333333333,8,0,False,"['(unstack a b)', '(put-down a)']",1.0,6,2,False,"['(pick-up c)', '(stack c a)']",1.0,8,0,False,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c a)', '(pick-up b)', '(stack b c)']",True,"['(unstack c b)', '(pick-up c)', '(stack c a)', '(put-down c)']",False,"['(unstack a b)', '(put-down a)']",False,"['(pick-up c)', '(stack c a)']",False
gpt-3.5-turbo_chat,blocksworld_3,_zero_shot,6,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(stack c a)', '(pick-up b)', '(stack b c)']","['(unstack a c)', '(pick-up a)', '(stack a c)']","{0: 'position', 1: 'same_act', 2: 'same_act'}","{0: 'position', 1: 'same_act', 2: 'same_act'}",2.0,"['(put-down a)', '(unstack c b)', '(stack c a)', '(pick-up b)', '(stack b c)']",['(unstack a c)'],False,2.4166666666666665,2.4166666666666665,5,1,False,"['(unstack a c)', '(pick-up a)', '(stack a c)']",2.4166666666666665,5,1,False,['(unstack a c)'],1.0,5,1,False,['(unstack a c)'],1.0,5,1,False,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(stack c a)', '(pick-up b)', '(stack b c)']",True,"['(unstack a c)', '(pick-up a)', '(stack a c)']",False,['(unstack a c)'],False,['(unstack a c)'],False
gpt-3.5-turbo_chat,blocksworld_3,_zero_shot,7,"['(unstack a c)', '(put-down a)', '(pick-up b)', '(stack b c)', '(pick-up a)', '(stack a b)']","['(pick-up a)', '(stack a b)', '(put-down a)', '(pick-up b)', '(stack b c)', '(put-down b)']","{0: 'correct', 1: 'correct', 2: 'correct', 3: 'correct', 4: 'correct', 5: 'redundant'}","{0: 'correct', 1: 'correct', 2: 'correct', 3: 'correct', 4: 'correct', 5: 'same_act'}",1.6666666666666667,"['(unstack a c)', '(put-down a)', '(pick-up b)', '(stack b c)', '(pick-up a)', '(stack a b)']",[],False,3.125,2.9166666666666665,7,0,False,"['(stack a b)', '(put-down a)', '(pick-up b)', '(stack b c)', '(put-down b)', '(pick-up a)']",3.333333333333333,3,0,False,"['(put-down a)', '(pick-up b)', '(stack b c)']",1.0,6,0,False,"['(put-down a)', '(pick-up b)', '(stack b c)', '(pick-up a)']",1.0,6,0,False,"['(unstack a c)', '(put-down a)', '(pick-up b)', '(stack b c)', '(pick-up a)', '(stack a b)']",True,"['(stack a b)', '(put-down a)', '(pick-up b)', '(stack b c)', '(put-down b)', '(pick-up a)']",False,"['(put-down a)', '(pick-up b)', '(stack b c)']",False,"['(put-down a)', '(pick-up b)', '(stack b c)', '(pick-up a)']",False
gpt-3.5-turbo_chat,blocksworld_3,_zero_shot,8,"['(pick-up a)', '(stack a c)']","['(pick-up a)', '(stack a c)']","{0: 'position', 1: 'position'}","{0: 'position', 1: 'position'}",4.0,[],"['(pick-up a)', '(stack a c)']",True,6.0,4.0,0,2,True,"['(pick-up a)', '(stack a c)']",4.0,0,2,True,"['(pick-up a)', '(stack a c)']",1.0,0,2,True,"['(pick-up a)', '(stack a c)']",1.0,0,2,True,"['(pick-up a)', '(stack a c)']",True,"['(pick-up a)', '(stack a c)']",True,"['(pick-up a)', '(stack a c)']",True,"['(pick-up a)', '(stack a c)']",True
gpt-3.5-turbo_chat,blocksworld_3,_zero_shot,9,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c a)']","['(pick-up a)', '(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c a)']","{1: 'correct', 2: 'correct', 3: 'correct', 4: 'correct', 0: 'redundant'}","{1: 'correct', 2: 'correct', 3: 'correct', 4: 'correct', 0: 'same_act'}",1.6,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c a)']",[],False,3.95,3.75,1,0,False,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c a)', '(pick-up a)']",4.15,1,4,False,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c a)']",1.0,0,4,True,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c a)']",1.0,0,4,True,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c a)']",True,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c a)', '(pick-up a)']",False,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c a)']",True,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c a)']",True
gpt-3.5-turbo_chat,blocksworld_3,_zero_shot,10,"['(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c b)', '(pick-up a)', '(stack a c)']","['(pick-up b)', '(unstack b c)', '(stack b a)', '(stack a c)']","{1: 'correct', 3: 'correct', 0: 'same_act', 2: 'same_act'}","{1: 'correct', 3: 'correct', 0: 'same_act', 2: 'same_act'}",1.5,"['(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c b)', '(pick-up a)', '(stack a c)']",[],False,2.6916666666666664,2.6916666666666664,6,0,False,"['(pick-up b)', '(unstack b c)', '(stack b a)', '(stack a c)']",2.6916666666666664,6,0,False,"['(unstack b c)', '(stack a c)']",1.0,5,1,False,"['(unstack b c)', '(stack a c)']",1.0,5,1,False,"['(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c b)', '(pick-up a)', '(stack a c)']",True,"['(pick-up b)', '(unstack b c)', '(stack b a)', '(stack a c)']",False,"['(unstack b c)', '(stack a c)']",False,"['(unstack b c)', '(stack a c)']",False
gpt-3.5-turbo_chat,blocksworld_3,_zero_shot,11,"['(unstack c a)', '(put-down c)', '(unstack a b)', '(put-down a)', '(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']","['(unstack c a)', '(pick-up c)', '(stack c b)']","{0: 'position', 1: 'correct', 2: 'correct'}","{0: 'position', 1: 'correct', 2: 'correct'}",2.6666666666666665,"['(put-down c)', '(unstack a b)', '(put-down a)', '(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']",['(unstack c a)'],False,1.9166666666666667,1.9166666666666667,7,1,False,"['(unstack c a)', '(pick-up c)', '(stack c b)']",1.9166666666666667,7,1,False,"['(unstack c a)', '(pick-up c)', '(stack c b)']",1.0,7,1,False,"['(unstack c a)', '(pick-up c)', '(stack c b)']",1.0,7,1,False,"['(unstack c a)', '(put-down c)', '(unstack a b)', '(put-down a)', '(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']",True,"['(unstack c a)', '(pick-up c)', '(stack c b)']",False,"['(unstack c a)', '(pick-up c)', '(stack c b)']",False,"['(unstack c a)', '(pick-up c)', '(stack c b)']",False
gpt-3.5-turbo_chat,blocksworld_3,_zero_shot,12,"['(unstack b a)', '(put-down b)', '(pick-up a)', '(stack a b)', '(pick-up c)', '(stack c a)']","['(pick-up c)', '(stack c a)', '(pick-up b)', '(stack b a)']","{0: 'correct', 1: 'correct', 2: 'same_act', 3: 'same_act'}","{0: 'correct', 1: 'correct', 2: 'same_act', 3: 'same_act'}",1.5,"['(unstack b a)', '(put-down b)', '(pick-up a)', '(stack a b)', '(pick-up c)', '(stack c a)']",[],False,3.3895833333333334,3.2166666666666663,6,1,False,"['(stack c b)', '(pick-up a)', '(stack a b)', '(pick-up c)']",3.5625,6,0,False,"['(pick-up c)', '(stack c a)']",1.0,6,1,False,"['(pick-up a)', '(stack a b)', '(pick-up c)']",1.0,6,0,False,"['(unstack b a)', '(put-down b)', '(pick-up a)', '(stack a b)', '(pick-up c)', '(stack c a)']",True,"['(stack c b)', '(pick-up a)', '(stack a b)', '(pick-up c)']",False,"['(pick-up c)', '(stack c a)']",False,"['(pick-up a)', '(stack a b)', '(pick-up c)']",False
gpt-3.5-turbo_chat,blocksworld_3,_zero_shot,13,"['(unstack b a)', '(put-down b)', '(pick-up c)', '(stack c a)', '(pick-up b)', '(stack b c)']","['(pick-up b)', '(stack b c)', '(put-down b)', '(pick-up c)', '(stack c a)', '(put-down c)']","{0: 'correct', 1: 'correct', 2: 'correct', 3: 'correct', 4: 'correct', 5: 'redundant'}","{0: 'correct', 1: 'correct', 2: 'correct', 3: 'correct', 4: 'correct', 5: 'same_act'}",1.6666666666666667,"['(unstack b a)', '(put-down b)', '(pick-up c)', '(stack c a)', '(pick-up b)', '(stack b c)']",[],False,3.125,2.9166666666666665,7,0,False,"['(stack b c)', '(put-down b)', '(pick-up c)', '(stack c a)', '(put-down c)', '(pick-up b)']",3.333333333333333,3,0,False,"['(put-down b)', '(pick-up c)', '(stack c a)']",1.0,6,0,False,"['(put-down b)', '(pick-up c)', '(stack c a)', '(pick-up b)']",1.0,6,0,False,"['(unstack b a)', '(put-down b)', '(pick-up c)', '(stack c a)', '(pick-up b)', '(stack b c)']",True,"['(stack b c)', '(put-down b)', '(pick-up c)', '(stack c a)', '(put-down c)', '(pick-up b)']",False,"['(put-down b)', '(pick-up c)', '(stack c a)']",False,"['(put-down b)', '(pick-up c)', '(stack c a)', '(pick-up b)']",False
gpt-3.5-turbo_chat,blocksworld_3,_zero_shot,14,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c b)', '(pick-up a)', '(stack a c)']","['(pick-up a)', '(stack a c)', '(pick-up c)', '(stack c b)']","{2: 'position', 3: 'position', 0: 'correct', 1: 'correct'}","{2: 'position', 3: 'position', 0: 'correct', 1: 'correct'}",3.0,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c b)', '(pick-up a)', '(stack a c)']",[],False,3.166666666666667,2.916666666666667,4,0,False,"['(stack c b)', '(pick-up a)', '(stack a c)', '(pick-up c)']",3.4166666666666665,6,0,False,"['(pick-up c)', '(stack c b)']",1.0,6,0,False,"['(stack c b)', '(pick-up a)', '(stack a c)']",1.0,6,0,False,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c b)', '(pick-up a)', '(stack a c)']",True,"['(stack c b)', '(pick-up a)', '(stack a c)', '(pick-up c)']",False,"['(pick-up c)', '(stack c b)']",False,"['(stack c b)', '(pick-up a)', '(stack a c)']",False
gpt-3.5-turbo_chat,blocksworld_3,_zero_shot,15,"['(unstack c b)', '(put-down c)', '(pick-up a)', '(stack a b)']","['(pick-up c)', '(unstack c b)', '(put-down c)', '(pick-up a)', '(stack a b)']","{1: 'correct', 2: 'correct', 3: 'correct', 4: 'correct', 0: 'redundant'}","{1: 'correct', 2: 'correct', 3: 'correct', 4: 'correct', 0: 'same_act'}",1.6,"['(unstack c b)', '(put-down c)', '(pick-up a)', '(stack a b)']",[],False,6.875,3.75,1,0,False,"['(unstack c b)', '(put-down c)', '(pick-up a)', '(stack a b)', '(pick-up c)']",0.95,1,5,True,"['(unstack c b)', '(put-down c)', '(pick-up a)', '(stack a b)']",1.0,0,4,True,"['(unstack c b)', '(put-down c)', '(pick-up a)', '(stack a b)']",1.0,0,4,True,"['(unstack c b)', '(put-down c)', '(pick-up a)', '(stack a b)']",True,"['(unstack c b)', '(put-down c)', '(pick-up a)', '(stack a b)', '(pick-up c)']",True,"['(unstack c b)', '(put-down c)', '(pick-up a)', '(stack a b)']",True,"['(unstack c b)', '(put-down c)', '(pick-up a)', '(stack a b)']",True
