model,domain,task,instance_id,gt_plan,curr_plan,plan_trace,nr_plan_trace,trace_score,complementary_plan,correct_part,executability,final_score,curr_score,curr_steps,curr_last_act,curr_validity,cdt_plan,cdt_score,cdt_steps,cdt_last_act,cdt_validity,subseq_plan,subseq_score,subseq_steps,subseq_last_act,subseq_validity,cdt_subseq_plan,cdt_subseq_score,cdt_subseq_steps,cdt_subseq_last_act,cdt_subseq_validity,improved_plan,improved_validity
gemini_2-5_pro,blocksworld_3,_zero_shot,1,"['(unstack c b)', '(put-down c)', '(unstack b a)', '(put-down b)', '(pick-up a)', '(stack a b)', '(pick-up c)', '(stack c a)']",[],{},{},0.0,"['(unstack c b)', '(put-down c)', '(unstack b a)', '(put-down b)', '(pick-up a)', '(stack a b)', '(pick-up c)', '(stack c a)']",[],True,0.0,0.0,8,0,False,[],0.0,8,0,False,[],0.0,8,0,False,[],0.0,8,0,False,"['(unstack c b)', '(put-down c)', '(unstack b a)', '(put-down b)', '(pick-up a)', '(stack a b)', '(pick-up c)', '(stack c a)']",True
gemini_2-5_pro,blocksworld_3,_zero_shot,1,"['(unstack c b)', '(put-down c)', '(unstack b a)', '(put-down b)', '(pick-up a)', '(stack a b)', '(pick-up c)', '(stack c a)']",[],{},{},0.0,"['(unstack c b)', '(put-down c)', '(unstack b a)', '(put-down b)', '(pick-up a)', '(stack a b)', '(pick-up c)', '(stack c a)']",[],True,0.0,0.0,8,0,False,[],0.0,8,0,False,[],0.0,8,0,False,[],0.0,8,0,False,"['(unstack c b)', '(put-down c)', '(unstack b a)', '(put-down b)', '(pick-up a)', '(stack a b)', '(pick-up c)', '(stack c a)']",True
gemini_2-5_pro,blocksworld_3,_zero_shot,2,"['(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']","['(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']","{0: 'position', 1: 'position', 2: 'position', 3: 'position'}","{0: 'position', 1: 'position', 2: 'position', 3: 'position'}",4.0,[],"['(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']",True,4.0,4.0,0,4,True,"['(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']",4.0,0,4,True,"['(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']",1.0,0,4,True,"['(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']",1.0,0,4,True,"['(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']",True
gemini_2-5_pro,blocksworld_3,_zero_shot,2,"['(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']","['(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']","{0: 'position', 1: 'position', 2: 'position', 3: 'position'}","{0: 'position', 1: 'position', 2: 'position', 3: 'position'}",4.0,[],"['(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']",True,4.0,4.0,0,4,True,"['(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']",4.0,0,4,True,"['(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']",1.0,0,4,True,"['(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']",1.0,0,4,True,"['(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']",True
gemini_2-5_pro,blocksworld_3,_zero_shot,3,"['(unstack b c)', '(put-down b)', '(unstack c a)', '(put-down c)', '(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']",[],{},{},0.0,"['(unstack b c)', '(put-down b)', '(unstack c a)', '(put-down c)', '(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']",[],True,0.0,0.0,8,0,False,[],0.0,8,0,False,[],0.0,8,0,False,[],0.0,8,0,False,"['(unstack b c)', '(put-down b)', '(unstack c a)', '(put-down c)', '(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']",True
gemini_2-5_pro,blocksworld_3,_zero_shot,3,"['(unstack b c)', '(put-down b)', '(unstack c a)', '(put-down c)', '(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']",[],{},{},0.0,"['(unstack b c)', '(put-down b)', '(unstack c a)', '(put-down c)', '(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']",[],True,0.0,0.0,8,0,False,[],0.0,8,0,False,[],0.0,8,0,False,[],0.0,8,0,False,"['(unstack b c)', '(put-down b)', '(unstack c a)', '(put-down c)', '(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']",True
gemini_2-5_pro,blocksworld_3,_zero_shot,4,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(stack b a)']",[],{},{},0.0,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(stack b a)']",[],True,0.0,0.0,4,0,False,[],0.0,4,0,False,[],0.0,4,0,False,[],0.0,4,0,False,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(stack b a)']",False
gemini_2-5_pro,blocksworld_3,_zero_shot,4,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(stack b a)']",[],{},{},0.0,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(stack b a)']",[],True,0.0,0.0,4,0,False,[],0.0,4,0,False,[],0.0,4,0,False,[],0.0,4,0,False,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(stack b a)']",True
gemini_2-5_pro,blocksworld_3,_zero_shot,5,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c a)', '(pick-up b)', '(stack b c)']","['(unstack a b)', '(put-down a)', '(unstack b c)', '(pick-up b)', '(stack b c)', '(pick-up a)', '(stack a c)']","{0: 'position', 1: 'position', 2: 'position', 3: 'correct', 4: 'correct', 5: 'diff_act', 6: 'diff_act'}","{0: 'position', 1: 'position', 2: 'position', 3: 'correct', 4: 'correct', 5: 'diff_act', 6: 'diff_act'}",2.4285714285714284,[],[],False,3.556629318394024,3.556629318394024,5,3,False,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(pick-up b)', '(stack b c)', '(pick-up a)', '(stack a c)']",3.556629318394024,5,3,False,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(pick-up b)', '(stack b c)']",1.0,5,3,False,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(pick-up b)', '(stack b c)']",1.0,5,3,False,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c a)', '(pick-up b)', '(stack b c)']",True
gemini_2-5_pro,blocksworld_3,_zero_shot,5,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c a)', '(pick-up b)', '(stack b c)']","['(unstack a b)', '(put-down a)', '(unstack b c)', '(pick-up b)', '(stack b c)', '(pick-up a)', '(stack a c)']","{0: 'position', 1: 'position', 2: 'position', 3: 'correct', 4: 'correct', 5: 'diff_act', 6: 'diff_act'}","{0: 'position', 1: 'position', 2: 'position', 3: 'correct', 4: 'correct', 5: 'diff_act', 6: 'diff_act'}",2.4285714285714284,"['(put-down b)', '(pick-up c)', '(stack c a)', '(pick-up b)', '(stack b c)']","['(unstack a b)', '(put-down a)', '(unstack b c)']",False,3.556629318394024,3.556629318394024,5,3,False,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(pick-up b)', '(stack b c)', '(pick-up a)', '(stack a c)']",3.556629318394024,5,3,False,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(pick-up b)', '(stack b c)']",1.0,5,3,False,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(pick-up b)', '(stack b c)']",1.0,5,3,False,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c a)', '(pick-up b)', '(stack b c)']",True
gemini_2-5_pro,blocksworld_3,_zero_shot,6,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(stack c a)', '(pick-up b)', '(stack b c)']",[],{},{},0.0,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(stack c a)', '(pick-up b)', '(stack b c)']",[],True,0.0,0.0,6,0,False,[],0.0,6,0,False,[],0.0,6,0,False,[],0.0,6,0,False,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(stack c a)', '(pick-up b)', '(stack b c)']",True
gemini_2-5_pro,blocksworld_3,_zero_shot,6,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(stack c a)', '(pick-up b)', '(stack b c)']",[],{},{},0.0,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(stack c a)', '(pick-up b)', '(stack b c)']",[],True,0.0,0.0,6,0,False,[],0.0,6,0,False,[],0.0,6,0,False,[],0.0,6,0,False,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(stack c a)', '(pick-up b)', '(stack b c)']",True
gemini_2-5_pro,blocksworld_3,_zero_shot,7,"['(unstack a c)', '(put-down a)', '(pick-up b)', '(stack b c)', '(pick-up a)', '(stack a b)']",[],{},{},0.0,"['(unstack a c)', '(put-down a)', '(pick-up b)', '(stack b c)', '(pick-up a)', '(stack a b)']",[],True,0.0,0.0,6,0,False,[],0.0,6,0,False,[],0.0,6,0,False,[],0.0,6,0,False,"['(unstack a c)', '(put-down a)', '(pick-up b)', '(stack b c)', '(pick-up a)', '(stack a b)']",True
gemini_2-5_pro,blocksworld_3,_zero_shot,7,"['(unstack a c)', '(put-down a)', '(pick-up b)', '(stack b c)', '(pick-up a)', '(stack a b)']",[],{},{},0.0,"['(unstack a c)', '(put-down a)', '(pick-up b)', '(stack b c)', '(pick-up a)', '(stack a b)']",[],True,0.0,0.0,6,0,False,[],0.0,6,0,False,[],0.0,6,0,False,[],0.0,6,0,False,"['(unstack a c)', '(put-down a)', '(pick-up b)', '(stack b c)', '(pick-up a)', '(stack a b)']",True
gemini_2-5_pro,blocksworld_3,_zero_shot,8,"['(pick-up a)', '(stack a c)']",[],{},{},0.0,"['(pick-up a)', '(stack a c)']",[],True,0.0,0.0,2,0,False,[],0.0,2,0,False,[],0.0,2,0,False,[],0.0,2,0,False,"['(pick-up a)', '(stack a c)']",True
gemini_2-5_pro,blocksworld_3,_zero_shot,8,"['(pick-up a)', '(stack a c)']",[],{},{},0.0,"['(pick-up a)', '(stack a c)']",[],True,0.0,0.0,2,0,False,[],0.0,2,0,False,[],0.0,2,0,False,[],0.0,2,0,False,"['(pick-up a)', '(stack a c)']",True
gemini_2-5_pro,blocksworld_3,_zero_shot,9,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c a)']",[],{},{},0.0,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c a)']",[],True,0.0,0.0,4,0,False,[],0.0,4,0,False,[],0.0,4,0,False,[],0.0,4,0,False,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c a)']",True
gemini_2-5_pro,blocksworld_3,_zero_shot,9,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c a)']",[],{},{},0.0,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c a)']",[],True,0.0,0.0,4,0,False,[],0.0,4,0,False,[],0.0,4,0,False,[],0.0,4,0,False,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c a)']",True
gemini_2-5_pro,blocksworld_3,_zero_shot,10,"['(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c b)', '(pick-up a)', '(stack a c)']",[],{},{},0.0,"['(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c b)', '(pick-up a)', '(stack a c)']",[],True,0.0,0.0,6,0,False,[],0.0,6,0,False,[],0.0,6,0,False,[],0.0,6,0,False,"['(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c b)', '(pick-up a)', '(stack a c)']",True
gemini_2-5_pro,blocksworld_3,_zero_shot,10,"['(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c b)', '(pick-up a)', '(stack a c)']",[],{},{},0.0,"['(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c b)', '(pick-up a)', '(stack a c)']",[],True,0.0,0.0,6,0,False,[],0.0,6,0,False,[],0.0,6,0,False,[],0.0,6,0,False,"['(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c b)', '(pick-up a)', '(stack a c)']",True
