model,domain,task,instance_id,gt_plan,curr_plan,plan_trace,nr_plan_trace,trace_score,complementary_plan,correct_part,executability,final_score,curr_score,curr_steps,curr_last_act,curr_validity,cdt_plan,cdt_score,cdt_steps,cdt_last_act,cdt_validity,subseq_plan,subseq_score,subseq_steps,subseq_last_act,subseq_validity,cdt_subseq_plan,cdt_subseq_score,cdt_subseq_steps,cdt_subseq_last_act,cdt_subseq_validity,improved_plan,improved_validity
claude_3-5_haiku,logistics,_one_shot,2,"['(load-airplane p0 a1 l1-0)', '(fly-airplane a1 l1-0 l0-0)', '(unload-airplane p0 a1 l0-0)']","['(fly-airplane a0 l1-0 l0-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']","{0: 'same_act', 1: 'same_act', 2: 'diff_act', 3: 'redundant'}","{0: 'same_act', 1: 'same_act', 2: 'diff_act', 3: 'same_act'}",0.625,"['(load-airplane p0 a1 l1-0)', '(fly-airplane a1 l1-0 l0-0)', '(unload-airplane p0 a1 l0-0)']",[],False,2.260416666666667,2.104166666666667,4,1,False,"['(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)', '(fly-airplane a0 l1-0 l0-0)']",2.416666666666667,1,1,False,"['(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']",1.0,0,3,True,[],0.0,3,0,False,"['(load-airplane p0 a1 l1-0)', '(fly-airplane a1 l1-0 l0-0)', '(unload-airplane p0 a1 l0-0)']",True
claude_3-5_haiku,logistics,_one_shot,3,"['(fly-airplane a0 l1-0 l0-0)', '(load-airplane p1 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p1 a0 l1-0)']","['(load-airplane p0 a0 l1-0)', '(load-truck p1 t0 l0-0)', '(drive-truck t0 l0-0 l1-0 c0)', '(unload-truck p1 t0 l1-0)']","{0: 'same_act', 1: 'diff_act', 2: 'diff_act', 3: 'diff_act'}","{0: 'same_act', 1: 'diff_act', 2: 'diff_act', 3: 'diff_act'}",0.625,"['(fly-airplane a0 l1-0 l0-0)', '(load-airplane p1 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p1 a0 l1-0)']",[],False,2.1,2.1,4,2,False,"['(load-airplane p0 a0 l1-0)', '(load-truck p1 t0 l0-0)', '(drive-truck t0 l0-0 l1-0 c0)', '(unload-truck p1 t0 l1-0)']",2.1,4,2,False,[],0.0,4,0,False,[],0.0,4,0,False,"['(fly-airplane a0 l1-0 l0-0)', '(load-airplane p1 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p1 a0 l1-0)']",True
claude_3-5_haiku,logistics,_one_shot,5,"['(fly-airplane a1 l0-0 l1-0)', '(load-airplane p1 a1 l1-0)', '(fly-airplane a1 l1-0 l0-0)', '(unload-airplane p1 a1 l0-0)']","['(load-airplane p0 a0 l1-0)', '(load-airplane p1 a1 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(fly-airplane a1 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)', '(unload-airplane p1 a1 l0-0)']","{1: 'position', 3: 'correct', 5: 'correct', 0: 'diff_act', 2: 'redundant', 4: 'redundant'}","{1: 'position', 3: 'correct', 5: 'correct', 0: 'diff_act', 2: 'same_act', 4: 'same_act'}",1.4166666666666667,"['(fly-airplane a1 l0-0 l1-0)', '(load-airplane p1 a1 l1-0)', '(fly-airplane a1 l1-0 l0-0)', '(unload-airplane p1 a1 l0-0)']",[],False,2.2541666666666664,2.125,3,0,False,"['(load-airplane p0 a1 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(fly-airplane a1 l1-0 l0-0)', '(unload-airplane p1 a0 l0-0)', '(unload-airplane p0 a1 l0-0)', '(load-airplane p1 a0 l1-0)']",2.3833333333333333,5,0,False,"['(load-airplane p1 a1 l1-0)', '(fly-airplane a1 l1-0 l0-0)', '(unload-airplane p1 a1 l0-0)']",1.0,4,0,False,['(fly-airplane a1 l1-0 l0-0)'],1.0,4,0,False,"['(fly-airplane a1 l0-0 l1-0)', '(load-airplane p1 a1 l1-0)', '(fly-airplane a1 l1-0 l0-0)', '(unload-airplane p1 a1 l0-0)']",True
claude_3-5_haiku,logistics,_one_shot,6,"['(load-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p0 t1 l1-1)']","['(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l1-0)', '(unload-airplane p0 a0 l1-0)', '(load-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p0 t1 l1-1)']","{3: 'correct', 4: 'correct', 5: 'correct', 0: 'redundant', 1: 'redundant', 2: 'redundant'}","{3: 'correct', 4: 'correct', 5: 'correct', 0: 'diff_act', 1: 'diff_act', 2: 'diff_act'}",1.0,"['(load-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p0 t1 l1-1)']",[],False,2.0,2.0,3,0,False,"['(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l1-0)', '(unload-airplane p0 a0 l1-0)', '(load-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p0 t1 l1-1)']",2.0,3,0,False,"['(load-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p0 t1 l1-1)']",1.0,0,3,True,"['(load-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p0 t1 l1-1)']",1.0,0,3,True,"['(load-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p0 t1 l1-1)']",True
claude_3-5_haiku,logistics,_one_shot,4,"['(load-airplane p1 a0 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p1 a0 l0-0)', '(unload-airplane p0 a0 l0-0)']","['(fly-airplane a0 l1-0 l0-0)', '(load-airplane p0 a0 l0-0)', '(load-airplane p1 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p0 a0 l1-0)', '(unload-airplane p1 a0 l1-0)', '(drive-truck t1 l1-0 l0-0 c1)', '(load-truck p0 t1 l1-0)', '(load-truck p1 t1 l1-0)', '(drive-truck t1 l1-0 l0-0 c1)', '(unload-truck p0 t1 l0-0)', '(unload-truck p1 t1 l0-0)']","{0: 'correct', 1: 'same_act', 2: 'same_act', 3: 'diff_act', 4: 'same_act', 5: 'redundant', 6: 'redundant', 7: 'redundant', 8: 'redundant', 9: 'redundant', 10: 'redundant', 11: 'redundant'}","{0: 'correct', 1: 'same_act', 2: 'same_act', 3: 'diff_act', 4: 'same_act', 5: 'same_act', 6: 'diff_act', 7: 'diff_act', 8: 'diff_act', 9: 'diff_act', 10: 'diff_act', 11: 'diff_act'}",0.4583333333333333,"['(load-airplane p1 a0 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p1 a0 l0-0)', '(unload-airplane p0 a0 l0-0)']",[],False,1.4138888888888888,1.0333333333333332,12,0,False,"['(load-airplane p1 a0 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p1 a0 l0-0)', '(unload-airplane p0 a0 l0-0)', '(drive-truck t1 l0-0 l1-0 c1)', '(load-truck p1 t1 l0-0)', '(load-truck p0 t1 l0-0)', '(drive-truck t1 l0-0 l1-0 c1)', '(unload-truck p1 t1 l1-0)', '(unload-truck p0 t1 l1-0)', '(fly-airplane a0 l0-0 l1-0)']",1.7944444444444445,7,0,False,['(fly-airplane a0 l1-0 l0-0)'],1.0,5,1,False,"['(load-airplane p1 a0 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p1 a0 l0-0)', '(unload-airplane p0 a0 l0-0)']",1.0,0,5,True,"['(load-airplane p1 a0 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p1 a0 l0-0)', '(unload-airplane p0 a0 l0-0)']",True
claude_3-5_haiku,logistics,_one_shot,7,"['(drive-truck t0 l0-0 l0-1 c0)', '(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p0 t0 l0-0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p0 a0 l1-0)']","['(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p0 a0 l1-0)']","{0: 'correct', 1: 'correct', 2: 'correct', 3: 'correct', 4: 'correct'}","{0: 'correct', 1: 'correct', 2: 'correct', 3: 'correct', 4: 'correct'}",2.0,"['(drive-truck t0 l0-0 l0-1 c0)', '(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p0 t0 l0-0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p0 a0 l1-0)']",[],False,3.546428571428572,3.4714285714285715,7,0,False,"['(load-truck p0 l0-1 t0)', '(drive-truck l0-1 t0 l0-0 c0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p0 a0 l1-0)']",3.621428571428572,7,0,False,"['(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p0 a0 l1-0)']",1.0,7,0,False,"['(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p0 a0 l1-0)']",1.0,7,0,False,"['(drive-truck t0 l0-0 l0-1 c0)', '(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p0 t0 l0-0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p0 a0 l1-0)']",True
claude_3-5_haiku,logistics,_one_shot,8,"['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']","['(drive-truck t1 l1-1 l1-0 c1)', '(load-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p0 t1 l1-1)', '(load-airplane p0 a1 l1-1)', '(fly-airplane a1 l1-0 l0-0)', '(unload-airplane p0 a1 l0-0)']","{0: 'correct', 1: 'same_act', 2: 'diff_act', 3: 'diff_act', 4: 'diff_act', 5: 'same_act', 6: 'redundant'}","{0: 'correct', 1: 'same_act', 2: 'diff_act', 3: 'diff_act', 4: 'diff_act', 5: 'same_act', 6: 'same_act'}",0.7857142857142857,"['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']",[],False,2.9226190476190474,2.3904761904761904,7,1,False,"['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)', '(load-airplane p0 a1 l1-0)', '(fly-airplane a1 l1-1 l0-0)', '(unload-airplane p0 a1 l0-0)', '(drive-truck t1 l1-0 l1-1 c1)']",3.454761904761905,4,3,False,['(drive-truck t1 l1-1 l1-0 c1)'],1.0,6,1,False,"['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)']",1.0,3,3,False,"['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']",True
claude_3-5_haiku,logistics,_one_shot,9,"['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)']","['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)', '(load-truck p1 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p1 t0 l0-1)']","{0: 'position', 1: 'position', 2: 'position', 3: 'redundant', 4: 'redundant', 5: 'redundant'}","{0: 'position', 1: 'position', 2: 'position', 3: 'same_act', 4: 'same_act', 5: 'same_act'}",2.0,[],"['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)']",True,2.5,2.5,3,6,False,"['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)', '(load-truck p1 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p1 t0 l0-1)']",2.5,3,6,False,"['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)']",1.0,0,3,True,"['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)']",1.0,0,3,True,"['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)']",True
claude_3-5_haiku,logistics,_one_shot,10,"['(load-truck p1 t0 l0-0)', '(load-truck p0 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p1 t0 l0-1)', '(unload-truck p0 t0 l0-1)']","['(load-truck p0 t0 l0-0)', '(load-truck p1 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p0 t0 l0-1)', '(unload-truck p1 t0 l0-1)']","{2: 'position', 0: 'correct', 1: 'correct', 3: 'correct', 4: 'correct'}","{2: 'position', 0: 'correct', 1: 'correct', 3: 'correct', 4: 'correct'}",2.4,[],"['(load-truck p0 t0 l0-0)', '(load-truck p1 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p0 t0 l0-1)', '(unload-truck p1 t0 l0-1)']",True,4.0,4.0,0,5,True,"['(load-truck p0 t0 l0-0)', '(load-truck p1 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p0 t0 l0-1)', '(unload-truck p1 t0 l0-1)']",4.0,0,5,True,"['(load-truck p0 t0 l0-0)', '(load-truck p1 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p0 t0 l0-1)', '(unload-truck p1 t0 l0-1)']",1.0,0,5,True,"['(load-truck p0 t0 l0-0)', '(load-truck p1 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p0 t0 l0-1)', '(unload-truck p1 t0 l0-1)']",1.0,0,5,True,"['(load-truck p0 t0 l0-0)', '(load-truck p1 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p0 t0 l0-1)', '(unload-truck p1 t0 l0-1)']",True
claude_3-5_haiku,logistics,_one_shot,11,"['(load-truck p0 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p0 t0 l0-1)', '(drive-truck t1 l1-0 l1-1 c1)', '(load-truck p1 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p1 t1 l1-0)']","['(load-truck p0 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p0 t0 l0-1)', '(load-truck p1 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p1 t1 l1-0)']","{0: 'position', 1: 'position', 2: 'position', 3: 'correct', 4: 'correct', 5: 'correct'}","{0: 'position', 1: 'position', 2: 'position', 3: 'correct', 4: 'correct', 5: 'correct'}",3.0,"['(drive-truck t1 l1-0 l1-1 c1)', '(load-truck p1 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p1 t1 l1-0)']","['(load-truck p0 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p0 t0 l0-1)']",False,3.8162698412698415,3.702380952380953,4,3,False,"['(load-truck p0 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p0 t0 l0-1)', '(load-truck l1-1 t1 p1)', '(drive-truck t1 p1 l1-0 c1)', '(unload-truck l1-1 t1 l1-0)']",3.9301587301587295,4,3,False,"['(load-truck p0 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p0 t0 l0-1)', '(load-truck p1 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p1 t1 l1-0)']",1.0,4,3,False,"['(load-truck p0 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p0 t0 l0-1)']",1.0,4,3,False,"['(load-truck p0 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p0 t0 l0-1)', '(drive-truck t1 l1-0 l1-1 c1)', '(load-truck p1 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p1 t1 l1-0)']",True
