model,domain,task,instance_id,gt_plan,curr_plan,plan_trace,nr_plan_trace,trace_score,complementary_plan,correct_part,executability,final_score,curr_score,curr_steps,curr_last_act,curr_validity,cdt_plan,cdt_score,cdt_steps,cdt_last_act,cdt_validity,subseq_plan,subseq_score,subseq_steps,subseq_last_act,subseq_validity,cdt_subseq_plan,cdt_subseq_score,cdt_subseq_steps,cdt_subseq_last_act,cdt_subseq_validity,improved_plan,improved_validity
qcode,blocksworld_3,_zero_shot,1,"['(unstack c b)', '(put-down c)', '(unstack b a)', '(put-down b)', '(pick-up a)', '(stack a b)', '(pick-up c)', '(stack c a)']","['(pick-up a)', '(unstack b a)', '(pick-up b)', '(stack a b)', '(put-down a)', '(put-down b)', '(stack c a)', '(put-down c)']","{0: 'correct', 1: 'correct', 3: 'correct', 5: 'correct', 6: 'correct', 7: 'correct', 2: 'same_act', 4: 'redundant'}","{0: 'correct', 1: 'correct', 3: 'correct', 5: 'correct', 6: 'correct', 7: 'correct', 2: 'same_act', 4: 'same_act'}",1.625,"['(unstack c b)', '(put-down c)', '(unstack b a)', '(put-down b)', '(pick-up a)', '(stack a b)', '(pick-up c)', '(stack c a)']",[],False,2.7020833333333334,2.1875,9,0,False,"['(put-down a)', '(put-down c)', '(stack b a)', '(put-down b)', '(pick-up a)', '(unstack c a)', '(pick-up c)', '(stack a c)']",3.2166666666666663,4,0,False,"['(unstack b a)', '(put-down b)', '(stack c a)']",1.0,8,0,False,"['(put-down c)', '(put-down b)', '(pick-up a)', '(pick-up c)']",1.0,8,0,False,"['(unstack c b)', '(put-down c)', '(unstack b a)', '(put-down b)', '(pick-up a)', '(stack a b)', '(pick-up c)', '(stack c a)']",True
qcode,blocksworld_3,_zero_shot,2,"['(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']","['(pick-up c)', '(pick-up a)', '(pick-up b)', '(stack b a)', '(stack c a)', '(put-down c)', '(put-down a)', '(put-down b)', '(pick-up c)']","{2: 'position', 3: 'position', 1: 'correct', 0: 'diff_act', 4: 'redundant', 5: 'redundant', 6: 'redundant', 7: 'redundant', 8: 'redundant'}","{2: 'position', 3: 'position', 1: 'correct', 0: 'diff_act', 4: 'same_act', 5: 'diff_act', 6: 'diff_act', 7: 'redundant', 8: 'same_act'}",1.1666666666666667,"['(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']",[],False,1.488888888888889,1.488888888888889,7,1,False,"['(pick-up c)', '(pick-up a)', '(pick-up b)', '(stack b a)', '(stack c a)', '(put-down c)', '(put-down a)', '(put-down b)', '(pick-up c)']",1.488888888888889,7,1,False,"['(pick-up a)', '(pick-up b)', '(stack b a)']",1.0,3,1,False,"['(pick-up a)', '(pick-up b)', '(stack b a)']",1.0,3,1,False,"['(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']",True
qcode,blocksworld_3,_zero_shot,3,"['(unstack b c)', '(put-down b)', '(unstack c a)', '(put-down c)', '(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']",[],{},{},0.0,"['(unstack b c)', '(put-down b)', '(unstack c a)', '(put-down c)', '(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']",[],True,0.0,0.0,8,0,False,[],0.0,8,0,False,[],0.0,8,0,False,[],0.0,8,0,False,"['(unstack b c)', '(put-down b)', '(unstack c a)', '(put-down c)', '(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']",True
qcode,blocksworld_3,_zero_shot,4,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(stack b a)']","['(pick-up a)', '(unstack a b)', '(unstack a b)', '(put-down a)', '(stack a b)', '(stack a b)', '(put-down b)', '(stack b a)', '(stack b a)', '(put-down c)', '(pick-up a)', '(unstack a b)', '(put-down a)', '(stack a b)', '(put-down b)', '(stack b a)', '(put-down c)']","{1: 'correct', 3: 'correct', 7: 'correct', 2: 'same_act', 4: 'redundant', 5: 'redundant', 6: 'redundant', 8: 'redundant', 9: 'redundant', 10: 'redundant', 11: 'redundant', 12: 'redundant', 13: 'redundant', 14: 'redundant', 15: 'redundant', 16: 'redundant', 0: 'redundant'}","{1: 'correct', 3: 'correct', 7: 'correct', 2: 'same_act', 4: 'same_act', 5: 'same_act', 6: 'same_act', 8: 'correct', 9: 'same_act', 10: 'diff_act', 11: 'correct', 12: 'correct', 13: 'same_act', 14: 'same_act', 15: 'correct', 16: 'same_act', 0: 'diff_act'}",0.4117647058823529,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(stack b a)']",[],False,-1.0,-0.8911764705882352,16,0,False,"['(pick-up a)', '(unstack a b)', '(unstack a b)', '(put-down a)', '(stack a b)', '(stack a b)', '(put-down b)', '(stack b a)', '(stack b a)', '(put-down c)', '(pick-up a)', '(unstack a b)', '(put-down a)', '(stack a b)', '(put-down b)', '(stack b a)', '(put-down c)']",-0.8911764705882352,16,0,False,"['(unstack a b)', '(put-down a)', '(stack b a)']",1.0,2,2,False,"['(unstack a b)', '(put-down a)', '(stack b a)']",1.0,2,2,False,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(stack b a)']",True
qcode,blocksworld_3,_zero_shot,5,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c a)', '(pick-up b)', '(stack b c)']","['(pick-up a)', '(unstack a b)', '(unstack a b)', '(put-down a)', '(stack b a)', '(stack b a)', '(stack c a)', '(stack c a)', '(pick-up a)', '(unstack a b)', '(put-down a)', '(stack b a)', '(stack c a)']","{1: 'correct', 3: 'correct', 6: 'correct', 0: 'same_act', 2: 'same_act', 4: 'same_act', 5: 'diff_act', 8: 'same_act', 9: 'redundant', 10: 'redundant', 11: 'redundant', 12: 'redundant', 7: 'redundant'}","{1: 'correct', 3: 'correct', 6: 'correct', 0: 'same_act', 2: 'same_act', 4: 'same_act', 5: 'diff_act', 8: 'same_act', 9: 'correct', 10: 'correct', 11: 'same_act', 12: 'correct', 7: 'correct'}",0.8076923076923077,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c a)', '(pick-up b)', '(stack b c)']",[],False,1.9596153846153843,1.9519230769230769,14,0,False,"['(pick-up b)', '(unstack b c)', '(unstack b c)', '(put-down b)', '(stack c b)', '(stack c b)', '(stack a b)', '(stack a b)', '(pick-up b)', '(unstack b c)', '(put-down b)', '(stack c b)', '(stack a b)']",1.967307692307692,13,0,False,"['(unstack a b)', '(put-down a)', '(stack c a)']",1.0,6,2,False,"['(unstack b c)', '(put-down b)', '(pick-up b)']",1.0,8,0,False,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c a)', '(pick-up b)', '(stack b c)']",True
qcode,blocksworld_3,_zero_shot,6,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(stack c a)', '(pick-up b)', '(stack b c)']",[],{},{},0.0,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(stack c a)', '(pick-up b)', '(stack b c)']",[],True,0.0,0.0,6,0,False,[],0.0,6,0,False,[],0.0,6,0,False,[],0.0,6,0,False,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(stack c a)', '(pick-up b)', '(stack b c)']",True
qcode,blocksworld_3,_zero_shot,7,"['(unstack a c)', '(put-down a)', '(pick-up b)', '(stack b c)', '(pick-up a)', '(stack a b)']","['(pick-up c)', '(pick-up a)', '(unstack a c)', '(pick-up b)', '(stack b a)', '(stack c b)', '(pick-up c)', '(pick-up a)']","{1: 'correct', 2: 'correct', 3: 'correct', 0: 'diff_act', 4: 'same_act', 7: 'diff_act', 5: 'redundant', 6: 'redundant'}","{1: 'correct', 2: 'correct', 3: 'correct', 0: 'diff_act', 4: 'same_act', 7: 'diff_act', 5: 'same_act', 6: 'same_act'}",1.0,"['(unstack a c)', '(put-down a)', '(pick-up b)', '(stack b c)', '(pick-up a)', '(stack a b)']",[],False,2.2510416666666666,2.1791666666666667,9,0,False,"['(pick-up a)', '(unstack a c)', '(pick-up b)', '(stack b a)', '(stack c b)', '(pick-up c)', '(pick-up a)', '(pick-up c)']",2.322916666666667,8,0,False,"['(unstack a c)', '(pick-up b)', '(pick-up a)']",1.0,5,1,False,"['(unstack a c)', '(pick-up b)', '(pick-up a)']",1.0,5,1,False,"['(unstack a c)', '(put-down a)', '(pick-up b)', '(stack b c)', '(pick-up a)', '(stack a b)']",True
qcode,blocksworld_3,_zero_shot,8,"['(pick-up a)', '(stack a c)']",[],{},{},0.0,"['(pick-up a)', '(stack a c)']",[],True,0.0,0.0,2,0,False,[],0.0,2,0,False,[],0.0,2,0,False,[],0.0,2,0,False,"['(pick-up a)', '(stack a c)']",True
qcode,blocksworld_3,_zero_shot,9,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c a)']",[],{},{},0.0,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c a)']",[],True,0.0,0.0,4,0,False,[],0.0,4,0,False,[],0.0,4,0,False,[],0.0,4,0,False,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c a)']",True
qcode,blocksworld_3,_zero_shot,10,"['(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c b)', '(pick-up a)', '(stack a c)']",[],{},{},0.0,"['(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c b)', '(pick-up a)', '(stack a c)']",[],True,0.0,0.0,6,0,False,[],0.0,6,0,False,[],0.0,6,0,False,[],0.0,6,0,False,"['(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c b)', '(pick-up a)', '(stack a c)']",True
qcode,blocksworld_3,_zero_shot,11,"['(unstack c a)', '(put-down c)', '(unstack a b)', '(put-down a)', '(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']",[],{},{},0.0,"['(unstack c a)', '(put-down c)', '(unstack a b)', '(put-down a)', '(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']",[],True,0.0,0.0,8,0,False,[],0.0,8,0,False,[],0.0,8,0,False,[],0.0,8,0,False,"['(unstack c a)', '(put-down c)', '(unstack a b)', '(put-down a)', '(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']",True
qcode,blocksworld_3,_zero_shot,12,"['(unstack b a)', '(put-down b)', '(pick-up a)', '(stack a b)', '(pick-up c)', '(stack c a)']",[],{},{},0.0,"['(unstack b a)', '(put-down b)', '(pick-up a)', '(stack a b)', '(pick-up c)', '(stack c a)']",[],True,0.0,0.0,6,0,False,[],0.0,6,0,False,[],0.0,6,0,False,[],0.0,6,0,False,"['(unstack b a)', '(put-down b)', '(pick-up a)', '(stack a b)', '(pick-up c)', '(stack c a)']",True
qcode,blocksworld_3,_zero_shot,13,"['(unstack b a)', '(put-down b)', '(pick-up c)', '(stack c a)', '(pick-up b)', '(stack b c)']",[],{},{},0.0,"['(unstack b a)', '(put-down b)', '(pick-up c)', '(stack c a)', '(pick-up b)', '(stack b c)']",[],True,0.0,0.0,6,0,False,[],0.0,6,0,False,[],0.0,6,0,False,[],0.0,6,0,False,"['(unstack b a)', '(put-down b)', '(pick-up c)', '(stack c a)', '(pick-up b)', '(stack b c)']",True
qcode,blocksworld_3,_zero_shot,14,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c b)', '(pick-up a)', '(stack a c)']",[],{},{},0.0,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c b)', '(pick-up a)', '(stack a c)']",[],True,0.0,0.0,6,0,False,[],0.0,6,0,False,[],0.0,6,0,False,[],0.0,6,0,False,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c b)', '(pick-up a)', '(stack a c)']",True
qcode,blocksworld_3,_zero_shot,15,"['(unstack c b)', '(put-down c)', '(pick-up a)', '(stack a b)']",[],{},{},0.0,"['(unstack c b)', '(put-down c)', '(pick-up a)', '(stack a b)']",[],True,0.0,0.0,4,0,False,[],0.0,4,0,False,[],0.0,4,0,False,[],0.0,4,0,False,"['(unstack c b)', '(put-down c)', '(pick-up a)', '(stack a b)']",True
qcode,blocksworld_3,_zero_shot,16,"['(unstack b c)', '(put-down b)', '(unstack c a)', '(put-down c)', '(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']",[],{},{},0.0,"['(unstack b c)', '(put-down b)', '(unstack c a)', '(put-down c)', '(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']",[],True,0.0,0.0,8,0,False,[],0.0,8,0,False,[],0.0,8,0,False,[],0.0,8,0,False,"['(unstack b c)', '(put-down b)', '(unstack c a)', '(put-down c)', '(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']",True
qcode,blocksworld_3,_zero_shot,17,"['(pick-up a)', '(stack a b)', '(pick-up c)', '(stack c a)']",[],{},{},0.0,"['(pick-up a)', '(stack a b)', '(pick-up c)', '(stack c a)']",[],True,0.0,0.0,4,0,False,[],0.0,4,0,False,[],0.0,4,0,False,[],0.0,4,0,False,"['(pick-up a)', '(stack a b)', '(pick-up c)', '(stack c a)']",True
