cdt_last_act,cdt_plan,cdt_score,cdt_steps,cdt_subseq_last_act,cdt_subseq_plan,cdt_subseq_score,cdt_subseq_steps,cdt_subseq_validity,cdt_validity,complementary_plan,correct_part,curr_last_act,curr_plan,curr_score,curr_steps,curr_validity,domain,executability,final_score,gt_plan,improved_plan,improved_validity,instance_id,model,nr_plan_trace,plan_trace,subseq_last_act,subseq_plan,subseq_score,subseq_steps,subseq_validity,task,trace_score
3,"['(e6tbvxb13cxqiqfm object_8 object_1 object_7)', '(i43ia3g2ygc7vwqf object_1 object_7 object_6)', '(kl6t91ujyqzora0b object_8 object_1 object_6)']",4.0,0,3,"['(e6tbvxb13cxqiqfm object_8 object_1 object_7)', '(i43ia3g2ygc7vwqf object_1 object_7 object_6)', '(kl6t91ujyqzora0b object_8 object_1 object_6)']",1.0,0,True,True,[],"['(e6tbvxb13cxqiqfm object_8 object_1 object_7)', '(i43ia3g2ygc7vwqf object_1 object_7 object_6)', '(kl6t91ujyqzora0b object_8 object_1 object_6)']",3,"['(e6tbvxb13cxqiqfm object_8 object_1 object_7)', '(i43ia3g2ygc7vwqf object_1 object_7 object_6)', '(kl6t91ujyqzora0b object_8 object_1 object_6)']",4.0,0,True,obfuscated_randomized_logistics,True,4.0,"['(e6tbvxb13cxqiqfm object_8 object_1 object_7)', '(i43ia3g2ygc7vwqf object_1 object_7 object_6)', '(kl6t91ujyqzora0b object_8 object_1 object_6)']","['(e6tbvxb13cxqiqfm object_8 object_1 object_7)', '(i43ia3g2ygc7vwqf object_1 object_7 object_6)', '(kl6t91ujyqzora0b object_8 object_1 object_6)']",True,2,o4-mini_chat,"{0: 'position', 1: 'position', 2: 'position'}","{0: 'position', 1: 'position', 2: 'position'}",3,"['(e6tbvxb13cxqiqfm object_8 object_1 object_7)', '(i43ia3g2ygc7vwqf object_1 object_7 object_6)', '(kl6t91ujyqzora0b object_8 object_1 object_6)']",1.0,0,True,_one_shot,4.0
0,[],0,4,0,[],0,4,False,False,"['(i43ia3g2ygc7vwqf object_0 object_6 object_5)', '(e6tbvxb13cxqiqfm object_8 object_0 object_5)', '(i43ia3g2ygc7vwqf object_0 object_5 object_6)', '(kl6t91ujyqzora0b object_8 object_0 object_6)']",[],0,[],0,4,False,obfuscated_randomized_logistics,True,0.0,"['(i43ia3g2ygc7vwqf object_0 object_6 object_5)', '(e6tbvxb13cxqiqfm object_8 object_0 object_5)', '(i43ia3g2ygc7vwqf object_0 object_5 object_6)', '(kl6t91ujyqzora0b object_8 object_0 object_6)']","['(i43ia3g2ygc7vwqf object_0 object_6 object_5)', '(e6tbvxb13cxqiqfm object_8 object_0 object_5)', '(i43ia3g2ygc7vwqf object_0 object_5 object_6)', '(kl6t91ujyqzora0b object_8 object_0 object_6)']",True,3,o4-mini_chat,{},{},0,[],0,4,False,_one_shot,0
5,"['(e6tbvxb13cxqiqfm object_7 object_0 object_6)', '(e6tbvxb13cxqiqfm object_8 object_0 object_6)', '(i43ia3g2ygc7vwqf object_0 object_6 object_5)', '(kl6t91ujyqzora0b object_7 object_0 object_5)', '(kl6t91ujyqzora0b object_8 object_0 object_5)']",4.0,0,5,"['(e6tbvxb13cxqiqfm object_7 object_0 object_6)', '(e6tbvxb13cxqiqfm object_8 object_0 object_6)', '(i43ia3g2ygc7vwqf object_0 object_6 object_5)', '(kl6t91ujyqzora0b object_7 object_0 object_5)', '(kl6t91ujyqzora0b object_8 object_0 object_5)']",1.0,0,True,True,[],"['(e6tbvxb13cxqiqfm object_7 object_0 object_6)', '(e6tbvxb13cxqiqfm object_8 object_0 object_6)', '(i43ia3g2ygc7vwqf object_0 object_6 object_5)', '(kl6t91ujyqzora0b object_7 object_0 object_5)', '(kl6t91ujyqzora0b object_8 object_0 object_5)']",5,"['(e6tbvxb13cxqiqfm object_7 object_0 object_6)', '(e6tbvxb13cxqiqfm object_8 object_0 object_6)', '(i43ia3g2ygc7vwqf object_0 object_6 object_5)', '(kl6t91ujyqzora0b object_7 object_0 object_5)', '(kl6t91ujyqzora0b object_8 object_0 object_5)']",4.0,0,True,obfuscated_randomized_logistics,True,4.0,"['(e6tbvxb13cxqiqfm object_8 object_0 object_6)', '(e6tbvxb13cxqiqfm object_7 object_0 object_6)', '(i43ia3g2ygc7vwqf object_0 object_6 object_5)', '(kl6t91ujyqzora0b object_8 object_0 object_5)', '(kl6t91ujyqzora0b object_7 object_0 object_5)']","['(e6tbvxb13cxqiqfm object_7 object_0 object_6)', '(e6tbvxb13cxqiqfm object_8 object_0 object_6)', '(i43ia3g2ygc7vwqf object_0 object_6 object_5)', '(kl6t91ujyqzora0b object_7 object_0 object_5)', '(kl6t91ujyqzora0b object_8 object_0 object_5)']",True,4,o4-mini_chat,"{2: 'position', 0: 'correct', 1: 'correct', 3: 'correct', 4: 'correct'}","{2: 'position', 0: 'correct', 1: 'correct', 3: 'correct', 4: 'correct'}",5,"['(e6tbvxb13cxqiqfm object_7 object_0 object_6)', '(e6tbvxb13cxqiqfm object_8 object_0 object_6)', '(i43ia3g2ygc7vwqf object_0 object_6 object_5)', '(kl6t91ujyqzora0b object_7 object_0 object_5)', '(kl6t91ujyqzora0b object_8 object_0 object_5)']",1.0,0,True,_one_shot,2.4
0,[],0,4,0,[],0,4,False,False,"['(i43ia3g2ygc7vwqf object_1 object_6 object_7)', '(e6tbvxb13cxqiqfm object_9 object_1 object_7)', '(i43ia3g2ygc7vwqf object_1 object_7 object_6)', '(kl6t91ujyqzora0b object_9 object_1 object_6)']",[],0,[],0,4,False,obfuscated_randomized_logistics,True,0.0,"['(i43ia3g2ygc7vwqf object_1 object_6 object_7)', '(e6tbvxb13cxqiqfm object_9 object_1 object_7)', '(i43ia3g2ygc7vwqf object_1 object_7 object_6)', '(kl6t91ujyqzora0b object_9 object_1 object_6)']","['(i43ia3g2ygc7vwqf object_1 object_6 object_7)', '(e6tbvxb13cxqiqfm object_9 object_1 object_7)', '(i43ia3g2ygc7vwqf object_1 object_7 object_6)', '(kl6t91ujyqzora0b object_9 object_1 object_6)']",True,5,o4-mini_chat,{},{},0,[],0,4,False,_one_shot,0
3,"['(v1pjso2krv6sk1wj object_9 object_4 object_7)', '(ucb7r68xuhd352zp object_4 object_7 object_8 object_2)', '(ozh031mvw6d4smqa object_9 object_4 object_8)']",4.0,0,3,"['(v1pjso2krv6sk1wj object_9 object_4 object_7)', '(ucb7r68xuhd352zp object_4 object_7 object_8 object_2)', '(ozh031mvw6d4smqa object_9 object_4 object_8)']",1.0,0,True,True,[],"['(v1pjso2krv6sk1wj object_9 object_4 object_7)', '(ucb7r68xuhd352zp object_4 object_7 object_8 object_2)', '(ozh031mvw6d4smqa object_9 object_4 object_8)']",3,"['(v1pjso2krv6sk1wj object_9 object_4 object_7)', '(ucb7r68xuhd352zp object_4 object_7 object_8 object_2)', '(ozh031mvw6d4smqa object_9 object_4 object_8)']",4.0,0,True,obfuscated_randomized_logistics,True,4.0,"['(v1pjso2krv6sk1wj object_9 object_4 object_7)', '(ucb7r68xuhd352zp object_4 object_7 object_8 object_2)', '(ozh031mvw6d4smqa object_9 object_4 object_8)']","['(v1pjso2krv6sk1wj object_9 object_4 object_7)', '(ucb7r68xuhd352zp object_4 object_7 object_8 object_2)', '(ozh031mvw6d4smqa object_9 object_4 object_8)']",True,6,o4-mini_chat,"{0: 'position', 1: 'position', 2: 'position'}","{0: 'position', 1: 'position', 2: 'position'}",3,"['(v1pjso2krv6sk1wj object_9 object_4 object_7)', '(ucb7r68xuhd352zp object_4 object_7 object_8 object_2)', '(ozh031mvw6d4smqa object_9 object_4 object_8)']",1.0,0,True,_one_shot,4.0
0,[],0,7,0,[],0,7,False,False,"['(ucb7r68xuhd352zp object_3 object_5 object_6 object_1)', '(v1pjso2krv6sk1wj object_9 object_3 object_6)', '(ucb7r68xuhd352zp object_3 object_6 object_5 object_1)', '(ozh031mvw6d4smqa object_9 object_3 object_5)', '(e6tbvxb13cxqiqfm object_9 object_0 object_5)', '(i43ia3g2ygc7vwqf object_0 object_5 object_7)', '(kl6t91ujyqzora0b object_9 object_0 object_7)']",[],0,[],0,7,False,obfuscated_randomized_logistics,True,0.0,"['(ucb7r68xuhd352zp object_3 object_5 object_6 object_1)', '(v1pjso2krv6sk1wj object_9 object_3 object_6)', '(ucb7r68xuhd352zp object_3 object_6 object_5 object_1)', '(ozh031mvw6d4smqa object_9 object_3 object_5)', '(e6tbvxb13cxqiqfm object_9 object_0 object_5)', '(i43ia3g2ygc7vwqf object_0 object_5 object_7)', '(kl6t91ujyqzora0b object_9 object_0 object_7)']","['(ucb7r68xuhd352zp object_3 object_5 object_6 object_1)', '(v1pjso2krv6sk1wj object_9 object_3 object_6)', '(ucb7r68xuhd352zp object_3 object_6 object_5 object_1)', '(ozh031mvw6d4smqa object_9 object_3 object_5)', '(e6tbvxb13cxqiqfm object_9 object_0 object_5)', '(i43ia3g2ygc7vwqf object_0 object_5 object_7)', '(kl6t91ujyqzora0b object_9 object_0 object_7)']",True,7,o4-mini_chat,{},{},0,[],0,7,False,_one_shot,0
0,[],0,6,0,[],0,6,False,False,"['(v1pjso2krv6sk1wj object_10 object_5 object_9)', '(ucb7r68xuhd352zp object_5 object_9 object_8 object_3)', '(ozh031mvw6d4smqa object_10 object_5 object_8)', '(e6tbvxb13cxqiqfm object_10 object_0 object_8)', '(i43ia3g2ygc7vwqf object_0 object_8 object_6)', '(kl6t91ujyqzora0b object_10 object_0 object_6)']",[],0,[],0,6,False,obfuscated_randomized_logistics,True,0.0,"['(v1pjso2krv6sk1wj object_10 object_5 object_9)', '(ucb7r68xuhd352zp object_5 object_9 object_8 object_3)', '(ozh031mvw6d4smqa object_10 object_5 object_8)', '(e6tbvxb13cxqiqfm object_10 object_0 object_8)', '(i43ia3g2ygc7vwqf object_0 object_8 object_6)', '(kl6t91ujyqzora0b object_10 object_0 object_6)']","['(v1pjso2krv6sk1wj object_10 object_5 object_9)', '(ucb7r68xuhd352zp object_5 object_9 object_8 object_3)', '(ozh031mvw6d4smqa object_10 object_5 object_8)', '(e6tbvxb13cxqiqfm object_10 object_0 object_8)', '(i43ia3g2ygc7vwqf object_0 object_8 object_6)', '(kl6t91ujyqzora0b object_10 object_0 object_6)']",True,8,o4-mini_chat,{},{},0,[],0,6,False,_one_shot,0
0,[],0,3,0,[],0,3,False,False,"['(v1pjso2krv6sk1wj object_9 object_4 object_8)', '(ucb7r68xuhd352zp object_4 object_8 object_7 object_2)', '(ozh031mvw6d4smqa object_9 object_4 object_7)']",[],0,[],0,3,False,obfuscated_randomized_logistics,True,0.0,"['(v1pjso2krv6sk1wj object_9 object_4 object_8)', '(ucb7r68xuhd352zp object_4 object_8 object_7 object_2)', '(ozh031mvw6d4smqa object_9 object_4 object_7)']","['(v1pjso2krv6sk1wj object_9 object_4 object_8)', '(ucb7r68xuhd352zp object_4 object_8 object_7 object_2)', '(ozh031mvw6d4smqa object_9 object_4 object_7)']",True,9,o4-mini_chat,{},{},0,[],0,3,False,_one_shot,0
5,"['(v1pjso2krv6sk1wj object_9 object_3 object_5)', '(v1pjso2krv6sk1wj object_10 object_3 object_5)', '(ucb7r68xuhd352zp object_3 object_5 object_6 object_1)', '(ozh031mvw6d4smqa object_9 object_3 object_6)', '(ozh031mvw6d4smqa object_10 object_3 object_6)']",4.0,0,5,"['(v1pjso2krv6sk1wj object_9 object_3 object_5)', '(v1pjso2krv6sk1wj object_10 object_3 object_5)', '(ucb7r68xuhd352zp object_3 object_5 object_6 object_1)', '(ozh031mvw6d4smqa object_9 object_3 object_6)', '(ozh031mvw6d4smqa object_10 object_3 object_6)']",1.0,0,True,True,[],"['(v1pjso2krv6sk1wj object_9 object_3 object_5)', '(v1pjso2krv6sk1wj object_10 object_3 object_5)', '(ucb7r68xuhd352zp object_3 object_5 object_6 object_1)', '(ozh031mvw6d4smqa object_9 object_3 object_6)', '(ozh031mvw6d4smqa object_10 object_3 object_6)']",5,"['(v1pjso2krv6sk1wj object_9 object_3 object_5)', '(v1pjso2krv6sk1wj object_10 object_3 object_5)', '(ucb7r68xuhd352zp object_3 object_5 object_6 object_1)', '(ozh031mvw6d4smqa object_9 object_3 object_6)', '(ozh031mvw6d4smqa object_10 object_3 object_6)']",4.0,0,True,obfuscated_randomized_logistics,True,4.0,"['(v1pjso2krv6sk1wj object_9 object_3 object_5)', '(v1pjso2krv6sk1wj object_10 object_3 object_5)', '(ucb7r68xuhd352zp object_3 object_5 object_6 object_1)', '(ozh031mvw6d4smqa object_9 object_3 object_6)', '(ozh031mvw6d4smqa object_10 object_3 object_6)']","['(v1pjso2krv6sk1wj object_9 object_3 object_5)', '(v1pjso2krv6sk1wj object_10 object_3 object_5)', '(ucb7r68xuhd352zp object_3 object_5 object_6 object_1)', '(ozh031mvw6d4smqa object_9 object_3 object_6)', '(ozh031mvw6d4smqa object_10 object_3 object_6)']",True,10,o4-mini_chat,"{0: 'position', 1: 'position', 2: 'position', 3: 'position', 4: 'position'}","{0: 'position', 1: 'position', 2: 'position', 3: 'position', 4: 'position'}",5,"['(v1pjso2krv6sk1wj object_9 object_3 object_5)', '(v1pjso2krv6sk1wj object_10 object_3 object_5)', '(ucb7r68xuhd352zp object_3 object_5 object_6 object_1)', '(ozh031mvw6d4smqa object_9 object_3 object_6)', '(ozh031mvw6d4smqa object_10 object_3 object_6)']",1.0,0,True,_one_shot,4.0
0,"['(ucb7r68xuhd352zp object_4 object_11 object_7 object_2)', '(v1pjso2krv6sk1wj object_10 object_4 object_11)', '(ozh031mvw6d4smqa object_10 object_4 object_7)', '(ucb7r68xuhd352zp object_5 object_8 object_9 object_3)', '(v1pjso2krv6sk1wj object_6 object_5 object_9)', '(ozh031mvw6d4smqa object_6 object_5 object_8)']",3.6051587301587307,5,0,"['(ozh031mvw6d4smqa object_10 object_4 object_7)', '(ucb7r68xuhd352zp object_5 object_8 object_9 object_3)']",1.0,7,False,False,"['(v1pjso2krv6sk1wj object_10 object_4 object_6)', '(ucb7r68xuhd352zp object_4 object_6 object_7 object_2)', '(ozh031mvw6d4smqa object_10 object_4 object_7)', '(ucb7r68xuhd352zp object_5 object_8 object_9 object_3)', '(v1pjso2krv6sk1wj object_11 object_5 object_9)', '(ucb7r68xuhd352zp object_5 object_9 object_8 object_3)', '(ozh031mvw6d4smqa object_11 object_5 object_8)']",[],1,"['(ucb7r68xuhd352zp object_4 object_6 object_7 object_2)', '(v1pjso2krv6sk1wj object_10 object_4 object_6)', '(ozh031mvw6d4smqa object_10 object_4 object_7)', '(ucb7r68xuhd352zp object_5 object_8 object_9 object_3)', '(v1pjso2krv6sk1wj object_11 object_5 object_9)', '(ozh031mvw6d4smqa object_11 object_5 object_8)']",3.535714285714286,4,False,obfuscated_randomized_logistics,False,3.5704365079365084,"['(v1pjso2krv6sk1wj object_10 object_4 object_6)', '(ucb7r68xuhd352zp object_4 object_6 object_7 object_2)', '(ozh031mvw6d4smqa object_10 object_4 object_7)', '(ucb7r68xuhd352zp object_5 object_8 object_9 object_3)', '(v1pjso2krv6sk1wj object_11 object_5 object_9)', '(ucb7r68xuhd352zp object_5 object_9 object_8 object_3)', '(ozh031mvw6d4smqa object_11 object_5 object_8)']","['(v1pjso2krv6sk1wj object_10 object_4 object_6)', '(ucb7r68xuhd352zp object_4 object_6 object_7 object_2)', '(ozh031mvw6d4smqa object_10 object_4 object_7)', '(ucb7r68xuhd352zp object_5 object_8 object_9 object_3)', '(v1pjso2krv6sk1wj object_11 object_5 object_9)', '(ucb7r68xuhd352zp object_5 object_9 object_8 object_3)', '(ozh031mvw6d4smqa object_11 object_5 object_8)']",True,11,o4-mini_chat,"{2: 'position', 3: 'position', 4: 'position', 0: 'correct', 1: 'correct', 5: 'correct'}","{2: 'position', 3: 'position', 4: 'position', 0: 'correct', 1: 'correct', 5: 'correct'}",1,"['(v1pjso2krv6sk1wj object_10 object_4 object_6)', '(ozh031mvw6d4smqa object_10 object_4 object_7)', '(ucb7r68xuhd352zp object_5 object_8 object_9 object_3)', '(v1pjso2krv6sk1wj object_11 object_5 object_9)', '(ozh031mvw6d4smqa object_11 object_5 object_8)']",1.0,6,False,_one_shot,3.0
