domain,instance_id,num_goals
logistics,155,5
logistics,43,1
logistics,225,7
logistics,140,4
logistics,172,6
logistics,65,2
logistics,169,6
logistics,216,7
logistics,105,6
logistics,264,7
logistics,202,7
logistics,197,7
logistics,193,7
logistics,54,3
logistics,39,6
logistics,205,7
logistics,241,7
logistics,191,7
logistics,103,6
logistics,67,2
logistics,57,3
logistics,239,7
logistics,276,7
logistics,268,7
logistics,77,4
logistics,149,5
logistics,153,5
logistics,30,4
logistics,108,6
logistics,110,6
logistics,273,7
logistics,174,6
logistics,101,6
logistics,133,3
logistics,112,6
logistics,259,7
logistics,51,2
logistics,161,5
logistics,160,5
logistics,99,6
logistics,34,5
logistics,207,7
logistics,200,7
logistics,28,3
logistics,198,7
logistics,179,6
logistics,73,3
logistics,184,6
logistics,49,2
logistics,64,2
logistics,123,1
logistics,199,7
logistics,195,7
logistics,206,7
logistics,37,5
logistics,19,4
logistics,151,5
logistics,271,7
logistics,127,2
logistics,6,1
logistics,129,2
logistics,132,3
logistics,52,2
logistics,255,7
logistics,223,7
logistics,13,3
logistics,182,6
logistics,222,7
logistics,165,5
logistics,286,1
logistics,98,6
logistics,131,3
logistics,270,7
logistics,8,1
logistics,142,4
logistics,1,1
logistics,248,7
logistics,47,1
logistics,69,3
logistics,247,7
logistics,40,6
logistics,111,6
logistics,176,6
logistics,86,5
logistics,265,7
logistics,263,7
logistics,170,6
logistics,114,6
logistics,145,5
logistics,20,1
logistics,130,3
logistics,269,7
logistics,162,5
logistics,50,2
logistics,135,3
logistics,272,7
logistics,71,3
logistics,177,6
logistics,75,4
logistics,121,1
logistics,41,6
logistics,183,6
logistics,231,7
logistics,21,1
logistics,267,7
logistics,188,7
logistics,24,2
logistics,18,4
logistics,113,6
logistics,124,1
logistics,56,3
logistics,63,2
logistics,186,7
logistics,251,7
logistics,244,7
logistics,4,2
logistics,232,7
logistics,181,6
logistics,81,5
logistics,15,3
logistics,89,5
logistics,249,7
logistics,282,7
logistics,163,5
logistics,90,5
logistics,95,5
logistics,166,5
logistics,60,1
logistics,245,7
logistics,32,4
logistics,107,6
logistics,125,2
logistics,201,7
logistics,96,6
logistics,29,3
logistics,117,6
logistics,102,6
logistics,22,1
logistics,27,3
logistics,87,5
logistics,278,7
logistics,7,1
logistics,70,3
logistics,256,7
logistics,12,3
logistics,17,4
logistics,2,1
logistics,150,5
logistics,79,4
logistics,68,2
logistics,158,5
logistics,242,7
logistics,238,7
logistics,156,5
logistics,106,6
logistics,93,5
logistics,139,4
logistics,253,7
logistics,138,4
logistics,152,5
logistics,236,7
logistics,84,5
logistics,224,7
logistics,274,7
logistics,80,4
logistics,58,3
logistics,210,7
logistics,240,7
logistics,137,4
logistics,215,7
logistics,115,6
logistics,72,3
logistics,220,7
logistics,178,6
logistics,157,5
logistics,252,7
logistics,226,7
logistics,59,1
logistics,279,7
logistics,227,7
logistics,3,2
logistics,78,4
logistics,280,7
logistics,146,5
logistics,141,4
logistics,88,5
logistics,92,5
logistics,147,5
logistics,204,7
logistics,275,7
logistics,104,6
logistics,61,1
logistics,82,5
logistics,5,2
logistics,208,7
logistics,118,6
logistics,266,7
logistics,136,4
logistics,228,7
logistics,217,7
logistics,42,6
logistics,234,7
logistics,109,6
logistics,134,3
logistics,25,2
logistics,235,7
logistics,26,3
logistics,233,7
logistics,31,4
logistics,196,7
logistics,230,7
logistics,260,7
logistics,167,5
logistics,94,5
logistics,120,1
logistics,211,7
logistics,214,7
logistics,48,1
logistics,119,6
logistics,219,7
logistics,221,7
logistics,180,6
logistics,23,2
logistics,14,3
logistics,44,1
logistics,243,7
logistics,284,7
logistics,168,6
logistics,164,5
logistics,76,4
logistics,36,5
logistics,10,2
logistics,66,2
logistics,38,6
logistics,11,2
logistics,91,5
logistics,173,6
logistics,229,7
logistics,53,3
logistics,35,5
logistics,122,1
logistics,9,2
logistics,258,7
logistics,62,1
logistics,212,7
logistics,281,7
logistics,254,7
logistics,74,3
logistics,194,7
logistics,85,5
logistics,213,7
logistics,171,6
logistics,237,7
logistics,159,5
logistics,116,6
logistics,126,2
logistics,192,7
logistics,128,2
logistics,154,5
logistics,218,7
logistics,148,5
logistics,283,7
logistics,185,6
logistics,83,5
logistics,209,7
logistics,97,6
logistics,257,7
logistics,55,3
logistics,100,6
logistics,46,1
logistics,33,4
logistics,285,7
logistics,203,7
logistics,187,7
logistics,16,4
logistics,45,1
logistics,190,7
logistics,143,4
logistics,262,7
logistics,246,7
logistics,175,6
logistics,261,7
logistics,277,7
logistics,250,7
logistics,189,7
logistics,144,4
