model,domain,task,instance_id,gt_plan,curr_plan,plan_trace,nr_plan_trace,trace_score,complementary_plan,correct_part,executability,final_score,curr_score,curr_steps,curr_last_act,curr_validity,cdt_plan,cdt_score,cdt_steps,cdt_last_act,cdt_validity,subseq_plan,subseq_score,subseq_steps,subseq_last_act,subseq_validity,cdt_subseq_plan,cdt_subseq_score,cdt_subseq_steps,cdt_subseq_last_act,cdt_subseq_validity,improved_plan,improved_validity,improved_cdt_plan,improved_cdt_validity,improved_subseq_plan,improved_subseq_validity,improved_subseq_cdt_plan,improved_subseq_cdt_validity
claude_3_haiku,blocksworld_3,_one_shot,2,"['(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']","['(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']","{0: 'position', 1: 'position', 2: 'position', 3: 'position'}","{0: 'position', 1: 'position', 2: 'position', 3: 'position'}",4.0,[],"['(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']",True,4.0,4.0,0,4,True,"['(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']",4.0,0,4,True,"['(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']",1.0,0,4,True,"['(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']",1.0,0,4,True,"['(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']",True,,,,,,
claude_3_haiku,blocksworld_3,_one_shot,3,"['(unstack b c)', '(put-down b)', '(unstack c a)', '(put-down c)', '(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']","['(pick-up b)', '(unstack b c)', '(stack b a)', '(pick-up c)', '(unstack c a)', '(stack c b)']","{0: 'correct', 1: 'correct', 2: 'correct', 3: 'correct', 4: 'correct', 5: 'correct'}","{0: 'correct', 1: 'correct', 2: 'correct', 3: 'correct', 4: 'correct', 5: 'correct'}",2.0,"['(unstack b c)', '(put-down b)', '(unstack c a)', '(put-down c)', '(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']",[],False,2.6902777777777773,2.6666666666666665,8,0,False,"['(pick-up b)', '(unstack b a)', '(stack b c)', '(pick-up a)', '(unstack a c)', '(stack a b)']",2.713888888888889,8,0,False,"['(unstack b c)', '(stack b a)', '(pick-up c)', '(stack c b)']",1.0,7,1,False,['(pick-up b)'],1.0,8,0,False,"['(unstack b c)', '(put-down b)', '(unstack c a)', '(put-down c)', '(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']",True,,,,,,
claude_3_haiku,blocksworld_3,_one_shot,4,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(stack b a)']","['(unstack b c)', '(put-down b)', '(unstack c a)', '(put-down c)', '(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']","{0: 'correct', 5: 'correct', 1: 'same_act', 2: 'same_act', 3: 'redundant', 4: 'redundant', 6: 'redundant', 7: 'redundant'}","{0: 'correct', 5: 'correct', 1: 'same_act', 2: 'same_act', 3: 'same_act', 4: 'diff_act', 6: 'redundant', 7: 'same_act'}",0.75,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(stack b a)']",[],False,1.75625,1.5125,7,0,False,"['(unstack a b)', '(put-down a)', '(pick-up c)', '(stack c b)', '(pick-up a)', '(stack a c)', '(unstack c a)', '(put-down c)']",1.71875,6,2,False,"['(unstack b c)', '(stack b a)']",1.0,4,0,False,"['(unstack a b)', '(put-down a)']",1.0,2,2,False,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(stack b a)']",True,,,,,,
claude_3_haiku,blocksworld_3,_one_shot,5,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c a)', '(pick-up b)', '(stack b c)']","['(unstack a b)', '(put-down a)', '(unstack b c)', '(stack b a)', '(stack b a)']","{0: 'position', 1: 'position', 2: 'position', 3: 'same_act', 4: 'same_act'}","{0: 'position', 1: 'position', 2: 'position', 3: 'same_act', 4: 'same_act'}",2.8,"['(put-down b)', '(pick-up c)', '(stack c a)', '(pick-up b)', '(stack b c)']","['(unstack a b)', '(put-down a)', '(unstack b c)']",False,3.65,3.65,5,3,False,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(stack b a)', '(stack b a)']",3.65,5,3,False,"['(unstack a b)', '(put-down a)', '(unstack b c)']",1.0,5,3,False,"['(unstack a b)', '(put-down a)', '(unstack b c)']",1.0,5,3,False,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c a)', '(pick-up b)', '(stack b c)']",True,,,,,,
claude_3_haiku,blocksworld_3,_one_shot,6,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(stack c a)', '(pick-up b)', '(stack b c)']","['(unstack a c)', '(put-down a)', '(unstack c b)', '(put-down c)', '(pick-up b)', '(stack b c)', '(pick-up a)', '(stack a c)']","{0: 'position', 1: 'position', 2: 'position', 4: 'position', 5: 'position', 3: 'diff_act', 6: 'redundant', 7: 'redundant'}","{0: 'position', 1: 'position', 2: 'position', 4: 'position', 5: 'position', 3: 'diff_act', 6: 'same_act', 7: 'same_act'}",2.5625,"['(stack c a)', '(pick-up b)', '(stack b c)']","['(unstack a c)', '(put-down a)', '(unstack c b)']",False,3.129861111111111,3.129861111111111,3,7,False,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(put-down c)', '(pick-up b)', '(stack b c)', '(pick-up a)', '(stack a c)']",3.129861111111111,3,7,False,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(pick-up b)', '(stack b c)']",1.0,3,3,False,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(pick-up b)', '(stack b c)']",1.0,3,3,False,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(stack c a)', '(pick-up b)', '(stack b c)']",True,,,,,,
claude_3_haiku,blocksworld_3,_one_shot,7,"['(unstack a c)', '(put-down a)', '(pick-up b)', '(stack b c)', '(pick-up a)', '(stack a b)']","['(unstack a c)', '(unstack a c)', '(put-down a)', '(unstack c b)', '(unstack c b)', '(stack c a)', '(stack c a)', '(pick-up b)', '(stack b c)', '(stack b c)']","{0: 'position', 2: 'correct', 7: 'correct', 8: 'correct', 1: 'diff_act', 5: 'diff_act', 6: 'redundant', 9: 'redundant', 3: 'redundant', 4: 'redundant'}","{0: 'position', 2: 'correct', 7: 'correct', 8: 'correct', 1: 'diff_act', 5: 'diff_act', 6: 'same_act', 9: 'correct', 3: 'same_act', 4: 'same_act'}",1.1,"['(unstack a c)', '(put-down a)', '(pick-up b)', '(stack b c)', '(pick-up a)', '(stack a b)']",[],False,2.032009803921569,2.005686274509804,10,0,False,"['(unstack c b)', '(unstack c b)', '(put-down c)', '(unstack b a)', '(unstack b a)', '(stack b c)', '(stack b c)', '(pick-up a)', '(stack a b)', '(stack a b)']",2.0583333333333336,7,0,False,"['(unstack a c)', '(put-down a)', '(pick-up b)', '(stack b c)']",1.0,2,4,False,"['(stack b c)', '(pick-up a)', '(stack a b)']",1.0,6,0,False,"['(unstack a c)', '(put-down a)', '(pick-up b)', '(stack b c)', '(pick-up a)', '(stack a b)']",False,,,,,,
claude_3_haiku,blocksworld_3,_one_shot,8,"['(pick-up a)', '(stack a c)']","['(pick-up a)', '(pick-up c)', '(stack a c)']","{0: 'position', 2: 'correct', 1: 'redundant'}","{0: 'position', 2: 'correct', 1: 'same_act'}",2.0,['(stack a c)'],['(pick-up a)'],False,2.6666666666666665,2.6666666666666665,1,1,False,"['(pick-up a)', '(pick-up c)', '(stack a c)']",2.6666666666666665,1,1,False,"['(pick-up a)', '(stack a c)']",1.0,0,2,True,"['(pick-up a)', '(stack a c)']",1.0,0,2,True,"['(pick-up a)', '(stack a c)']",True,,,,,,
claude_3_haiku,blocksworld_3,_one_shot,9,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c a)']","['(pick-up a)', '(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c a)']","{1: 'correct', 2: 'correct', 3: 'correct', 4: 'correct', 0: 'redundant'}","{1: 'correct', 2: 'correct', 3: 'correct', 4: 'correct', 0: 'same_act'}",1.6,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c a)']",[],False,3.95,3.75,1,0,False,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c a)', '(pick-up a)']",4.15,1,4,False,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c a)']",1.0,0,4,True,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c a)']",1.0,0,4,True,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c a)']",True,,,,,,
claude_3_haiku,blocksworld_3,_one_shot,10,"['(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c b)', '(pick-up a)', '(stack a c)']","['(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c a)', '(pick-up b)', '(stack b c)']","{0: 'position', 1: 'position', 2: 'position', 3: 'same_act', 4: 'same_act', 5: 'same_act'}","{0: 'position', 1: 'position', 2: 'position', 3: 'same_act', 4: 'same_act', 5: 'same_act'}",2.5,"['(stack c b)', '(pick-up a)', '(stack a c)']","['(unstack b c)', '(put-down b)', '(pick-up c)']",True,3.9652777777777777,3.8333333333333335,3,6,False,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c b)', '(pick-up a)', '(stack a c)']",4.097222222222222,2,0,False,"['(unstack b c)', '(put-down b)', '(pick-up c)']",1.0,3,3,False,"['(pick-up c)', '(stack c b)', '(pick-up a)', '(stack a c)']",1.0,6,0,False,"['(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c b)', '(pick-up a)', '(stack a c)']",True,,,,,,
claude_3_haiku,blocksworld_3,_one_shot,11,"['(unstack c a)', '(put-down c)', '(unstack a b)', '(put-down a)', '(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']","['(unstack b a)', '(put-down b)', '(pick-up a)', '(stack a b)', '(pick-up c)', '(stack c a)']","{4: 'correct', 0: 'same_act', 1: 'diff_act', 2: 'same_act', 3: 'same_act', 5: 'diff_act'}","{4: 'correct', 0: 'same_act', 1: 'diff_act', 2: 'same_act', 3: 'same_act', 5: 'diff_act'}",1.0,"['(unstack c a)', '(put-down c)', '(unstack a b)', '(put-down a)', '(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']",[],False,3.487962962962963,2.7537037037037035,8,0,False,"['(unstack a b)', '(put-down a)', '(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']",4.222222222222222,8,0,False,['(pick-up c)'],1.0,8,0,False,"['(unstack a b)', '(put-down a)', '(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']",1.0,8,0,False,"['(unstack c a)', '(put-down c)', '(unstack a b)', '(put-down a)', '(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']",True,,,,,,
