cdt_last_act,cdt_plan,cdt_score,cdt_steps,cdt_subseq_last_act,cdt_subseq_plan,cdt_subseq_score,cdt_subseq_steps,cdt_subseq_validity,cdt_validity,complementary_plan,correct_part,curr_last_act,curr_plan,curr_score,curr_steps,curr_validity,domain,executability,final_score,gt_plan,improved_plan,improved_validity,instance_id,model,nr_plan_trace,plan_trace,subseq_last_act,subseq_plan,subseq_score,subseq_steps,subseq_validity,task,trace_score,improved_steps
5,"['(unstack a c)', '(put-down a)', '(pick-up b)', '(stack b a)', '(pick-up c)']",1.2333333333333334,1,5,"['(unstack a c)', '(put-down a)', '(pick-up b)', '(stack b a)', '(pick-up c)']",1.0,1,False,False,['(stack c b)'],"['(unstack a c)', '(put-down a)', '(pick-up b)', '(stack b a)', '(pick-up c)']",5,"['(unstack a c)', '(put-down a)', '(pick-up b)', '(stack b a)', '(pick-up c)']",1.2333333333333334,1,False,random_blocksworld_3,True,1.2333333333333334,"['(unstack a c)', '(put-down a)', '(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']","['(unstack a c)', '(put-down a)', '(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']",1,65,o4-mini_chat,"{0: 'position', 1: 'position', 2: 'position', 3: 'position', 4: 'position'}","{0: 'correct', 1: 'correct', 2: 'correct', 3: 'correct', 4: 'correct'}",5,"['(unstack a c)', '(put-down a)', '(pick-up b)', '(stack b a)', '(pick-up c)']",1.0,1,False,_zero_shot,1.0,0
5,"['(feast c a)', '(succumb c)', '(attack b)', '(overcome b a)', '(attack c)']",1.2333333333333334,1,5,"['(feast c a)', '(succumb c)', '(attack b)', '(overcome b a)', '(attack c)']",1.0,1,False,False,['(overcome c b)'],"['(feast c a)', '(succumb c)', '(attack b)', '(overcome b a)', '(attack c)']",5,"['(feast c a)', '(succumb c)', '(attack b)', '(overcome b a)', '(attack c)']",1.2333333333333334,1,False,mystery_blocksworld_3,True,1.2333333333333334,"['(feast c a)', '(succumb c)', '(attack b)', '(overcome b a)', '(attack c)', '(overcome c b)']","['(feast c a)', '(succumb c)', '(attack b)', '(overcome b a)', '(attack c)', '(overcome c b)']",1,37,o4-mini_chat,"{0: 'position', 1: 'position', 2: 'position', 3: 'position', 4: 'position'}","{0: 'correct', 1: 'correct', 2: 'correct', 3: 'correct', 4: 'correct'}",5,"['(feast c a)', '(succumb c)', '(attack b)', '(overcome b a)', '(attack c)']",1.0,1,False,_zero_shot,1.0,0
3,"['(unstack b a)', '(put-down b)', '(pick-up a)', '(stack c a)']",1.10625,1,3,"['(unstack b a)', '(put-down b)', '(pick-up a)']",1.0,1,False,False,['(stack a c)'],"['(unstack b a)', '(put-down b)', '(pick-up a)']",3,"['(unstack b a)', '(put-down b)', '(pick-up a)', '(stack c a)']",1.10625,1,False,random_blocksworld_3,False,1.10625,"['(unstack b a)', '(put-down b)', '(pick-up a)', '(stack a c)']","['(unstack b a)', '(put-down b)', '(pick-up a)', '(stack a c)']",1,80,o4-mini_chat,"{0: 'position', 1: 'position', 2: 'position', 3: 'same_act'}","{0: 'correct', 1: 'correct', 2: 'correct', 3: 'same_act'}",3,"['(unstack b a)', '(put-down b)', '(pick-up a)']",1.0,1,False,_zero_shot,0.8125,0
6,"['(feast b c)', '(succumb b)', '(attack c)', '(overcome c b)', '(attack a)', '(overcome a c)', '(succumb c)']",1.101190476190476,1,6,"['(feast b c)', '(succumb b)', '(attack c)', '(overcome c b)', '(attack a)', '(overcome a c)']",1.0,0,True,False,[],"['(feast b c)', '(succumb b)', '(attack c)', '(overcome c b)', '(attack a)', '(overcome a c)']",6,"['(feast b c)', '(succumb b)', '(attack c)', '(overcome c b)', '(attack a)', '(overcome a c)', '(succumb c)']",1.101190476190476,1,False,mystery_blocksworld_3,False,1.101190476190476,"['(feast b c)', '(succumb b)', '(attack c)', '(overcome c b)', '(attack a)', '(overcome a c)']","['(feast b c)', '(succumb b)', '(attack c)', '(overcome c b)', '(attack a)', '(overcome a c)']",1,10,o4-mini_chat,"{0: 'position', 1: 'position', 2: 'position', 3: 'position', 4: 'position', 5: 'position', 6: 'same_act'}","{0: 'correct', 1: 'correct', 2: 'correct', 3: 'correct', 4: 'correct', 5: 'correct', 6: 'redundant'}",6,"['(feast b c)', '(succumb b)', '(attack c)', '(overcome c b)', '(attack a)', '(overcome a c)']",1.0,0,True,_one_shot,0.8571428571428571,0
8,"['(unstack c a)', '(put-down c)', '(unstack a b)', '(put-down a)', '(pick-up b)', '(stack b c)', '(pick-up a)', '(stack a b)', '(pick-up i)']",1.1354166666666667,1,8,"['(unstack c a)', '(put-down c)', '(unstack a b)', '(put-down a)', '(pick-up b)', '(stack b c)', '(pick-up a)', '(stack a b)']",1.0,0,True,False,"['(unstack c a)', '(put-down c)', '(unstack a b)', '(put-down a)', '(pick-up b)', '(stack b c)', '(pick-up a)', '(stack a b)']",[],0,"['(pick-up i)', '(unstack c a)', '(put-down c)', '(unstack a b)', '(put-down a)', '(pick-up b)', '(stack b c)', '(pick-up a)', '(stack a b)']",1.0243055555555556,1,False,random_blocksworld_3,False,1.0798611111111112,"['(unstack c a)', '(put-down c)', '(unstack a b)', '(put-down a)', '(pick-up b)', '(stack b c)', '(pick-up a)', '(stack a b)']","['(unstack c a)', '(put-down c)', '(unstack a b)', '(put-down a)', '(pick-up b)', '(stack b c)', '(pick-up a)', '(stack a b)']",1,28,o4-mini_chat,"{1: 'correct', 2: 'correct', 3: 'correct', 4: 'correct', 5: 'correct', 6: 'correct', 7: 'correct', 8: 'correct', 0: 'same_act'}","{1: 'misplaced', 2: 'misplaced', 3: 'misplaced', 4: 'misplaced', 5: 'misplaced', 6: 'misplaced', 7: 'misplaced', 8: 'misplaced', 0: 'redundant'}",8,"['(unstack c a)', '(put-down c)', '(unstack a b)', '(put-down a)', '(pick-up b)', '(stack b c)', '(pick-up a)', '(stack a b)']",1.0,0,True,_zero_shot,0.4444444444444444,0
6,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(put-down c)', '(pick-up a)', '(stack a b)']",1.05,2,4,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(put-down c)']",1.0,2,False,False,"['(pick-up b)', '(stack b a)']","['(unstack a c)', '(put-down a)', '(unstack c b)', '(put-down c)']",6,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(put-down c)', '(pick-up a)', '(stack a b)']",1.05,2,False,random_blocksworld_3,True,1.05,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(put-down c)', '(pick-up b)', '(stack b a)']","['(unstack a c)', '(put-down a)', '(unstack c b)', '(put-down c)', '(pick-up b)', '(stack b a)']",1,50,o4-mini_chat,"{0: 'position', 1: 'position', 2: 'position', 3: 'position', 4: 'same_act', 5: 'same_act'}","{0: 'correct', 1: 'correct', 2: 'correct', 3: 'correct', 4: 'same_act', 5: 'same_act'}",4,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(put-down c)']",1.0,2,False,_zero_shot,0.75,0
0,"['(pick-up c)', '(stack c a)', '(pick-up b)', '(stack b c)']",1.0416666666666665,6,0,"['(pick-up c)', '(stack c a)', '(pick-up b)', '(stack b c)']",1.0,6,False,False,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c a)', '(pick-up b)', '(stack b c)']",[],0,"['(pick-up c)', '(stack c a)', '(pick-up b)', '(stack b c)']",1.0416666666666665,6,False,random_blocksworld_3,False,1.0416666666666665,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c a)', '(pick-up b)', '(stack b c)']","['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c a)', '(pick-up b)', '(stack b c)']",1,64,o4-mini_chat,"{0: 'correct', 1: 'correct', 2: 'correct', 3: 'correct'}","{0: 'misplaced', 1: 'misplaced', 2: 'misplaced', 3: 'misplaced'}",0,"['(pick-up c)', '(stack c a)', '(pick-up b)', '(stack b c)']",1.0,6,False,_state_tracking,0.5,0
0,"['(pick-up c)', '(stack c a)', '(pick-up b)', '(stack b c)']",1.0416666666666665,6,0,"['(pick-up c)', '(stack c a)', '(pick-up b)', '(stack b c)']",1.0,6,False,False,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c a)', '(pick-up b)', '(stack b c)']",[],0,"['(pick-up c)', '(stack c a)', '(pick-up b)', '(stack b c)']",1.0416666666666665,6,False,random_blocksworld_3,False,1.0416666666666665,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c a)', '(pick-up b)', '(stack b c)']","['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c a)', '(pick-up b)', '(stack b c)']",1,64,o4-mini_chat,"{0: 'correct', 1: 'correct', 2: 'correct', 3: 'correct'}","{0: 'misplaced', 1: 'misplaced', 2: 'misplaced', 3: 'misplaced'}",0,"['(pick-up c)', '(stack c a)', '(pick-up b)', '(stack b c)']",1.0,6,False,_one_shot,0.5,0
1,"['(attack a)', '(overcome a b)', '(attack c)', '(overcome c a)']",1.0416666666666665,6,1,"['(attack a)', '(overcome a b)', '(attack c)', '(overcome c a)']",1.0,6,False,False,"['(feast c b)', '(succumb c)', '(attack a)', '(overcome a b)', '(attack c)', '(overcome c a)']",[],1,"['(attack a)', '(overcome a b)', '(attack c)', '(overcome c a)']",1.0416666666666665,6,False,mystery_blocksworld_3,False,1.0416666666666665,"['(feast c b)', '(succumb c)', '(attack a)', '(overcome a b)', '(attack c)', '(overcome c a)']","['(feast c b)', '(succumb c)', '(attack a)', '(overcome a b)', '(attack c)', '(overcome c a)']",1,88,o4-mini_chat,"{0: 'correct', 1: 'correct', 2: 'correct', 3: 'correct'}","{0: 'misplaced', 1: 'misplaced', 2: 'misplaced', 3: 'misplaced'}",1,"['(attack a)', '(overcome a b)', '(attack c)', '(overcome c a)']",1.0,6,False,_one_shot,0.5,0
2,"['(attack a)', '(overcome a b)', '(attack c)', '(overcome c a)']",1.0416666666666665,6,2,"['(attack a)', '(overcome a b)', '(attack c)', '(overcome c a)']",1.0,6,False,False,"['(feast b c)', '(succumb b)', '(attack a)', '(overcome a b)', '(attack c)', '(overcome c a)']",[],2,"['(attack a)', '(overcome a b)', '(attack c)', '(overcome c a)']",1.0416666666666665,6,False,mystery_blocksworld_3,False,1.0416666666666665,"['(feast b c)', '(succumb b)', '(attack a)', '(overcome a b)', '(attack c)', '(overcome c a)']","['(feast b c)', '(succumb b)', '(attack a)', '(overcome a b)', '(attack c)', '(overcome c a)']",1,61,o4-mini_chat,"{0: 'correct', 1: 'correct', 2: 'correct', 3: 'correct'}","{0: 'misplaced', 1: 'misplaced', 2: 'misplaced', 3: 'misplaced'}",2,"['(attack a)', '(overcome a b)', '(attack c)', '(overcome c a)']",1.0,6,False,_state_tracking,0.5,0
