model,domain,task,instance_id,gt_plan,curr_plan,plan_trace,nr_plan_trace,trace_score,complementary_plan,correct_part,executability,final_score,curr_score,curr_steps,curr_last_act,curr_validity,cdt_plan,cdt_score,cdt_steps,cdt_last_act,cdt_validity,subseq_plan,subseq_score,subseq_steps,subseq_last_act,subseq_validity,cdt_subseq_plan,cdt_subseq_score,cdt_subseq_steps,cdt_subseq_last_act,cdt_subseq_validity,improved_plan,improved_validity,improved_cdt_plan,improved_cdt_validity,improved_subseq_plan,improved_subseq_validity,improved_subseq_cdt_plan,improved_subseq_cdt_validity
llama,blocksworld_3,_zero_shot,1,"['(unstack c b)', '(put-down c)', '(unstack b a)', '(put-down b)', '(pick-up a)', '(stack a b)', '(pick-up c)', '(stack c a)']",[],{},{},0.0,"['(unstack c b)', '(put-down c)', '(unstack b a)', '(put-down b)', '(pick-up a)', '(stack a b)', '(pick-up c)', '(stack c a)']",[],True,0.0,0.0,8,0,False,[],0.0,8,0,False,[],0.0,8,0,False,[],0.0,8,0,False,"['(unstack c b)', '(put-down c)', '(unstack b a)', '(put-down b)', '(pick-up a)', '(stack a b)', '(pick-up c)', '(stack c a)']",True,,,,,,
llama,blocksworld_3,_zero_shot,2,"['(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']",[],{},{},0.0,"['(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']",[],True,0.0,0.0,4,0,False,[],0.0,4,0,False,[],0.0,4,0,False,[],0.0,4,0,False,"['(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']",True,,,,,,
llama,blocksworld_3,_zero_shot,3,"['(unstack b c)', '(put-down b)', '(unstack c a)', '(put-down c)', '(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']","['(pick-up b)', '(put-down b)', '(pick-up c)', '(put-down c)', '(pick-up a)', '(put-down a)', '(stack a b)', '(stack c a)', '(put-down c)', '(put-down b)', '(pick-up b)', '(put-down b)', '(pick-up c)', '(put-down c)', '(pick-up a)', '(put-down a)', '(stack a b)', '(stack c a)', '(put-down c)', '(put-down b)', '(pick-up b)', '(put-down b)', '(pick-up c)', '(put-down c)', '(pick-up a)', '(put-down a)', '(stack a b)', '(stack c a)', '(put-down c)', '(put-down b)', '(pick-up b)', '(put-down b)', '(pick-up c)', '(put-down c)', '(pick-up a)', '(put-down a)', '(stack a b)', '(stack c a)', '(put-down c)', '(put-down b)', '(pick-up b)', '(put-down b)', '(pick-up c)', '(put-down c)', '(pick-up a)', '(put-down a)', '(stack a b)', '(stack c a)', '(put-down c)', '(put-down b)', '(pick-up b)', '(put-down b)', '(pick-up c)', '(put-down c)', '(pick-up a)', '(put-down a)', '(stack a b)', '(stack c a)', '(put-down c)', '(put-down b)', '(pick-up b)', '(put-down b)', '(pick-up c)', '(put-down c)']","{1: 'position', 3: 'position', 0: 'correct', 2: 'correct', 4: 'diff_act', 5: 'diff_act', 6: 'same_act', 7: 'diff_act', 8: 'redundant', 9: 'redundant', 10: 'redundant', 11: 'redundant', 12: 'redundant', 13: 'redundant', 14: 'redundant', 15: 'redundant', 16: 'redundant', 17: 'redundant', 18: 'redundant', 19: 'redundant', 20: 'redundant', 21: 'redundant', 22: 'redundant', 23: 'redundant', 24: 'redundant', 25: 'redundant', 26: 'redundant', 27: 'redundant', 28: 'redundant', 29: 'redundant', 30: 'redundant', 31: 'redundant', 32: 'redundant', 33: 'redundant', 34: 'redundant', 35: 'redundant', 36: 'redundant', 37: 'redundant', 38: 'redundant', 39: 'redundant', 40: 'redundant', 41: 'redundant', 42: 'redundant', 43: 'redundant', 44: 'redundant', 45: 'redundant', 46: 'redundant', 47: 'redundant', 48: 'redundant', 49: 'redundant', 50: 'redundant', 51: 'redundant', 52: 'redundant', 53: 'redundant', 54: 'redundant', 55: 'redundant', 56: 'redundant', 57: 'redundant', 58: 'redundant', 59: 'redundant', 60: 'redundant', 61: 'redundant', 62: 'redundant', 63: 'redundant'}","{1: 'position', 3: 'position', 0: 'correct', 2: 'correct', 4: 'diff_act', 5: 'diff_act', 6: 'same_act', 7: 'diff_act', 8: 'correct', 9: 'correct', 10: 'correct', 11: 'correct', 12: 'correct', 13: 'correct', 14: 'same_act', 15: 'same_act', 16: 'same_act', 17: 'same_act', 18: 'correct', 19: 'correct', 20: 'correct', 21: 'correct', 22: 'correct', 23: 'correct', 24: 'same_act', 25: 'same_act', 26: 'same_act', 27: 'same_act', 28: 'correct', 29: 'correct', 30: 'correct', 31: 'correct', 32: 'correct', 33: 'correct', 34: 'same_act', 35: 'same_act', 36: 'same_act', 37: 'same_act', 38: 'correct', 39: 'correct', 40: 'correct', 41: 'correct', 42: 'correct', 43: 'correct', 44: 'same_act', 45: 'same_act', 46: 'same_act', 47: 'same_act', 48: 'correct', 49: 'correct', 50: 'correct', 51: 'correct', 52: 'correct', 53: 'correct', 54: 'same_act', 55: 'same_act', 56: 'same_act', 57: 'same_act', 58: 'correct', 59: 'correct', 60: 'correct', 61: 'correct', 62: 'correct', 63: 'correct'}",0.2265625,"['(unstack b c)', '(put-down b)', '(unstack c a)', '(put-down c)', '(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']",[],False,-1.0,-4.9035488153594775,62,0,False,"['(pick-up a)', '(put-down a)', '(pick-up c)', '(put-down c)', '(pick-up b)', '(put-down b)', '(stack b a)', '(stack c b)', '(put-down c)', '(put-down a)', '(pick-up a)', '(put-down a)', '(pick-up c)', '(put-down c)', '(pick-up b)', '(put-down b)', '(stack b a)', '(stack c b)', '(put-down c)', '(put-down a)', '(pick-up a)', '(put-down a)', '(pick-up c)', '(put-down c)', '(pick-up b)', '(put-down b)', '(stack b a)', '(stack c b)', '(put-down c)', '(put-down a)', '(pick-up a)', '(put-down a)', '(pick-up c)', '(put-down c)', '(pick-up b)', '(put-down b)', '(stack b a)', '(stack c b)', '(put-down c)', '(put-down a)', '(pick-up a)', '(put-down a)', '(pick-up c)', '(put-down c)', '(pick-up b)', '(put-down b)', '(stack b a)', '(stack c b)', '(put-down c)', '(put-down a)', '(pick-up a)', '(put-down a)', '(pick-up c)', '(put-down c)', '(pick-up b)', '(put-down b)', '(stack b a)', '(stack c b)', '(put-down c)', '(put-down a)', '(pick-up a)', '(put-down a)', '(pick-up c)', '(put-down c)']",-4.872916666666667,64,0,False,"['(put-down b)', '(put-down c)', '(pick-up b)', '(pick-up c)']",1.0,8,0,False,"['(put-down b)', '(put-down c)', '(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']",1.0,8,0,False,"['(unstack b c)', '(put-down b)', '(unstack c a)', '(put-down c)', '(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']",True,,,,,,
llama,blocksworld_3,_zero_shot,4,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(stack b a)']",[],{},{},0.0,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(stack b a)']",[],True,0.0,0.0,4,0,False,[],0.0,4,0,False,[],0.0,4,0,False,[],0.0,4,0,False,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(stack b a)']",True,,,,,,
llama,blocksworld_3,_zero_shot,5,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c a)', '(pick-up b)', '(stack b c)']",[],{},{},0.0,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c a)', '(pick-up b)', '(stack b c)']",[],True,0.0,0.0,8,0,False,[],0.0,8,0,False,[],0.0,8,0,False,[],0.0,8,0,False,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c a)', '(pick-up b)', '(stack b c)']",True,,,,,,
llama,blocksworld_3,_zero_shot,6,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(stack c a)', '(pick-up b)', '(stack b c)']",[],{},{},0.0,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(stack c a)', '(pick-up b)', '(stack b c)']",[],True,0.0,0.0,6,0,False,[],0.0,6,0,False,[],0.0,6,0,False,[],0.0,6,0,False,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(stack c a)', '(pick-up b)', '(stack b c)']",True,,,,,,
llama,blocksworld_3,_zero_shot,7,"['(unstack a c)', '(put-down a)', '(pick-up b)', '(stack b c)', '(pick-up a)', '(stack a b)']",[],{},{},0.0,"['(unstack a c)', '(put-down a)', '(pick-up b)', '(stack b c)', '(pick-up a)', '(stack a b)']",[],True,0.0,0.0,6,0,False,[],0.0,6,0,False,[],0.0,6,0,False,[],0.0,6,0,False,"['(unstack a c)', '(put-down a)', '(pick-up b)', '(stack b c)', '(pick-up a)', '(stack a b)']",True,,,,,,
llama,blocksworld_3,_zero_shot,8,"['(pick-up a)', '(stack a c)']",[],{},{},0.0,"['(pick-up a)', '(stack a c)']",[],True,0.0,0.0,2,0,False,[],0.0,2,0,False,[],0.0,2,0,False,[],0.0,2,0,False,"['(pick-up a)', '(stack a c)']",True,,,,,,
llama,blocksworld_3,_zero_shot,9,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c a)']",[],{},{},0.0,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c a)']",[],True,0.0,0.0,4,0,False,[],0.0,4,0,False,[],0.0,4,0,False,[],0.0,4,0,False,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c a)']",True,,,,,,
llama,blocksworld_3,_zero_shot,10,"['(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c b)', '(pick-up a)', '(stack a c)']",[],{},{},0.0,"['(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c b)', '(pick-up a)', '(stack a c)']",[],True,0.0,0.0,6,0,False,[],0.0,6,0,False,[],0.0,6,0,False,[],0.0,6,0,False,"['(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c b)', '(pick-up a)', '(stack a c)']",True,,,,,,
